place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1966350660,더케이365치과병원 인천본점,2864,875,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천치과 턱관절치료 매복사랑니발치 인천치아교정치과 뼈이식임플란트,,0.33134,0.511283,0.439848,,0.0,504.0,20.0,,0.019447,-0.004335,0.007012
2,1046979868,계양가온365치과의원,1919,884,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,계산동치과 계양구치과 계양구임플란트 계양구사랑니발치 계양치과,,0.33134,0.428544,0.433603,,0.0,257.0,7.0,,0.019447,-0.016681,0.006079
3,13118325,인천W치과의원,381,893,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,임플란트 치아교정 일반진료 계산동치과 계양구치과,,0.33134,0.420325,0.432983,,2.0,198.0,9.0,,0.019447,0.023588,0.009119
4,1808398683,연세세브란스치과의원 계양,2293,280,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,계양구치과 계양구임플란트 레진빌드업 작전동치과 잇몸심미수술,,0.33134,0.419516,0.432922,,2.0,347.0,5.0,,0.019447,0.059075,0.011797
5,1023051083,서울정석치과의원 인천,1608,163,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천치과 인천임플란트치과 충치잇몸치료 매복사랑니발치 수면마취치과,,0.33134,0.415035,0.432584,,0.0,-2.0,1.0,,0.019447,-0.002323,0.007164
6,1806221853,윌플란트치과의원,1756,566,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,인천치과 수면임플란트 사랑니발치 앞니보철 노인임플란트,,0.33134,0.404185,0.431765,,0.0,-8.0,-1.0,,0.019447,-0.008979,0.006661
7,1570601221,모던플란트치과의원,310,404,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,계양구임플란트 계양구치아교정 계양구치과 계산역치과 임학역치과,,0.33134,0.281665,0.422518,,0.0,2.0,8.0,,0.019447,-0.00447,0.007001
8,11734852,인천어린이치과의원,41,822,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,소아충치치료 소아치과 청소년투명교정 어린이치과 계양구인비절라인,,0.33134,0.262082,0.42104,,1.0,0.0,0.0,,0.019447,-0.016684,0.006079
9,13239874,유디치과의원 작전점,4,626,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,임플란트 치아교정 충치치료 치아미백 인천작전동치과,,0.33134,0.256477,0.420617,,2.0,0.0,0.0,,0.019447,0.000402,0.007369
10,11884176,보스턴웰치과의원,475,141,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,계양구치과 계양구임플란트 계양구치아교정 작전동치과 작전동임플란트,,0.33134,0.244999,0.419751,,0.0,0.0,1.0,,0.019447,-0.014785,0.006223
11,11643054,이데이치과의원,268,182,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,인천치과 인천임플란트 인천충치치료 라미네이트 치아성형,,0.33134,0.244918,0.419745,,0.0,6.0,0.0,,0.019447,-0.035529,0.004657
12,1344099733,알프스치과의원,244,643,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,인천임플란트 계산동치과 작전동치과 계양구치과 인천틀니,,0.33134,0.237086,0.419154,,2.0,0.0,9.0,,0.019447,0.002421,0.007522
13,523449226,계산센트럴치과의원,8,612,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,계산동치과 계산역치과 계산동임플란트 계산동사랑니 계산역사랑니,,0.33134,0.230343,0.418645,,0.0,0.0,5.0,,0.019447,-0.019094,0.005898
14,1809060005,기분좋은치과의원,1,149,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.226744,0.418356,Hot,10.0,0.0,0.0,,0.019447,0.030414,0.009634
15,1036719582,연세자연치과의원,238,867,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,계산동치과 계산역치과 재신경치료 치근단절제술 앞니심미레진,,0.33134,0.225521,0.418281,,0.0,1.0,4.0,,0.019447,-0.01399,0.006283
16,12919230,동양수치과의원,1,180,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,동양동치과 계양구치과,,0.33134,0.214899,0.417479,Hot,10.0,0.0,0.0,,0.019447,0.020387,0.008877
17,1162222096,한림치과의원,2,461,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,인천치과 인천임플란트 작전동치과 계양구치과 한림병원,,0.33134,0.213772,0.417394,,4.0,0.0,1.0,,0.019447,0.009934,0.008088
18,1598864955,연세마스터즈치과의원,7,534,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,연세마스터즈치과 계양구치과 계양구임플란트 계양구교정 작전역치과,,0.33134,0.213507,0.417374,,2.0,0.0,0.0,,0.019447,0.00912,0.008027
19,32739279,이엘치과의원,204,543,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.210127,0.417102,,0.0,0.0,1.0,,0.019447,-0.005061,0.006957
20,19737563,유디계산치과의원,3,559,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,임플란트 치아교정 치아미백 충치치료 계산역치과,,0.33134,0.204606,0.416702,,0.0,0.0,0.0,,0.019447,-0.010013,0.006583
21,13239756,정원치과의원,111,654,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,작전역치과 작전동치과 플라즈마신경치료 디지털임플란트 안아픈치과,,0.33134,0.204375,0.416685,,0.0,1.0,14.0,,0.019447,-0.000812,0.007278
22,36477554,효성치과,2,105,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,,,0.331294,0.203985,0.416638,Hot,11.0,0.0,0.0,,0.019447,0.021685,0.008975
23,19534030,길치과의원,2,317,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,계양구치과 임플란트 교정 틀니 잇몸치료,,0.33134,0.2037,0.416634,,0.0,0.0,2.0,,0.019447,-0.011688,0.006457
24,1612858159,서울하이치과의원,17,477,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,병방동_치과 스케일링 임학역임플란트 계양구크라운 임학동잇몸치료,,0.33134,0.202468,0.416541,,4.0,0.0,0.0,,0.019447,0.009804,0.008079
25,1102930594,계양플란트인치과의원,425,1167,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,계양치과 계산역치과 임학역치과 계양임플란트 계양충치치료,,0.33134,0.199799,0.41634,Hot,10.0,0.0,-1.0,,0.019447,0.020647,0.008897
26,2069474105,한사랑치과의원,25,6,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 신경치료 충치치료 턱관절,,0.331294,0.199891,0.416329,,0.0,3.0,4.0,,0.019447,0.000563,0.007381
27,21560707,해맑은치과의원,1,233,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,임플란트 교정 장인틀니,,0.331294,0.199192,0.416277,,0.0,0.0,0.0,,0.019447,-0.009144,0.006649
28,11883116,키즈프라임치과의원,216,335,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,계양구소아치과 인천어린이치과 인천_소아치과 계산동_어린이치과 소아치과,,0.33134,0.197097,0.416136,,8.0,1.0,1.0,,0.019447,0.019198,0.008788
29,13376058,스마일탑치과의원,43,182,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,계양구치과 작전동치과 계양구임플란트 작전동임플란트 인천치과,,0.33134,0.196334,0.416078,,0.0,0.0,0.0,,0.019447,0.004933,0.007711
30,1156651761,일등치과의원,26,220,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,계산동치과 계산동임플란트 계양구치과 계양구임플란트 작전동치과,,0.33134,0.195874,0.416043,,0.0,0.0,0.0,,0.019447,0.002011,0.00749
31,13239850,아름다운치과교정과치과의원,3,79,치과,건강의료>병원>병원의원>치과>치과-일반,4.14,,치과교정과 교정치료 인천교정치과 계양구교정치과 치열교정,,0.33134,0.193973,0.4159,,0.0,0.0,0.0,,0.019447,0.005766,0.007774
32,1568825464,우리가족치과의원,1,9,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.193816,0.415871,,0.0,0.0,0.0,,0.019447,0.009183,0.008032
33,12001233,서울플라워치과교정과치과의원,19,115,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,교정치료 교정치과 계양구 계산동 교정전문의,,0.33134,0.190467,0.415635,,0.0,0.0,1.0,,0.019447,0.004951,0.007712
34,34919419,연세허브치과의원,1,186,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,임플란트 사랑니 보철,,0.331294,0.189154,0.415519,,3.0,0.0,0.0,,0.019447,0.011076,0.008175
35,13239694,국두환치과의원,3,73,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,,,0.331294,0.187686,0.415408,Hot,17.0,0.0,0.0,,0.019447,0.034894,0.009972
36,36317721,굿모닝치과의원,2,189,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.185946,0.415277,,0.0,0.0,0.0,,0.019447,0.006315,0.007815
37,21025449,연세선치과의원,93,320,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,임학역치과 계양임플란트 계양야간진료치과 소아충치치료 계산동치과,,0.33134,0.183687,0.415124,,6.0,1.0,0.0,,0.019447,0.01782,0.008684
38,11578932,나움치과의원,3,236,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.183179,0.415068,,8.0,0.0,0.0,,0.019447,0.021054,0.008928
39,13239749,인치과의원,4,137,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,,,0.331294,0.178786,0.414736,,2.0,0.0,0.0,,0.019447,0.012517,0.008283
40,11534895,서울명문치과의원,1,268,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,계산동치과 계산동임플란트 계산동교정 계양구치과 서울대,,0.33134,0.178336,0.41472,,0.0,0.0,0.0,,0.019447,-0.019988,0.00583
