place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1452436042,플란트유치과의원,1,136,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,임플란트 고창치과 고창임플란트,,0.33134,0.217638,0.345233,,0,-,-,,-,-,-
2,37576800,고창중앙치과의원,3,67,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,치과 임플란트 보철 틀니 고창치과,,0.33134,0.183084,0.342625,,0,-,-,,-,-,-
3,13267067,우리치과의원,1,161,치과,건강의료>병원>병원의원>치과>치과-일반,3.56,,,,0.331294,0.183236,0.34262,,0,-,-,,-,-,-
4,31362168,미소치과의원,1,59,치과,건강의료>병원>병원의원>치과>치과-일반,3.53,,치과 고창치과 임플란트,,0.33134,0.160016,0.340884,,0,-,-,,-,-,-
5,1756227375,서원치과의원,0,34,치과,건강의료>병원>병원의원>치과>치과-일반,4.08,,,,0.331294,0.155819,0.34055,,0,-,-,,-,-,-
6,35544171,이지영치과의원,1,42,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,,,0.331294,0.137702,0.339183,,0,-,-,,-,-,-
7,13267071,대산치과의원,2,16,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.136902,0.339123,,0,-,-,,-,-,-
8,36477439,서동국치과의원,0,19,치과,건강의료>병원>병원의원>치과>치과-일반,3.92,,,,0.331294,0.125658,0.338274,,0,-,-,,-,-,-
9,19534954,흥덕치과의원,0,24,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.122284,0.338019,,0,-,-,,-,-,-
10,13267081,강기원치과의원,1,10,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.105685,0.336767,,0,-,-,,-,-,-
11,13267075,임종혁치과의원,0,9,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.088886,0.335499,,0,-,-,,-,-,-
12,13267082,염치과의원,0,1,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.05196,0.332712,,0,-,-,,-,-,-
13,1565512452,전주치과,1,0,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.04914,0.332499,,0,-,-,,-,-,-
14,37565390,석정웰파크병원,385,794,병원의원,건강의료>병원>병원의원>병원의원-일반,4.4,,암면역치료 정형외과 건강검진 치과 갑상선외과,,4.6e-05,0.311748,0.227319,,0,-,-,,-,-,-
15,13266996,고창군보건소,80,127,보건소,건강의료>병원>보건소>보건소-일반,0.0,,,,0.0,0.306512,0.211812,,0,-,-,,-,-,-
16,13266995,해리면통합보건지소,0,0,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.083522,0.194983,,0,-,-,,-,-,-
17,1570937580,서울바른치과의원,1,9,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,장성치과 장성임플란트 장성틀니 장성소아치과 장성구강검진,,0.33134,0.194595,0.154815,,0,-,-,,-,-,-
18,13262983,송주종치과의원,1,42,치과,건강의료>병원>병원의원>치과>치과-일반,4.07,,,,0.331294,0.176993,0.153469,,0,-,-,,-,-,-
19,32417826,대원플란트치과의원,0,24,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.162886,0.152404,,0,-,-,,-,-,-
20,13262724,주완치과,2,51,치과,건강의료>병원>병원의원>치과>치과-일반,3.77,,,,0.331294,0.154873,0.1518,,0,-,-,,-,-,-
21,13262991,김치과의원,0,28,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,,,0.331294,0.136994,0.15045,,0,-,-,,-,-,-
22,19533459,김영수치과의원,1,42,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.128335,0.149797,,0,-,-,,-,-,-
23,31203391,민치과의원,1,9,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.121117,0.149252,,0,-,-,,-,-,-
24,13262982,믿음치과의원,0,22,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.114356,0.148742,,0,-,-,,-,-,-
25,13262984,김재성치과의원,0,23,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.102087,0.147816,,0,-,-,,-,-,-
26,13262962,안석호치과의원,0,5,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.100661,0.147708,,0,-,-,,-,-,-
