place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1249406264,서울리멤버치과의원,1130,2026,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,관악구치과 관악구임플란트 서울대입구역치과 서울대입구치과 투명인비절라인교정치과,,0.33134,0.467042,0.37915,,0.0,29.0,8.0,,0.019447,0.004181,0.007654
2,1973693840,서울정다움치과의원,2760,472,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신림치과 매복사랑니발치 재신경치료치과 관악구디지털임플란트 신림미백치료치과,,0.33134,0.454975,0.37824,,3.0,144.0,8.0,,0.019447,0.03264,0.009802
3,1391110688,사랑니에진심치과의원,1195,1500,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신림치과 신림역치과 사랑니 사랑니발치 구강악안면외과,,0.33134,0.439343,0.37706,,1.0,152.0,65.0,,0.019447,0.015978,0.008545
4,1275417376,서울열린치과의원,2429,891,치과,건강의료>병원>병원의원>치과>치과-일반,4.93,,신림치과 신림치아투명교정치과 신림역디지털임플란트 매복사랑니발치 틀니보철심미치료,,0.33134,0.432417,0.376537,,0.0,182.0,8.0,,0.019447,0.000979,0.007412
5,38296572,올리브나무치과의원,1544,559,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,서울대입구역치과 봉천동치과 청림동임플란트 행운동사랑니발치 치아교정중앙동,,0.33134,0.423812,0.375888,,5.0,81.0,5.0,,0.019447,0.034457,0.009939
6,1099825814,서울오늘플란트치과의원,1470,726,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 라미네이트 사랑니발치 관악구치과 신림역치과,,0.33134,0.423577,0.37587,,0.0,41.0,5.0,,0.019447,-0.012734,0.006378
7,2008060403,연세세브란스치과의원 봉천,1410,71,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,봉천동치과 관악구임플란트치과 봉천동라미네이트 사랑니발치 봉천동턱관절치료,,0.33134,0.416299,0.375321,,4.0,179.0,3.0,,0.019447,0.02822,0.009469
8,13540470,함박웃음치과의원,2399,466,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,치과보철과 구강악안면외과 임플란트 턱관절 서울대입구역치과,,0.33134,0.414711,0.375201,,0.0,5.0,1.0,,0.019447,0.010542,0.008134
9,35372678,연세유라인치과의원,3406,823,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,신림치과 신림역치과 관악구치과 야간진료 신림임플란트,,0.33134,0.391256,0.373431,,0.0,28.0,2.0,,0.019447,-0.000818,0.007277
10,13007078,스마일치과의원,1456,565,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,관악구치과 봉천동치과 서울대입구역치과 사랑니발치 턱관절치료,,0.33134,0.385917,0.373028,,0.0,75.0,1.0,,0.019447,-0.005927,0.006892
11,13163174,연세미래치과의원,1398,900,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,치아교정 교정치과 교정 임플란트 스케일링,,0.33134,0.381737,0.372712,,0.0,3.0,2.0,,0.019447,-0.015531,0.006166
12,12053755,나비화이트치과의원,739,358,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,임플란트 치아교정 교정치과 사랑니발치 봉천동치과,,0.33134,0.376331,0.372304,,2.0,38.0,0.0,,0.019447,0.002432,0.007522
13,19512960,플란트인치과의원,1478,780,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,구디역치과 사랑니발치 구로치아미백 임플란트 구디임플란트,,0.33134,0.370982,0.371901,,0.0,25.0,-3.0,,0.019447,-0.008737,0.00668
14,1698837787,서울리뉴치과의원,486,1327,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,관악구일요일치과 서울대입구역수면임플란트 봉천동턱관절진료 낙성대사랑니발치 신림동교정치과,,0.33134,0.370091,0.371833,,0.0,33.0,12.0,,0.019447,-0.014501,0.006244
15,21207043,리더스치과의원,264,348,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,서울대입구역치과 서울대입구치과 임플란트 스케일링 신경치료,,0.33134,0.359074,0.371002,,1.0,13.0,6.0,,0.019447,0.011288,0.008191
16,1407863213,리뉴치과교정과치과의원,760,482,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서울대입구교정치과 관악구치아교정 봉천동인비절라인 신림동교정전문치과 신대방투명교정,,0.33134,0.357813,0.370907,,0.0,65.0,6.0,,0.019447,-0.015786,0.006148
17,1404821718,그랑치과교정과치과의원,587,1034,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,서울대입구역치과 관악구치과 치아교정전문의 어린이교정 돌출입교정,,0.33134,0.343642,0.369837,,0.0,12.0,4.0,,0.019447,-0.004131,0.007027
18,32397424,서울호치과의원,232,755,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,봉천동치과 신림치과 신림역치과 보라매치과 당곡역치과,,0.33134,0.334766,0.369167,,2.0,2.0,2.0,,0.019447,0.015747,0.008527
19,1140993000,단단플란트치과의원,322,717,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사당역치과 사당수면치과 사랑니당일발치 사당수면임플란트 치아교정치과,,0.33134,0.323596,0.368324,,2.0,3.0,0.0,,0.019447,0.007549,0.007908
20,1038830883,원스치과교정과치과의원,2161,317,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 인비절라인 교정치과 부분교정 교정전문의,,0.33134,0.318539,0.367943,,2.0,11.0,-1.0,,0.019447,0.011094,0.008176
21,13312443,유디치과의원 신림점,253,637,치과,건강의료>병원>병원의원>치과>유디치과,4.59,,임플란트 스케일링 치아미백 신림치과,,0.33134,0.310811,0.367359,,0.0,11.0,6.0,,0.019447,-0.009887,0.006592
22,1094550763,포근한치과의원,382,636,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,오스템네비게이션 임플란트 틀니 주걱턱교정 잇몸치료,,0.331294,0.3046,0.366873,,0.0,-14.0,3.0,,0.019447,-0.015025,0.006204
23,1264595760,관악소아치과의원,72,460,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,관악소아치과 봉천동어린이치과 관악구어린이치과 서울대입구역소아치과 어린이치과수면치료,,0.33134,0.287604,0.365608,,2.0,0.0,3.0,,0.019447,0.013884,0.008387
24,21857136,바른이고른이치과의원,423,1052,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 교정치과 돌출입교정 덧니교정 관악구교정치과,,0.33134,0.275234,0.364674,,0.0,0.0,11.0,,0.019447,-0.000405,0.007308
25,32548018,연세미소인치과의원,972,316,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서울대입구역치과 관악구임플란트 봉천역치과 중앙동치과 사당동치과,,0.33134,0.273769,0.364564,,1.0,-18.0,1.0,,0.019447,0.002938,0.007561
26,13117246,언제나 이든치과의원,123,1863,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신림치과 난곡치과 임플란트 치아교정 신대방역치과,,0.33134,0.269831,0.364267,,0.0,0.0,0.0,,0.019447,-0.006432,0.006854
27,1463132017,365탑치과의원,188,190,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전체임플란트염증재수술 이수역치아미백 방배역어금니충치신경치료 앞니지르코니아크라운심미보철 사당역당일매복사랑니발치,,0.331294,0.269325,0.364211,,4.0,0.0,4.0,,0.019447,0.007221,0.007884
28,1353614131,관악이웃치과의원,285,406,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신림역치과 신림동소아치과 임플란트 사랑니발치 봉천치과,,0.33134,0.267354,0.36408,,0.0,1.0,3.0,,0.019447,0.00126,0.007434
29,36395426,관악서울대학교치과병원,56,119,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,관악서울대치과병원 관악치과병원 치과병원 치과 SNUDH,,0.33134,0.264809,0.363888,,1.0,0.0,1.0,,0.019447,0.001811,0.007476
30,11582444,서울키즈플러스치과의원,29,555,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,관악구소아치과 관악구어린이치과 소아치과전문의 수면진정교정치료 소아치과,,0.33134,0.262812,0.363737,,0.0,0.0,3.0,,0.019447,-0.004134,0.007027
31,1251690994,해온미소치과의원,595,438,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,신림치과 난곡사거리치과 신대방역치과 신림임플란트 난곡치과,,0.33134,0.261757,0.363657,,0.0,1.0,4.0,,0.019447,-0.002851,0.007123
32,19530333,필치과의원,16,317,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,,,0.331294,0.261026,0.363585,,4.0,1.0,0.0,,0.019447,0.018265,0.008717
33,19524398,박경준치과의원,39,246,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,임플란트 스케일링 관악구치과 봉천동치과 서울대입구역치과,,0.33134,0.259253,0.363468,,5.0,0.0,0.0,,0.019447,0.020994,0.008923
34,1131834197,난곡으뜸치과의원,401,401,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,난곡치과 난곡동치과 난곡동임플란트 난곡임플란트,,0.33134,0.249357,0.362721,,0.0,-1.0,4.0,,0.019447,0.003304,0.007588
35,35168476,연세공감치과의원,60,904,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,사랑니발치 이갈이보톡스 신림치과 신경치료 치과보존과,,0.33134,0.24914,0.362705,,0.0,0.0,1.0,,0.019447,0.005149,0.007727
36,1967705534,서울이편한치과의원,67,264,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,봉천동치과 청룡동임플란트 충치치료 자연치아살리기 청룡동치과,,0.33134,0.24042,0.362047,,0.0,0.0,1.0,,0.019447,-0.005718,0.006907
37,11841871,서울나란이치과교정과치과의원,581,84,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,치아교정 설측교정 콤비교정 다시교정 수술교정,,0.331294,0.237924,0.361841,,3.0,3.0,0.0,,0.019447,0.002098,0.007497
38,11890796,아너스치과교정과치과의원 서울대입구점,6,98,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,관악구교정전문의 서울대입구치아교정 서울대전문의 관악구교정치과 관악구치아교정,,0.33134,0.231144,0.361347,,7.0,0.0,0.0,,0.019447,0.01547,0.008506
39,1181967574,연세더바른치과의원,410,945,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,봉천동치과 임플란트 사랑니발치 당곡사거리치과 당곡역치과,,0.33134,0.228345,0.361136,,2.0,3.0,1.0,,0.019447,-0.007048,0.006807
40,13208306,믿음치과의원,8,101,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.227708,0.36107,,2.0,0.0,0.0,,0.019447,0.004147,0.007651
41,36357960,관악연세공감치과의원,28,768,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,치과 사랑니발치 신경치료 스케일링 충치치료,,0.33134,0.226456,0.360993,,0.0,0.0,1.0,,0.019447,-0.014838,0.006219
42,11550156,우정치과의원,133,156,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,인비절라인 치아교정 교정치과 임플란트 턱관절치료,,0.33134,0.225558,0.360925,,0.0,2.0,1.0,,0.019447,-0.027902,0.005233
43,86000818,더나은 치과의원 봉천,586,595,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,봉천역치과 봉천역임플란트 봉천역스케일링 봉천역구강검진 봉천동치과,,0.33134,0.22434,0.360833,,0.0,2.0,4.0,,0.019447,-0.012785,0.006374
44,1035100429,바른치과의원,520,409,치과,건강의료>병원>병원의원>치과>치과-일반,4.98,,임플란트 사랑니발치 충치치료 턱관절치료 낙성대역치과,,0.33134,0.222187,0.360671,,3.0,1.0,2.0,,0.019447,0.011255,0.008188
45,34974782,이화이치과의원,163,641,치과,건강의료>병원>병원의원>치과>치과-일반,4.91,,이화이치과 봉천동치과 서울대입구역치과 관악구치과 보험스케일링,,0.33134,0.221044,0.360584,Hot,16.0,0.0,1.0,,0.019447,0.022221,0.009015
46,36336310,연세고운미소치과의원 서울대입구점,57,407,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,임플란트 교정치료 보철치료 충치치료,,0.331294,0.218658,0.360387,,5.0,0.0,1.0,,0.019447,0.010521,0.008133
47,13513714,미소안치과의원,101,238,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,신대방역치과 난곡치과 신림동치과 치아교정 교정,,0.33134,0.218133,0.360365,Hot,17.0,0.0,1.0,,0.019447,0.021193,0.008938
48,1159744792,오케이치과의원,281,399,치과,건강의료>병원>병원의원>치과>치과-일반,4.89,,관악구교정 봉천동미백 사랑니발치 스케일링 봉천역턱관절,,0.331294,0.217635,0.36031,,0.0,0.0,2.0,,0.019447,0.002843,0.007553
49,11730959,연세해맑은치과교정과치과의원,3,204,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,치아교정 교정치과 소아교정 교정전문의,,0.33134,0.216262,0.360224,,3.0,0.0,0.0,,0.019447,0.009287,0.00804
50,11840919,미소랑치과의원 서울대점,252,273,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,서울대입구역치과 서울대입구치과 봉천동치과 관악구치과 낙성대치과,,0.33134,0.21333,0.360002,,8.0,1.0,8.0,,0.019447,0.013495,0.008357
