place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1293769332,광교365리움치과병원 수원,5942,1336,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 수원임플란트치과 공휴일진료치과 영통치과수면치료 광교치아교정치과전문의,,0.33134,0.511281,0.385508,,0.0,415.0,17.0,,0.019447,0.003069,0.007571
2,1935741614,서울쿤스트치과의원,3356,981,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,광교치과 수원치과 수원임플란트 광교교정치과 광교임플란트,,0.33134,0.457561,0.381453,,0.0,-15.0,10.0,,0.019447,-0.008439,0.006701
3,1179408072,다인아트치과의원,2368,300,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 광교치과 광교임플란트 소아치과진료 용인임플란트,,0.33134,0.420416,0.37865,,0.0,238.0,-2.0,,0.019447,0.005602,0.007761
4,36952939,나눔이치과의원,2579,322,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,수원치과 임플란트 치아교정 영통구치과 나눔이치과,,0.33134,0.394775,0.376715,,0.0,149.0,1.0,,0.019447,0.00111,0.007423
5,1093410536,엘포트 해피치과의원,1120,397,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,광교중앙역치과 광교치과 이의동치과 경기도청치과 진심치과,,0.33134,0.377541,0.375414,,0.0,166.0,1.0,,0.019447,0.013396,0.00835
6,1613312276,광교호수 구강내과 소아치과 의원,133,842,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,턱관절통증치료 이갈이치료 소아치과 턱관절 치아교정치과,,0.33134,0.331686,0.371953,,0.0,0.0,5.0,,0.019447,0.026766,0.009358
7,20150031,서울위더스치과의원,396,203,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,기흥치과 임플란트 사랑니발치 턱관절질환 서울위더스치과,,0.33134,0.282174,0.368217,,0.0,1.0,2.0,,0.019447,-0.005531,0.006922
8,38254001,광교삼성화이트치과의원,642,655,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,광교치과 수원치아미백 수원라미네이트 광교중앙역치과 광교임플란트,,0.33134,0.28201,0.368204,,1.0,2.0,2.0,,0.019447,0.008565,0.007985
9,1470771917,소솜치과의원,320,233,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광교치과 상현역스케일링 상현동임플란트 상현치아미백 광교수면임플란트,,0.33134,0.277206,0.367842,,0.0,5.0,0.0,,0.019447,-0.003517,0.007074
10,36511291,연세웰키즈치과의원 수원광교점,35,367,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,광교소아치과 광교어린이치과 수원어린이치과 수원소아치과 광교키즈치과,,0.33134,0.276248,0.367769,,3.0,0.0,1.0,,0.019447,0.016031,0.008548
11,703525548,프라자치과의원,6,350,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,사랑니 과잉치 함치성낭종 수원치과 광교치과,,0.33134,0.268832,0.36721,,1.0,0.0,0.0,,0.019447,0.003318,0.007589
12,1358369825,드림이든소아치과의원,20,262,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영덕동소아치과 흥덕어린이치과 영덕동어린이치과 광교소아치과 광교어린이치과,,0.33134,0.264336,0.36687,,0.0,0.0,7.0,,0.019447,-0.003073,0.007106
13,38421781,광교탑치과의원,277,841,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,광교치과 광교임플란트 광교탑치과 웰빙타운치과 광교교정,,0.33134,0.259857,0.366532,,0.0,0.0,3.0,,0.019447,-0.010452,0.006549
14,20648848,뉴욕다나치과의원,641,86,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,치과 흥덕지구 영덕동 기흥구치과 무통마취,,0.33134,0.253649,0.366064,,3.0,2.0,0.0,,0.019447,0.011016,0.00817
15,34300317,광교미소바른치과의원,6,268,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,치아교정 임플란트 사랑니발치 소아치과 교정과전문의,,0.33134,0.250607,0.365834,,0.0,0.0,1.0,,0.019447,-0.000689,0.007286
16,1616400148,연세라인업치과교정과의원,73,508,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,투명교정인비절라인클리피씨 비발치무턱주걱턱돌출입교정 수원영통교정전문치과 치과교정과전문의 턱관절통증장애장치치료,,0.33134,0.245474,0.365447,,0.0,1.0,24.0,,0.019447,-0.004991,0.006962
17,1858885959,덴티움치과의원,4,81,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 토요일진료 광교치과 덴티움,,0.33134,0.24342,0.365292,,2.0,0.0,0.0,,0.019447,0.003333,0.00759
18,36438739,e튼튼치과의원,45,377,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,잇몸치료 치주치료 스켈링 잇몸성형 임플란트,,0.331294,0.242499,0.365205,,0.0,0.0,0.0,,0.019447,0.002136,0.0075
19,1491327631,글로리아치과교정과치과의원,31,140,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,기흥치과 용인교정치과 용인어린이치과 기흥어린이치과 용인치과,,0.33134,0.241658,0.365159,,0.0,0.0,1.0,,0.019447,-0.003891,0.007045
20,217529166,광교플란트치과의원,3,233,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,광교치과 사랑니 광교임플란트 구강외과 수원임플란트,,0.33134,0.236289,0.364754,,7.0,0.0,4.0,,0.019447,0.021231,0.008941
21,1937654192,광교삼성치과의원,149,261,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,광교임플란트 광교교정치과 광교보철전문의치과 광교심미보철치과 광교치과,,0.33134,0.235023,0.364658,,4.0,0.0,0.0,,0.019447,0.017125,0.008631
