place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1057044943,서울임플나무치과의원 광명,1751,889,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명치과 치아교정충치치료 심미보철라미네이트 당일매복사랑니발치 턱관절수면전악임플란트,,0.33134,0.466507,0.367035,,0.0,324.0,3.0,,0.019447,-0.001407,0.004214
2,1520008942,탑티어치과의원 광명,1573,1518,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,철산역사랑니발치 가산치아교정 하안동인비절라인 광명치과 의식하진정임플란트,,0.33134,0.465454,0.366955,,1.0,188.0,3.0,,0.019447,0.007957,0.00492
3,1521401881,서울김앤장치과의원 광명,1872,1047,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면무통마취 디지털네비게이션임플란트 광명치과 투명부분재교정 충치치료,,0.33134,0.457223,0.366334,,3.0,195.0,39.0,,0.019447,0.019293,0.005776
4,1841368878,내가가는광명치과의원,1569,60,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명치과 광명턱관절치과 광명디지털임플란트 심미라미네이트보철치료 당일매복사랑니발치,,0.33134,0.450794,0.365849,,0.0,259.0,9.0,,0.019447,-0.014483,0.003227
5,34714629,광명77플란트치과의원,4919,696,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,사랑니발치 당일보철 광명사거리역치과 광명치과 철산역치과,,0.33134,0.434061,0.364586,,2.0,238.0,0.0,,0.019447,0.000288,0.004342
6,38327700,서울플란트치과의원 광명,1402,442,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 교정치과 광명치과 철산동치과,,0.33134,0.429868,0.364269,,0.0,61.0,1.0,,0.019447,-0.013985,0.003264
7,11569511,지디플란트치과의원 광명,1380,454,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명치과 광명임플란트 광명교정 광명사랑니 광명턱관절,,0.33134,0.429767,0.364262,,0.0,91.0,3.0,,0.019447,-0.011492,0.003453
8,1569312113,광명리더스치과의원,2155,431,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명치과 임플란트 소하동치과 치아교정 라미네이트,,0.33134,0.421319,0.363624,,0.0,213.0,0.0,,0.019447,-0.008315,0.003692
9,1455370683,서울새봄플란트치과의원,1376,706,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,철산역치과 철산동치과 광명치과 임플란트 라미네이트,,0.33134,0.394857,0.361627,,3.0,143.0,16.0,,0.019447,0.035198,0.006976
10,1975456853,광명탑치과의원 광명,987,308,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광명치과 광명사거리치과 철산치과 광명임플란트치과 광명수면치과,,0.33134,0.373187,0.359992,,0.0,6.0,0.0,,0.019447,-0.026064,0.002353
