place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1954302318,센텀치과의원 광주,1782,245,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일진료 임플란트 수완지구치과 턱관절치료 사랑니발치,,0.33134,0.468833,0.468022,,3.0,192.0,8.0,,0.019447,0.015299,0.009494
2,35801798,광주신세계치과의원,3209,314,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광천동치과 임플란트 야간치과 전체임플란트,,0.33134,0.468683,0.468011,,1.0,384.0,0.0,,0.019447,0.0108,0.009155
3,1675858477,완플란트치과의원 광주,467,154,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 광주치과 상무지구치과 광주임플란트 스케일링,,0.33134,0.46478,0.467716,,2.0,5.0,6.0,,0.019447,0.015695,0.009524
4,1159828780,아삭플란트치과의원 광주,1708,94,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 광주치과 치평동치과 운천역치과,,0.33134,0.463487,0.467619,,0.0,91.0,0.0,,0.019447,-0.006945,0.007816
5,1180931147,옳치치과의원 광주,1727,154,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주사랑니발치 광주서구치과 광주임플란트치과 광주야간진료치과 광천동치과,,0.33134,0.4482,0.466465,,1.0,545.0,3.0,,0.019447,0.008943,0.009014
6,1779810394,세계로탑치과의원 광주,1346,1866,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수완지구치과 수완지구임플란트 수완지구사랑니 광주치과야간진료 광주임플란트,,0.33134,0.447726,0.466429,,4.0,211.0,18.0,,0.019447,0.03681,0.011117
7,37422090,제이탑치과의원,518,198,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,화정동치과 광주치과 광주사랑니 서구치과 광주임플란트,,0.33134,0.441688,0.465973,,0.0,33.0,4.0,,0.019447,-0.017237,0.007038
8,1553977374,W화이트치과의원,3070,317,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,광주치과 광주동구치과 치과 광주북구치과 광주임플란트,,0.33134,0.440927,0.465916,,0.0,70.0,2.0,,0.019447,0.009256,0.009038
9,37076753,제이엘치과의원,2633,886,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 상무지구치과 임플란트 치아미백 스케일링,,0.33134,0.438077,0.465701,,4.0,296.0,0.0,,0.019447,0.035263,0.011001
10,13264583,효치과의원,2251,275,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,광주치과 광주서구치과 광주임플란트 광주라미네이트 광주수면임플란트,,0.33134,0.435666,0.465519,,0.0,3.0,3.0,,0.019447,0.0072,0.008883
11,1749854930,선한약속치과의원,1136,419,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 운암동치과 광주임플란트 사랑니발치 광주턱관절,,0.33134,0.422441,0.464521,,7.0,238.0,24.0,,0.019447,0.041268,0.011454
12,1540202921,365바른마음치과의원 첨단,1038,462,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 첨단치과 광주주말치과 광산구치과 광주임플란트,,0.33134,0.421381,0.464441,,0.0,8.0,15.0,,0.019447,0.000333,0.008365
13,1518351272,화정 힐스 치과 의원,375,108,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 야간진료 잇몸치료 사랑니발치 화정동치과,,0.33134,0.416153,0.464046,Hot,39.0,-5.0,4.0,,0.019447,0.124308,0.017721
14,1290017310,활짝웃는치과교정과치과의원,1096,449,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,광주치과 광주치아교정 광주교정치과 월계동치과 첨단지구치과,,0.33134,0.416094,0.464042,,0.0,68.0,-1.0,,0.019447,0.005718,0.008771
15,13495294,이클린치과의원 광주,1486,201,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주임플란트 광주남구치과 턱관절 광주사랑니,,0.33134,0.41328,0.463829,,0.0,348.0,1.0,,0.019447,0.021342,0.00995
16,38018389,킹덤치과의원,2655,413,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주임플란트 봉선동치과 광주수면임플란트 광주남구치과,,0.33134,0.406856,0.463345,,0.0,379.0,6.0,,0.019447,0.011656,0.009219
17,1030438709,퍼스트플란트치과의원,1946,59,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주북구치과 광주임플란트 운암동치과 광주사랑니발치,,0.33134,0.404254,0.463148,,0.0,8.0,0.0,,0.019447,-0.001267,0.008244
18,1087132029,반듯한치과의원,1000,117,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 봉선동치과 인비절라인 광주교정치과 교정과전문의,,0.33134,0.400014,0.462828,Hot,10.0,521.0,1.0,,0.019447,0.043621,0.011631
19,811654594,오늘안치과의원,665,394,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,화정동치과 염주동치과 광주라미네이트 임플란트 사랑니발치,,0.33134,0.396589,0.46257,,0.0,35.0,6.0,,0.019447,0.004816,0.008703
20,1856461826,수완스타치과의원 광주,730,17612,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,광주치과 광주임플란트 수완지구치과 수완지구임플란트 광주교정치과,,0.33134,0.39135,0.462174,,0.0,11.0,205.0,,0.019447,-2e-05,0.008338
21,33525211,더편한치과의원,1944,303,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,광주치과 광주사랑니 임플란트 수완지구치과 수완지구사랑니,,0.33134,0.388659,0.461971,,0.0,137.0,2.0,,0.019447,0.01005,0.009098
22,1247209176,오후의치과의원 광주,1695,431,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 스케일링 치아미백 광주야간진료치과 수완지구치과,,0.33134,0.382047,0.461472,,0.0,451.0,9.0,,0.019447,0.016457,0.009581
23,36655008,광주365치과의원,1043,406,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,광주치과 광주임플란트 수완지구치과 수완지구임플란트 광산구치아교정,,0.33134,0.381266,0.461413,,0.0,81.0,2.0,,0.019447,0.016887,0.009614
24,37544070,바로치과의원 광주,1176,82,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,임플란트 틀니 광주치과 양산동치과 광주북구치과,,0.33134,0.377309,0.461115,,3.0,232.0,0.0,,0.019447,0.017318,0.009647
25,1020948309,세움치과의원,797,911,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,광주치과 상무지구치과 임플란트 치아교정 심미치료,,0.33134,0.374501,0.460903,,0.0,174.0,0.0,,0.019447,-0.005776,0.007904
26,97595873,빛고을치과의원,703,285,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,광주임플란트 광주야간진료 광주치과 광주치아미백 광주남구치과,,0.33134,0.3587,0.45971,,0.0,30.0,0.0,,0.019447,-0.001841,0.0082
27,35326404,우리동네치과의원,392,351,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 화정동치과 임플란트 치아교정 신경치료,,0.33134,0.358049,0.459661,,6.0,2.0,1.0,,0.019447,0.014989,0.009471
28,13277598,유디치과의원 광주학동점,843,425,치과,건강의료>병원>병원의원>치과>유디치과,0.0,,임플란트 충치치료 치아미백 스케일링 광주학동치과,,0.33134,0.357507,0.45962,,1.0,12.0,4.0,,0.019447,0.002381,0.008519
29,31107183,에이스치과의원,711,258,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주하남치과 하남2지구치과 디지털임플란트 사랑니발치,,0.33134,0.3544,0.459386,,3.0,5.0,0.0,,0.019447,0.006122,0.008802
30,33636405,반석치과교정과 구강악안면외과치과의원,343,184,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,치평동상무반석치과 치아교정 교정치과,,0.33134,0.351996,0.459204,,4.0,1.0,0.0,,0.019447,0.017663,0.009672
31,1954285176,광천 미서울 치과의원,689,242,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주라미네이트 광주서구치과 광주무삭제라미네이트 광주부분교정 광주임플란트,,0.33134,0.349429,0.45901,,0.0,68.0,12.0,,0.019447,-0.013205,0.007342
32,33676515,피카소치과의원,1198,127,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주교정치과 상무지구치아교정 광주서구교정치과 인비절라인 교정과전문의,,0.33134,0.349405,0.459009,,0.0,7.0,0.0,,0.019447,-0.002335,0.008163
33,37644862,중앙치과의원,429,151,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,광주치과 두암동치과 광주북구치과 매복사랑니 임플란트,,0.33134,0.348917,0.458972,,0.0,2.0,1.0,,0.019447,-0.012359,0.007407
34,36894585,더블엠 구강악안면외과 치과의원,140,761,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,사랑니 양악수술 돌출입수술 광주매복사랑니 광주턱관절,,0.331294,0.34715,0.458821,,0.0,1.0,1.0,,0.019447,-0.005969,0.007889
35,1165352265,서울우리아이치과의원,99,915,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 임플란트 라미네이트 턱관절 소아치과,,0.33134,0.338014,0.458149,,4.0,1.0,0.0,,0.019447,0.019992,0.009848
36,36886419,튼튼이어린이치과의원,15,289,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,어린이치과 아동치과 소아치과,,0.33134,0.334785,0.457905,,6.0,0.0,0.0,,0.019447,0.023764,0.010133
37,1454123254,광주라온치과의원,1141,275,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 주월동치과 매복사랑니발치 라미네이트 디지털네비게이션임플란트,,0.33134,0.327139,0.457328,,1.0,40.0,1.0,,0.019447,0.008407,0.008974
38,1194925595,스마트원치과병원,1089,1999,치과,건강의료>병원>병원의원>치과>치과-일반,4.92,,광주치과 광주수면임플란트 상무지구치과 무삭제라미네이트 사랑니발치,,0.33134,0.326171,0.457255,,0.0,76.0,9.0,,0.019447,-0.006145,0.007875
39,34362617,하나어린이치과의원,24,254,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.324443,0.457107,,6.0,0.0,1.0,,0.019447,0.017346,0.009648
40,1237139767,유디수완치과의원,137,148,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수완지구치과 수완지구임플란트 수완지구사랑니 광주임플란트 광주유디치과,,0.33134,0.323962,0.457088,,0.0,0.0,3.0,,0.019447,-0.001367,0.008236
41,1335071240,신사플란트치과병원,350,526,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주임플란트 광주수면임플란트 임플란트 수면임플란트,,0.33134,0.322971,0.457014,,2.0,12.0,34.0,,0.019447,0.012847,0.009309
42,1055418020,쏙쏙사랑니치과의원 전남광주,332,534,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주사랑니 전남사랑니 광주사랑니발치 용봉동치과 전남사랑니발치,,0.33134,0.321952,0.456937,,0.0,2.0,5.0,,0.019447,0.004932,0.008712
43,2080250694,리본치과의원,85,78,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주화정동치과 화정동임플란트 염주동보톡스 광주서구치과 염주동치과,,0.33134,0.318589,0.456683,,0.0,12.0,3.0,,0.019447,0.004876,0.008707
44,1422340897,봄봄아이치과의원,54,1037,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진월동치과 화순치과 나주치과 광주어린이치과 광주소아치과,,0.33134,0.306002,0.455733,Hot,11.0,0.0,5.0,,0.019447,0.02121,0.00994
45,820711223,기분좋은치과의원,1249,358,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,광주치과 광주임플란트 광주보철치과 광산구치과 광주보철과전문의,,0.33134,0.303641,0.455555,,6.0,-1.0,1.0,,0.019447,0.007689,0.00892
46,13264877,전남대학교치과병원,123,235,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.302543,0.455455,,4.0,0.0,0.0,,0.019447,0.005204,0.008732
47,2054936395,공감플란트치과의원,265,48,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일곡동치과 임플란트 보철치료 광주치과 충치치료,,0.33134,0.301582,0.455399,,0.0,-10.0,0.0,,0.019447,-0.007168,0.007798
48,1463377315,바른이치과교정과치과의원,123,161,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,교정치과 어린이교정 돌출입교정 턱관절치과 첨단교정치과,,0.33134,0.301052,0.455359,,1.0,9.0,7.0,,0.019447,0.002688,0.008542
49,11001898,미르치과병원 광주,25,1354,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,상무지구치과 광주임플란트치과 광주치과 광주일요일치과 광주미르치과병원,,0.33134,0.299544,0.455245,Hot,10.0,0.0,4.0,,0.019447,0.017093,0.009629
50,35084711,굿스마일 치과교정과 치과의원,176,181,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,교정치과 치아교정 교정전문의 인비절라인 소아교정,,0.33134,0.299312,0.455228,,0.0,0.0,0.0,,0.019447,-0.002724,0.008134
