place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1166361859,서울홍바른치과,2,62,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,괴산치과 괴산임플란트 괴산소아치과 괴산틀니 괴산구강검진,,0.33134,0.255775,0.333017,,0,-,-,,-,-,-
2,13349604,괴산연합치과의원,4,67,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,,,0.341289,0.149751,0.32877,,0,-,-,,-,-,-
3,21278816,이튼형제치과의원,1,20,치과,건강의료>병원>병원의원>치과>치과-일반,3.92,,,,0.331294,0.156626,0.325517,,0,-,-,,-,-,-
4,13248807,연세치과의원,3,11,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.122088,0.32291,,0,-,-,,-,-,-
5,36604617,한국치과의원,0,7,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.099666,0.321218,,0,-,-,,-,-,-
6,1707044385,학군교치과의원,0,0,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.056724,0.317977,,0,-,-,,-,-,-
7,30943553,괴산성모병원,8,605,병원의원,건강의료>병원>병원의원>병원의원-일반,4.14,,,,0.0,0.244694,0.207147,,0,-,-,,-,-,-
8,13248798,괴산군보건소,5,42,보건소,건강의료>병원>보건소>보건소-일반,4.33,,,,0.0,0.208758,0.204435,,0,-,-,,-,-,-
9,13248810,청천보건지소,0,2,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.106416,0.196711,,0,-,-,,-,-,-
10,13248870,사리보건지소,2,0,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.099745,0.196207,,0,-,-,,-,-,-
11,13248877,청안보건지소,0,1,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.082343,0.194894,,0,-,-,,-,-,-
12,1431539423,충주열린치과의원,405,560,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충주열린치과 충주임플란트치과 원데이보철 충주교정치과 앞니부분치아교정,,0.33134,0.280452,0.1462,,0,-,-,,-,-,-
13,1754194565,서울미소치과의원,8,105,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,음성치과 음성임플란트 음성교정치과 음성틀니 음성읍치과,,0.33134,0.225565,0.142058,,0,-,-,,-,-,-
14,1768417480,호암e좋은치과의원,2,68,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,,,0.331294,0.214696,0.14122,,0,-,-,,-,-,-
15,1306920689,이영진바른이치과의원,0,97,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,교정치과 치아교정 충주교정치과,,0.33134,0.204216,0.140447,,0,-,-,,-,-,-
16,1442880158,충주하나치과의원,0,102,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트 사랑니발치 충치치료 신경치료,,0.33134,0.195934,0.139821,,0,-,-,,-,-,-
17,31526146,선플란트치과의원,2,40,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,음성치과 음성읍치과 음성임플란트 임플란트 치과,,0.33134,0.186917,0.139141,,0,-,-,,-,-,-
18,1758176660,서울더바른치과의원,0,20,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 신경치료 심미보철 사랑니발치 치주치료,,0.331294,0.176858,0.138365,,0,-,-,,-,-,-
19,13249158,푸른치과의원,3,62,치과,건강의료>병원>병원의원>치과>치과-일반,3.91,,,,0.331294,0.172417,0.138029,,0,-,-,,-,-,-
20,13249156,현대치과의원,9,42,치과,건강의료>병원>병원의원>치과>치과-일반,4.06,,음성충치치료 음성읍치과 음성현대치과 음성임플란트 괴산틀니,,0.33134,0.15597,0.136805,,0,-,-,,-,-,-
21,13249139,중앙치과의원,3,36,치과,건강의료>병원>병원의원>치과>치과-일반,3.71,,,,0.331294,0.135666,0.135256,,0,-,-,,-,-,-
22,1176299656,유치과의원,1,12,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 상악동 레이져 보험틀니 보험임플란트,,0.331294,0.097541,0.132378,,0,-,-,,-,-,-
23,13248091,조운치과의원,1,7,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.049127,0.128724,,0,-,-,,-,-,-
24,11671124,음성군보건소,22,33,보건소,건강의료>병원>보건소>보건소-일반,4.65,,,,0.0,0.26986,0.020367,,0,-,-,,-,-,-
