place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1136591025,서울이편한치과의원,1320,455,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면임플란트 일요일진료치과 야간진료치과 투명교정 사랑니발치,,0.33134,0.442894,0.446762,,0.0,101.0,1.0,,0.019493,-0.015992,0.006149
2,20601846,굿플러스치과의원,2320,226,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,구리치과 구리임플란트 구리치과전문의 구리사랑니 구리잘하는치과,,0.33134,0.435967,0.446239,,2.0,183.0,4.0,,0.019447,0.02116,0.008936
3,36893184,서울티스치과의원 구리본원,1068,1226,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,구리치과 구리임플란트 구리신경치료 구리사랑니 구리교정치과,,0.33134,0.433963,0.446088,,0.0,97.0,4.0,,0.019447,-0.001094,0.007256
4,1077458683,참조은치과의원 구리,1567,416,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구리치과 수면임플란트 수택동사랑니발치 구리역스케일링 인창동치아교정,,0.33134,0.430163,0.445801,,0.0,144.0,7.0,,0.019447,-0.011322,0.006484
5,1634787496,연세바른치과의원,900,365,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구리치과임플란트 인창동치과사랑니발치 구리역치과턱관절진료 미세현미경신경잇몸치료 충치보철치료,,0.33134,0.427098,0.44557,,0.0,124.0,0.0,,0.019447,0.023431,0.009107
6,1144707638,나인치과의원 구리,1282,599,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,구리치과 구리임플란트 구리시치과 구리교정치과 구리사랑니,,0.33134,0.413242,0.444524,,0.0,189.0,-1.0,,0.019447,0.012064,0.008249
7,11717672,세란치과의원,1269,271,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,구리역치과 구리치과 구리사랑니 구리시중장년성인교정 수택동치과,,0.33134,0.392716,0.442975,,0.0,43.0,9.0,,0.019447,0.000865,0.007404
8,1229023614,화이트365치과의원 구리,885,397,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구리치과 구리교정치과 구리사랑니 수면임플란트 구리치과야간진료,,0.33134,0.383607,0.442287,,0.0,19.0,30.0,,0.019447,-0.005989,0.006886
9,1426155356,서울에스플러스치과의원 구리,520,574,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,치아교정 교정치과 임플란트 충치치료 사랑니발치,,0.33134,0.354953,0.440125,,0.0,73.0,-1.0,,0.019447,-0.018874,0.005914
10,1860583537,바라봄치과교정과의원,1469,174,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,비발치부분교정 충치치료 인비절라인투명교정 치아교정 임플란트,,0.331294,0.352345,0.439911,,1.0,117.0,8.0,,0.019447,0.056098,0.011573
