place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1045272212,연세바로세움치과의원 산본,1506,157,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 무통마취 충치치료 산본치과 재신경치료,,0.33134,0.47667,0.376858,,5.0,141.0,0.0,,0.019447,0.085679,0.013805
2,1273945066,미래플란트치과의원,2126,563,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 틀니 사랑니발치 일요일진료 산본치과,,0.33134,0.450887,0.374912,,0.0,51.0,1.0,,0.019447,-0.003887,0.007045
3,1833216804,서울이랑드치과의원,1342,208,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,산본치과 산본역임플란트 금정역신경치료 군포치과 이랑드치과,,0.33134,0.438411,0.373971,,0.0,90.0,-8.0,,0.019447,-0.017821,0.005994
4,1875477625,군포본플란트치과의원,2015,285,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,군포턱관절치과 틀니보철심미치료 네비게이션임플란트 매복사랑니발치 뼈이식임플란트치과,,0.33134,0.436553,0.37383,,0.0,132.0,1.0,,0.019447,0.018022,0.008698
5,1295580809,서울미라클치과의원,1374,589,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,산본치과 충치신경보존치료 완전매복사랑니발치 수면마취치료치과 원데이네비게이션임플란트,,0.33134,0.423398,0.372838,,0.0,71.0,5.0,,0.019447,-0.00815,0.006724
6,1873975567,바로이치과의원 산본,1513,1586,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,라미네이트 수면치과치료 원데이네비게이션임플란트 투명치아교정인비절라인 온누리상품권가맹점,,0.33134,0.416889,0.372346,,0.0,-44.0,40.0,,0.019447,0.001215,0.00743
7,38500749,산본유니드치과의원,618,648,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,산본치과 산본임플란트 산본교정치과 산본스케일링 틀니,,0.33134,0.403645,0.371347,,2.0,81.0,0.0,,0.019447,0.034573,0.009948
8,1278821587,잘해주는치과의원,383,1389,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,산본치과 비에프치과 BF치과 어린이치과 온누리상품권가맹점,,0.33134,0.387485,0.370127,,0.0,32.0,8.0,,0.019447,0.0184,0.008727
9,1171156532,서울에스치과의원,885,399,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니당일발치 산본치과 턱관절 원데이임플란트 구강검진,,0.33134,0.369453,0.368766,,0.0,533.0,2.0,,0.019447,-0.010171,0.006571
10,13475721,산본효치과의원,47,273,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,야간진료 산본효치과 산본치과 산본역치과 산본에이치치과,,0.33134,0.355438,0.367709,Hot,11.0,0.0,0.0,,0.019447,0.109686,0.015617
