place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1932339593,타이거치과의원,1963,1190,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 수원임플란트 수원치아교정 수원교정치과,,0.33134,0.457899,0.420725,,1.0,367.0,20.0,,0.019447,0.034934,0.012995
2,37220521,맑은미소치과의원,2544,657,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 수원치아교정전문의 수원내비게이션임플란트 권성동매복사랑니발치 틀니보철심미치료,,0.33134,0.427676,0.418444,,1.0,249.0,1.0,,0.019447,0.014781,0.011474
3,1033408174,수원본플란트치과의원,1567,1102,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원턱관절치과 수원매복사랑니발치 수원라미네이트치과 수원권선구치과 고난이도임플란트,,0.33134,0.423829,0.418153,,0.0,83.0,7.0,,0.019447,-0.014726,0.009246
4,1126950654,수원이로운치과의원,253,110,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,금곡동구강외과 호매실치과 호매실턱관절 호매실사랑니 구강악안면외과전문의,,0.33134,0.325597,0.410739,,1.0,0.0,0.0,,0.019447,0.016463,0.0116
5,12767865,이노치과의원 수원,200,195,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,심미치료 임플란트 사랑니발치 충치치료 보철치료,,0.331294,0.3129,0.409764,,0.0,48.0,1.0,,0.019447,0.002409,0.010539
6,1876278097,꿈꾸는소아치과의원,40,831,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,호매실소아치과 호매실어린이치과 금곡동소아치과 수원소아치과 수원어린이치과,,0.33134,0.296596,0.408551,,1.0,0.0,9.0,,0.019447,0.010819,0.011174
7,1823063197,바른본치과의원 수원,637,718,치과,건강의료>병원>병원의원>치과>치과-일반,4.95,,매교역임플란트재수술 우만동축농증치료 세류동턱관절치료 수원역치과 팔달잇몸고름,,0.33134,0.273069,0.406775,,2.0,2.0,10.0,,0.019447,0.017179,0.011654
8,37837385,삼성바른아이치과의원,61,850,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,호매실어린이치과 수원소아치과 서수원소아치과 어린이교정 진정치료,,0.33134,0.271759,0.406676,,0.0,0.0,3.0,,0.019447,-0.00362,0.010084
9,1996926509,서울새봄플란트치과의원 수원점,73,428,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치치료 권선구치과 권선구임플란트 수원임플란트 수원양심치과,,0.33134,0.263339,0.406041,,2.0,0.0,2.0,,0.019447,0.013745,0.011395
10,13197900,연세현플란트치과의원,194,591,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,권선동치과 수원시청역치과 권선동임플란트 충치치료 금연치료,,0.33134,0.261868,0.40593,,0.0,4.0,0.0,,0.019447,-0.038797,0.00743
