place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1698062138,김포베스트치과의원,4436,511,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,김포치과 구래동치과 구래역치과 임플란트 스케일링,,0.33134,0.481063,0.440586,,0.0,464.0,10.0,,0.019447,0.00076,0.007396
2,37580406,설아인치과의원,2261,676,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,구래동치과 김포라미네이트 구래동앞니 김포투명교정 김포치과,,0.33134,0.474709,0.440106,,0.0,197.0,5.0,,0.019447,0.015425,0.008502
3,41814394,든든한치과의원,3534,472,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,구래동치과 김포치과 임플란트 틀니 스켈링,,0.33134,0.455163,0.438631,,1.0,317.0,0.0,,0.019447,0.006872,0.007857
4,36648490,다올치과의원,3116,533,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,김포치과 수면치료 김포턱관절치료 김포수면임플란트시술 매복사랑니발치,,0.33134,0.451592,0.438362,,1.0,235.0,5.0,,0.019447,0.005635,0.007764
5,1652442305,다나을치과의원,2335,431,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,소아치과 임플란트 치아교정 구래동치과 김포교정치과,,0.33134,0.448504,0.438129,,1.0,578.0,0.0,,0.019447,0.004936,0.007712
6,1816566435,임플라인치과의원 김포,1151,500,치과,건강의료>병원>병원의원>치과>치과-일반,4.89,,구래동치과 김포임플란트 무삭제라미네이트 소아교정치과 김포교정치과,,0.33134,0.443007,0.437714,,2.0,212.0,1.0,,0.019447,0.019152,0.008784
7,1646939116,김포더맑은치과의원,3386,692,치과,건강의료>병원>병원의원>치과>치과-일반,4.93,,김포치과 구래동치과 임플란트 김포충치치료 사랑니,,0.33134,0.435599,0.437155,,0.0,108.0,4.0,,0.019447,0.011041,0.008172
8,968629316,리본치과의원,2501,503,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,치과 임플란트 치아교정 사랑니 잇몸치료,,0.33134,0.43154,0.436848,,0.0,111.0,-3.0,,0.019447,-0.02315,0.005591
9,1659866706,김포감동치과의원,703,773,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,장기동치과 장기동임플란트 장기동사랑니 운양동치과 운양동임플란트,,0.33134,0.386363,0.433439,,2.0,14.0,8.0,,0.019447,0.012826,0.008307
10,1753653297,서울미드림치과의원,807,92,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,고촌치과 김포치과 김포임플란트 고촌충치치료 고촌사랑니발치,,0.33134,0.384663,0.433311,,0.0,87.0,3.0,,0.019447,0.004334,0.007666
11,1078660953,연세미소온치과의원,1010,618,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,김포치과 구래동치과 임플란트 수면임플란트 사랑니,,0.33134,0.384464,0.433295,,0.0,27.0,3.0,,0.019447,-0.009676,0.006608
12,1680478941,김포맥치과의원,2134,213,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,김포치과 김포투명교정 김포임플란트 김포틀니 김포심미보철,,0.33134,0.380174,0.432972,,0.0,87.0,0.0,,0.019447,0.012591,0.008289
13,11486635,맞춤치과교정과치과의원,606,289,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,치아교정치과,,0.33134,0.343532,0.430206,,1.0,17.0,1.0,,0.019447,0.011685,0.00822
14,36477534,퍼스트치과의원 김포,1980,581,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,김포치과 김포임플란트 구래동치과 구래동임플란트 김포충치치료,,0.33134,0.340891,0.430007,,1.0,0.0,0.0,,0.019447,0.009648,0.008067
15,13317050,서울바른치과교정과치과의원,244,907,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,김포치과 김포치아교정 김포교정치과 인천서구치과 사우동치과,,0.33134,0.332269,0.429356,,2.0,5.0,0.0,,0.019447,0.011478,0.008205
16,1805624520,서울마스터치과의원 김포,1594,524,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,수면임플란트 김포치과 구래동치과 구래역치과 미세현미경치료,,0.33134,0.328172,0.429047,,0.0,8.0,2.0,,0.019447,-0.03043,0.005042
17,1510427328,풍무 굿드림치과의원,1481,394,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,풍무동치과 풍무역치과 원데이임플란트 사랑니당일발치 미세현미경신경치료,,0.33134,0.326633,0.428931,,0.0,-1.0,0.0,,0.019447,-0.001336,0.007238
18,1486243868,한강아이온소아치과치과의원,70,871,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,김포어린이치과 김포진정치료 영유아구강검진 성장기치아교정 인비절라인투명교정,,0.33134,0.317423,0.428236,,1.0,3.0,1.0,,0.019447,0.00851,0.007981
