place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,36046262,인플란트치과의원,4538,661,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,김해임플란트 부원동치과 부원동임플란트 김해사랑니 김해수면마취,,0.33134,0.49399,0.428222,,1.0,183.0,7.0,,0.019447,0.019159,0.008784
2,13002666,뉴욕치과병원,2344,1592,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,김해치과 김해임플란트 김해치아교정 김해어린이치과 김해교정치과,,0.33134,0.484722,0.427523,,0.0,302.0,6.0,,0.019447,-0.001174,0.00725
3,13136050,자기치아살리기365일야간드림플란트치과병원,2346,2776,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,치과 임플란트 교정치과 사랑니 김해치과,,0.33134,0.466087,0.426116,,1.0,157.0,2.0,,0.019447,0.007144,0.007877
4,1186114046,김해명품치과의원,4552,253,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,김해임플란트틀니 구산동사랑니발치 외동야간진료치과 내동턱관절물리치료 김해치아미백,,0.33134,0.465982,0.426109,,1.0,174.0,2.0,,0.019447,0.007486,0.007904
5,1591456204,365엠아이치과의원 김해장유,2385,1829,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,김해치과 율하치과 장유치과 김해율하임플란트 김해율하일요일치과,,0.33134,0.461984,0.425807,,0.0,80.0,17.0,,0.019447,-0.004289,0.007015
6,20362001,리더스치과의원,2331,283,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 미세현미경 김해임플란트 김해치과 김해삼계치과,,0.33134,0.459073,0.425587,,2.0,458.0,0.0,,0.019447,0.026176,0.009314
7,34919186,미소치과의원 김해,3280,460,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,치과 임플란트 치아교정 교정치과 충치치료,,0.33134,0.448416,0.424783,,2.0,429.0,28.0,,0.019447,0.016511,0.008585
8,896688990,우가주치과병원,2524,1000,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,김해치과 김해외동치과 김해외동임플란트 김해내동치과 김해내동임플란트,,0.33134,0.447756,0.424733,,0.0,508.0,2.0,,0.019447,-0.006119,0.006877
9,1604357743,더이로운치과의원,3833,91,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,김해임플란트 김해충치 김해야간진료 김해투명교정 김해치과,,0.33134,0.440783,0.424207,,0.0,-3.0,0.0,,0.019447,0.000699,0.007392
10,1892642237,김해안아픈숙면치과,2754,374,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,김해치과 수면마취전체임플란트치과 김해매복사랑니발치 고난이도뼈이식임플란트치과 충치치주신경치료치과,,0.33134,0.437642,0.42397,,1.0,310.0,5.0,,0.019447,0.03381,0.009891
11,1770854155,새로치과의원,1778,185,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,김해치과 김해임플란트 김해사랑니치과 김해내외동치과 새로치과,,0.33134,0.430681,0.423444,,0.0,276.0,9.0,,0.019447,0.003119,0.007574
12,33050170,율하수치과의원,276,296,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,임플란트 율하치과 장유치과 충치치료 사랑니,,0.33134,0.366374,0.418591,,0.0,1.0,6.0,,0.019447,0.010155,0.008105
13,1415107944,로이스서울치과의원,209,49,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,김해임플란트 김해치과 김해사랑니 김해임플란트치과 수면마취치과,,0.33134,0.346364,0.417081,,0.0,0.0,11.0,,0.019447,0.00638,0.00782
14,38647963,큰치과의원 김해,2063,239,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,김해치과 내외동치과 임플란트 수로왕릉역치과 외동치과,,0.33134,0.345097,0.416985,,0.0,-5.0,3.0,,0.019447,0.00848,0.007979
15,1535745917,세브란스치과의원,602,561,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,장유치과 율하치과 임플란트 사랑니발치 김해치과,,0.33134,0.325604,0.415514,,1.0,4.0,2.0,,0.019447,0.024141,0.009161
16,1891952729,김해제일치과의원,1384,207,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,김해치과 김해임플란트 김해사랑니 김해야간진료치과 김해삼방동치과,,0.33134,0.318554,0.414982,,3.0,200.0,6.0,,0.019447,0.032687,0.009806
17,11484739,오즈어린이치과의원,35,232,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,어린이치과 김해어린이치과 김해소아치과 내동어린이치과 김해아이치과,,0.33134,0.311374,0.41444,,0.0,0.0,2.0,,0.019447,0.015224,0.008488
18,1376530952,진영마미치과의원,31,345,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진영어린이치과치료 진영치과 김해진영치과 진영가족치과 김해어린이충치,,0.33134,0.310063,0.414341,,2.0,0.0,1.0,,0.019447,0.028036,0.009455
19,1458882761,장유뉴욕치과병원,6,170,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,김해치과 김해임플란트 김해스케일링 김해치아교정 장유치과,,0.33134,0.307859,0.414175,,0.0,0.0,0.0,,0.019447,-0.011421,0.006477
