place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1705829512,해와달치과의원,4,670,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,나주치과 나주임플란트 나주치아교정 나주디지털가이드임플란트 나주네비게이션임플란트,,0.33134,0.276247,0.334562,,0.0,0.0,3.0,,0.019447,0.003638,0.007613
2,1291793229,라스어린이치과의원,16,169,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,나주_어린이치과 나주_소아치과 빛가람_어린이치과 나주혁신도시_어린이치과,,0.33134,0.270856,0.334155,,1.0,0.0,0.0,,0.019447,0.010058,0.008098
3,1270555021,가지런이치과교정과치과의원,566,273,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,나주치과 나주치아교정 혁신도시치과 빛가람동치과 나주임플란트,,0.33134,0.261391,0.333441,,0.0,2.0,1.0,,0.019447,-0.000143,0.007328
4,1952688047,시엘행복한치과의원,418,137,치과,건강의료>병원>병원의원>치과>치과-일반,3.99,,나주치과 나주혁신도시치과 나주임플란트 나주혁신도시임플란트 임플란트,,0.33134,0.251477,0.332693,,0.0,3.0,0.0,,0.019447,0.006516,0.007831
5,573482805,즐거운치과의원,0,136,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,나주임플란트 나주치아보존 나주치아미백 나주심미보철,,0.331294,0.246684,0.332314,,1.0,0.0,0.0,,0.019447,0.017324,0.008647
6,36542319,서울훈치과의원,1,276,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.233256,0.3313,,0.0,0.0,0.0,,0.019447,-0.007872,0.006744
7,37301641,이튼튼치과의원,2,70,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.213393,0.329801,,2.0,0.0,0.0,,0.019447,0.02145,0.008957
8,648914189,산들치과의원,3,180,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,나주치과 혁신도시치과 임플란트 심미치료,,0.33134,0.205293,0.329207,,0.0,0.0,0.0,,0.019447,-0.011334,0.006483
9,1886645887,하나로치과의원,1,46,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.205086,0.329174,,1.0,0.0,0.0,,0.019447,0.014873,0.008461
10,19533448,성심치과의원,13,91,치과,건강의료>병원>병원의원>치과>치과-일반,4.1,,치과 임플란트 스케일링 신경치료 수면치료,,0.33134,0.196316,0.32853,,0.0,0.0,0.0,,0.019447,-0.003728,0.007058
11,13262603,튼튼치과의원,3,47,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,,,0.331294,0.182023,0.327434,,1.0,0.0,0.0,,0.019447,0.002007,0.007491
12,1669492529,명문플란트치과의원,16,82,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,남평치과 남평임플란트 남평스케일링 나주치과,,0.33134,0.179353,0.327249,,0.0,0.0,0.0,,0.019447,-0.001156,0.007251
13,1628475020,중흥가족치과의원,0,124,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,치과 임플란트 충치치료 보철 나주혁신도시치과,,0.33134,0.175675,0.326972,,1.0,0.0,0.0,,0.019447,0.009478,0.008054
14,13376885,나주모아치과의원,4,129,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 충치치료 틀니,,0.331294,0.170963,0.326599,,0.0,0.0,0.0,,0.019447,-0.006915,0.006817
15,239648221,준치과의원,0,57,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,나주치과 나주임플란트 네비게이션임플란트 디오나비 나주준치과,,0.33134,0.163387,0.326044,,0.0,0.0,0.0,,0.019447,0.005788,0.007775
16,1375916642,홍플란트치과의원,1,30,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,홍플란트치과 나주치과 나주임플란트 영산포치과 영산포임플란트,,0.33134,0.162871,0.326005,,3.0,0.0,1.0,,0.019447,0.031223,0.009695
17,19533457,정용환치과의원,0,45,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.158827,0.325683,,1.0,0.0,0.0,,0.019447,0.025602,0.009271
18,19533490,열린치과의원,1,32,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.154958,0.325391,,0.0,0.0,0.0,,0.019447,0.010024,0.008095
19,19877994,서울S치과의원,0,82,치과,건강의료>병원>병원의원>치과>치과-일반,3.43,,,,0.331294,0.145496,0.324677,,0.0,0.0,0.0,,0.019447,0.003077,0.007571
20,13262663,조은치과의원,2,24,치과,건강의료>병원>병원의원>치과>치과-일반,4.0,,,,0.331294,0.138502,0.324149,,3.0,0.0,0.0,,0.019447,0.018043,0.0087
21,19533346,이수원치과의원,1,54,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,,,0.331294,0.125208,0.323146,,0.0,0.0,0.0,,0.019447,-0.004591,0.006993
22,424139224,박지우플란트치과의원,0,23,치과,건강의료>병원>병원의원>치과>치과-일반,3.8,,나주치과 나주임플란트 나주틀니 함평치과 나주야간진료,,0.33134,0.124355,0.323099,,2.0,0.0,0.0,,0.019447,0.008784,0.008002
23,13262620,나치과의원,2,45,치과,건강의료>병원>병원의원>치과>치과-일반,3.93,,,,0.331294,0.120512,0.322791,,0.0,0.0,0.0,,0.019447,-0.007965,0.006737
24,19531346,중앙치과의원,0,22,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,,,0.331294,0.116928,0.322521,,3.0,0.0,0.0,,0.019447,0.011143,0.00818
25,19513618,강치과의원,0,27,치과,건강의료>병원>병원의원>치과>치과-일반,4.03,,,,0.331294,0.113075,0.32223,,0.0,0.0,0.0,,0.019447,-0.008511,0.006696
26,13262606,수성치과의원,2,56,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.112928,0.322219,,0.0,0.0,0.0,,0.019447,-0.002377,0.007159
27,13262570,김준형치과의원,2,31,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,,,0.331294,0.112551,0.32219,,0.0,0.0,0.0,,0.019447,0.001397,0.007444
28,19533840,남평치과의원,0,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.106318,0.32172,,1.0,0.0,0.0,,0.019447,0.010871,0.008159
29,19533466,이민규부부치과의원,1,17,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,,,0.331294,0.101112,0.321327,,0.0,0.0,0.0,,0.019447,0.00179,0.007474
30,19533369,염영신치과의원,1,5,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.095973,0.320939,,0.0,0.0,0.0,,0.019447,0.008384,0.007971
31,87017595,백세치과의원,2,11,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.089313,0.320437,,0.0,0.0,0.0,,0.019447,0.002276,0.007511
32,13262590,미래플란트치과의원,2,23,치과,건강의료>병원>병원의원>치과>치과-일반,3.97,,,,0.331294,0.064151,0.318538,,0.0,0.0,0.0,,0.019447,-0.003463,0.007078
33,13262652,공산치과의원,2,5,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.054359,0.317799,,0.0,0.0,0.0,,0.019447,0.006145,0.007803
34,11668096,나주시보건소,99,164,보건소,건강의료>병원>보건소>보건소-일반,4.1,,,,0.0,0.289259,0.21051,,0.0,0.0,0.0,,0.0,0.007769,0.000586
35,11638724,국립나주병원,21,13,정신건강의학과,건강의료>병원>병원의원>정신건강의학과,0.0,,정신과 조현병 공황장애 ADHD 응급실,,0.0,0.270141,0.209067,,0.0,0.0,0.0,,0.0,-0.007972,-0.000602
36,11559114,나주종합병원,11,1085,종합병원,건강의료>병원>종합병원>종합병원-일반,4.1,,내과 외과 산부인과 통증의학과 진단방사선과,,0.0,0.220087,0.20529,,0.0,0.0,0.0,,0.0,-0.000609,-4.6e-05
37,13262581,나주시보건소 금천지소,1,1,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.168664,0.201409,,0.0,0.0,0.0,,0.0,0.016543,0.001249
38,13262643,나주시왕곡면보건지소,1,1,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.067256,0.193755,,0.0,0.0,0.0,,0.0,-0.005796,-0.000438
39,13262575,나주시보건소 세지지소,1,5,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.05391,0.192748,,0.0,0.0,0.0,,0.0,-0.001399,-0.000106
40,13262633,나주시보건소 다시지소,1,0,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.043699,0.191977,,0.0,0.0,0.0,,0.0,-0.000547,-4.2e-05
41,13495294,이클린치과의원 광주,1486,201,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주임플란트 광주남구치과 턱관절 광주사랑니,,0.33134,0.41328,0.156225,,1.0,348.0,1.0,,0.019447,0.021342,0.008949
42,38018389,킹덤치과의원,2655,413,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,광주치과 광주임플란트 봉선동치과 광주수면임플란트 광주남구치과,,0.33134,0.406856,0.15574,,0.0,419.0,6.0,,0.019447,0.011656,0.008218
43,1422340897,봄봄아이치과의원,54,1037,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진월동치과 화순치과 나주치과 광주어린이치과 광주소아치과,,0.33134,0.306002,0.148129,,0.0,0.0,5.0,,0.019447,0.02121,0.00894
44,1127684760,곰돌이소아치과의원,11,117,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,소아치과 웃음가스치료 영유아구강검진 소아교정,,0.33134,0.296687,0.147426,,0.0,0.0,1.0,,0.019447,0.017398,0.008652
45,1028094875,악어새치과교정과의원,8,104,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진월동치과 진월동교정치과 광주교정치과 교정전문치과 광주턱관절치과,,0.33134,0.259263,0.144601,,0.0,0.0,3.0,,0.019447,0.000191,0.007353
46,1398481597,아름다운e치과교정과치과의원,8,163,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,광주_교정치과 봉선동_교정치과 광주_사랑니발치 광주_부분교정 광주교정전문의,,0.33134,0.252039,0.144056,,1.0,0.0,0.0,,0.019447,0.006528,0.007832
47,1028682375,엘치과의원,289,244,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,화순치과 주월동치과 진월동치과 나주치과 진월동임플란트,,0.33134,0.239192,0.143086,,0.0,2.0,0.0,,0.019447,-0.018192,0.005965
48,37169878,베스트필치과의원,1,146,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,광주치과 광주야간치과 광주사랑니치과 광주남구치과 진월동치과,,0.33134,0.23126,0.142488,,0.0,0.0,0.0,,0.019447,-0.001229,0.007246
49,13264960,해오름치과의원,1,356,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,,,0.331294,0.228157,0.142236,,4.0,0.0,0.0,,0.019447,0.03151,0.009717
50,35809032,스마일치과의원,3,128,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,소아치과전문의 임플란트 어린이치과 소아치과 보철과전문의,,0.33134,0.221454,0.141747,,1.0,0.0,0.0,,0.019447,0.016324,0.00857
