place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,37864845,연세바로치과교정과치과의원 인천점,4465,2893,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,인천치과 인천교정치과 구월동무삭제라미네이트 인천인비절라인퍼스트 구월동치아교정치과,,0.33134,0.521669,0.353085,,0.0,600.0,29.0,,0.019447,0.006577,0.007836
2,1227621966,화이트드림치과의원,6227,845,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,인천치과 구월동치과 인천치아교정 충치치료 구월동임플란트,,0.33134,0.490541,0.350735,,0.0,130.0,7.0,,0.019447,0.006245,0.00781
3,1549903274,예온치과의원 인천구월365점,2650,1997,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,잇몸치료 매복사랑니발치 치아교정 임플란트염증재수술 턱관절장애통증,,0.331294,0.459484,0.348374,,1.0,119.0,47.0,,0.019447,0.010306,0.008116
4,38015391,새이치과의원,3803,350,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구월동치과 구월동사랑니 구월동임플란트 인천양심치과 인천치과,,0.33134,0.451934,0.347821,,2.0,620.0,2.0,,0.019447,0.007886,0.007933
5,1186130140,감동플란트치과의원 구월동점,2195,341,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구월동치과 인천일요일치과 수면임플란트 임플란트 무통마취치과,,0.33134,0.44776,0.347506,,0.0,342.0,4.0,,0.019447,-0.002573,0.007144
6,1843571146,서울365치과의원,4501,711,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,구월동치과 구월동치아교정 구월동임플란트 인천사랑니 인천치과,,0.33134,0.443736,0.347203,,0.0,13.0,0.0,,0.019447,-0.005007,0.006961
7,1018006415,구월의치과의원,1915,388,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구월동치과 구월동임플란트 구월동사랑니 구월동턱관절 구월동양심치과,,0.33134,0.431277,0.346262,,4.0,272.0,11.0,,0.019447,0.016459,0.00858
8,1685454482,유디논현치과의원,854,419,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,인천논현치과 임플란트 틀니 턱관절치료 신경치료,,0.33134,0.427609,0.345986,,2.0,109.0,0.0,,0.019447,0.010587,0.008138
9,1173132115,연세반트치과교정과치과의원,2950,477,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,교정치과 치과교정과전문의 인비절라인치아교정 인천교정전문치과 돌출입교정,,0.33134,0.426909,0.345933,,0.0,58.0,0.0,,0.019447,-0.01391,0.006289
10,1271439996,서울정플란트치과의원,687,246,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천논현동치과 임플란트 턱관절 남동구치과 충치치료,,0.33134,0.420836,0.345474,,5.0,23.0,1.0,,0.019447,0.030517,0.009641
11,38296570,연세위드치과의원,671,1117,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,인천논현동치과 치아교정 인비절라인투명교정 임플란트 충치치료,,0.33134,0.413908,0.344952,,1.0,31.0,5.0,,0.019447,0.003101,0.007573
12,32805944,서울이턱사랑니치과의원,334,6087,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,매복사랑니 서울이턱치과 함치성낭종 사랑니전문병원 구강외과,,0.33134,0.41241,0.344839,,4.0,1.0,35.0,,0.019447,0.025339,0.009252
13,1164975445,연세스마트치과의원,1779,507,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,구월동치과 임플란트 치아교정 충치치료 사랑니발치,,0.33134,0.409466,0.344616,,0.0,-6.0,7.0,,0.019447,-0.013257,0.006338
14,207691387,서울S클래스치과의원,989,411,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,인천논현동치과 남동구치과 인천임플란트치과 소래포구치과 인천교정치과,,0.33134,0.395725,0.343579,,0.0,24.0,0.0,,0.019447,-0.003973,0.007039
15,2026585256,서창신세계치과의원,643,72,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서창치과 인천치과 남동구사랑니발치 서창2지구턱관절치료 고난도임플란트,,0.33134,0.386312,0.342869,,2.0,86.0,16.0,,0.019447,0.014446,0.008429
16,13218497,구월백세플란트치과의원,1638,345,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,구월동치과 구월동치과전문 임플란트 충치치료 남동구치과,,0.33134,0.3841,0.342702,,0.0,-8.0,-1.0,,0.019447,-0.012451,0.006399
17,1108639707,사랑니빠지는구강악안면외과치과의원,499,4695,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,구월동사랑니 인천사랑니 사랑니전문치과 사랑니 매복사랑니,,0.33134,0.368099,0.341494,,2.0,6.0,67.0,,0.019447,0.009104,0.008026
18,66450771,서울나란이치과의원,1720,490,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,인천교정치과 구월동교정치과 치아교정 교정치과 인비절라인,,0.33134,0.362331,0.341059,,0.0,6.0,0.0,,0.019447,-0.004496,0.006999
19,34665965,연세구강내과치과의원,2585,1057,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,턱관절치료 인천턱관절 부천턱관절 구강내과 연세구강내과,,0.331294,0.355133,0.340499,,1.0,-3.0,1.0,,0.019447,0.006917,0.007861
20,1521773538,서울이해드림치과의원,632,192,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 임플란트 사랑니발치 인천논현역치과 수면치과,,0.33134,0.354151,0.340442,Hot,10.0,260.0,4.0,,0.019447,0.072729,0.012828
21,1563900702,구월키즈웰치과의원,37,826,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,구월동어린이치과 주안어린이치과 남동구어린이치과 미추홀구소아치과 영유아구강검진,,0.33134,0.352392,0.340309,,0.0,1.0,2.0,,0.019447,-0.080963,0.001228
22,1715397235,소래미소치과의원 인천논현점,485,387,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,인천논현동치과 소래포구역치과 인천논현동사랑니치과 인천논현동임플란트치과 인천논현동치아교정,,0.33134,0.330617,0.338665,,0.0,30.0,1.0,,0.019447,-0.009607,0.006613
