place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1168808595,가디언즈치과의원 다산점,717,376,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,남양주치과 다산역치과 다산치과 임플란트 치아교정,,0.33134,0.425877,0.394157,,3.0,148.0,3.0,,0.019447,0.007969,0.00794
2,1548725549,서울제대로치과의원,602,209,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 수면임플란트치료 라미네이트 남양주다산치과,,0.33134,0.421787,0.393848,,0.0,33.0,3.0,,0.019447,-0.019188,0.00589
3,815766441,온아치과의원 남양주오남점,2581,586,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남양주치과 오남읍치과 임플란트 치아교정 수면진료,,0.33134,0.418147,0.393573,,0.0,125.0,3.0,,0.019447,-0.007794,0.00675
4,20208225,나비드치과의원 남양주,1564,187,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남양주치과 남양주임플란트 호평동치과 평내호평치과 평내동치과,,0.33134,0.409955,0.392955,,0.0,177.0,3.0,,0.019447,-0.051472,0.003454
5,1538482755,오남임플라인치과의원,964,73,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일치과 진접치과 오남역치과 오남임플라인치과 남양주치과,,0.33134,0.40827,0.392828,,0.0,167.0,1.0,,0.019447,0.006436,0.007824
6,1687239930,다모아치과의원 호평,499,2527,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면임플란트 사랑니발치 호평동턱관절 전문가치아미백 남양주보훈지정치과병원,,0.33134,0.375492,0.390354,,0.0,35.0,9.0,,0.019447,-0.010989,0.006509
7,1872074450,서울라온치과의원 다산,1105,371,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,다산치과 다산동치과 다산신도시치과 다산치아교정 다산임플란트,,0.33134,0.370049,0.389943,,2.0,17.0,2.0,,0.019447,0.013588,0.008364
8,1552091880,연세미소미함치과의원,547,631,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진접치과 오남읍치과 임플란트 사랑니 턱관절,,0.33134,0.362114,0.389345,,2.0,64.0,2.0,,0.019447,0.009231,0.008036
9,1435953977,서울오케이치과의원 별가람점,566,397,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,별내충치치료 남양주수면치과진료 별내임플란트 별내사랑니발치 별내동치과,,0.33134,0.360974,0.389259,,0.0,41.0,3.0,,0.019447,-0.00345,0.007079
10,20713401,네플란트치과의원,558,310,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,임플란트 심미보철 진접치과 야간진료 남양주치과,,0.33134,0.360351,0.389211,,0.0,52.0,1.0,,0.019447,-0.00951,0.006621
11,2098738510,서울마일스톤치과교정과의원,541,45,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,클리피씨 비발치교정 하남미사다산교정전문치과 서울대치과교정과전문의 투명교정인비절라인치아교정장치,,0.33134,0.355787,0.388867,,2.0,144.0,11.0,,0.019447,0.006327,0.007816
12,1398710679,아이엔소아치과의원,134,618,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,장애인치과 어린이치과 어린이교정 영유아구강검진 인비절라인,,0.33134,0.354844,0.388796,,0.0,1.0,11.0,,0.019447,0.005236,0.007734
13,1537391286,다모아치과의원 다산,402,1480,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,다산치과 수면임플란트 어린이교정치과 성인사랑니발치 남양주턱관절,,0.33134,0.349595,0.3884,,0.0,23.0,8.0,,0.019447,-0.002109,0.00718
14,1264160684,서울브라보치과의원,134,394,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진접치과 진접치아교정 오남임플란트 장현리네비게이션임플란트 진접인비절라인,,0.33134,0.339791,0.38766,,0.0,1.0,40.0,,0.019447,0.007821,0.007929
15,1409479355,서울퍼스트치과의원,327,391,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,다산신도시치과 다산치과 어린이치과치료 다산중앙로치과 임플란트,,0.33134,0.321026,0.386244,,0.0,-1.0,0.0,,0.019447,-0.009902,0.006592
16,1598399328,연세고마운치과의원 다산점,557,335,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,다산치과 다산신도시치과 다산임플란트치과 다산스케일링치과 남양주다산치과,,0.33134,0.314699,0.385766,,3.0,6.0,10.0,,0.019447,0.00628,0.007813
17,672710599,별가람소아치과의원,145,1305,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,별내소아치과 남양주소아치과 남양주교정치과 중랑구소아치과 남양주어린이치과,,0.33134,0.31408,0.385719,,0.0,3.0,5.0,,0.019447,-0.001775,0.007204
