place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1802391674,우리플란트치과의원,159,691,치과,건강의료>병원>병원의원>치과>치과-일반,4.88,,임플란트 사랑니발치 라미네이트 스케일링 투명교정,,0.331294,0.257634,0.366348,,0,-,-,,-,-,-
2,1275467808,그랜드치과의원,2,164,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남원그랜드치과 치과 임플란트 하정동치과 남원치과,,0.33134,0.228151,0.36414,,0,-,-,,-,-,-
3,12071593,명인치과의원,64,177,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,남원임플란트 남원치과 남원스케일링 남원사랑니 명인치과,,0.33134,0.225186,0.363916,,0,-,-,,-,-,-
4,13267324,해맑은치과의원,1,145,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,,,0.331294,0.220002,0.363507,,0,-,-,,-,-,-
5,1971415748,남원심플란트치과의원,31,51,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,남원치과 임플란트 충치치료 스케일링 라미네이트,,0.33134,0.183849,0.360796,,0,-,-,,-,-,-
6,13267332,김동수치과의원,1,90,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.183555,0.360757,,0,-,-,,-,-,-
7,19518873,이용승치과의원,0,53,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,,,0.331294,0.177709,0.360316,,0,-,-,,-,-,-
8,36844601,공설치과의원,70,172,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남원네비게이션임플란트 남원임플란트 남원사랑니 남원구강검진 남원충치치료,,0.331294,0.173357,0.359987,,0,-,-,,-,-,-
9,13267292,김진영치과의원,3,97,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,,,0.331294,0.171695,0.359862,,0,-,-,,-,-,-
10,19530365,김귀희치과의원,1,154,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,,,0.331294,0.168137,0.359593,,0,-,-,,-,-,-
11,13267260,양대승치과의원,4,23,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,,,0.331294,0.14863,0.358121,,0,-,-,,-,-,-
12,13267242,양상일치과의원,2,60,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.146015,0.357924,,0,-,-,,-,-,-
13,36005640,미소치과의원,0,70,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.13889,0.357386,,0,-,-,,-,-,-
14,1536434267,한치과의원,1,106,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,,,0.331294,0.135483,0.357129,,0,-,-,,-,-,-
15,32241922,남원치과의원,1,114,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,치과의원,,0.33134,0.133633,0.357006,,0,-,-,,-,-,-
16,13267219,변지원치과의원,1,44,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.104602,0.354798,,0,-,-,,-,-,-
17,13267290,효치과의원,2,72,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,,,0.331294,0.103372,0.354705,,0,-,-,,-,-,-
18,19518881,인월치과의원,1,2,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.078589,0.352835,,0,-,-,,-,-,-
19,13267284,제일치과의원,1,7,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.068304,0.352059,,0,-,-,,-,-,-
20,19518862,이치과의원,0,7,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.063423,0.35169,,0,-,-,,-,-,-
21,31699868,김치과의원,0,0,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.02874,0.349073,,0,-,-,,-,-,-
22,19519346,남원치과의원,1,5,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.341289,0.103317,0.337176,,0,-,-,,-,-,-
23,11668082,남원시보건소,36,199,보건소,건강의료>병원>보건소>보건소-일반,4.62,,,,0.0,0.309555,0.212042,,0,-,-,,-,-,-
24,11815539,전북특별자치도 남원의료원,31,110,종합병원,건강의료>병원>종합병원>종합병원-일반,4.03,,,,0.0,0.227422,0.205843,,0,-,-,,-,-,-
25,13267254,산동면보건지소,0,0,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.091955,0.195619,,0,-,-,,-,-,-
26,13267344,인월면보건지소,2,1,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.088961,0.195393,,0,-,-,,-,-,-
27,13267307,운봉읍보건지소,1,1,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.084614,0.195065,,0,-,-,,-,-,-
28,13267250,덕과면보건지소,0,0,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.06563,0.193632,,0,-,-,,-,-,-
29,13267257,대강면보건지소,0,0,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.061547,0.193324,,0,-,-,,-,-,-
30,37811293,주천면보건지소,0,0,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.059092,0.193139,,0,-,-,,-,-,-
31,13267253,수지면보건지소,1,1,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.05783,0.193044,,0,-,-,,-,-,-
32,13267329,금지주생통합보건지소,0,0,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.056869,0.192971,,0,-,-,,-,-,-
33,13267252,아영면보건지소,0,9,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.041111,0.191782,,0,-,-,,-,-,-
