place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,38709189,연세퍼스트치과의원,801,486,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,논산임플란트 논산치과 논산구강외과 논산치아교정 부여치과,,0.33134,0.268621,0.333987,,0.0,9.0,0.0,,0.019447,-0.007156,0.006799
2,13136585,부부치과의원,5,267,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,임플란트보철 교정소아치과 턱관절사랑니발치 통합치의학과 신경치료,,0.33134,0.262113,0.333495,,1.0,0.0,0.0,,0.019447,0.015471,0.008506
3,1430255705,닥터유구강악안면외과치과의원,24,170,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,논산사랑니 부여사랑니 공주사랑니 논산임플란트 부여임플란트,,0.331294,0.257266,0.333112,,0.0,0.0,1.0,,0.019447,-0.004378,0.007008
4,1182448904,베스트치과,8,104,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.238324,0.331683,,0.0,0.0,0.0,,0.019447,0.010715,0.008148
5,1235832227,중앙치과의원,233,38,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,논산치과 논산시치과 논산임플란트 계룡시치과 부여치과,,0.33134,0.232873,0.331289,,0.0,3.0,0.0,,0.019447,0.009323,0.008043
6,13244689,고운미소치과의원,0,269,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,,,0.331294,0.205807,0.329229,,1.0,0.0,0.0,,0.019447,0.008952,0.008015
7,13244619,제일치과의원,4,227,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.202568,0.328984,,1.0,0.0,0.0,,0.019447,0.005851,0.00778
8,13244606,연산치과의원,4,86,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,,,0.331294,0.197823,0.328626,,1.0,0.0,1.0,,0.019447,0.0132,0.008335
9,1149733461,프라임치과의원,1,91,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,논산치과 프라임치과,,0.33134,0.193149,0.328291,,1.0,0.0,1.0,,0.019447,0.009553,0.00806
10,1371017972,행복치과의원,2,18,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,논산치과 논산임플란트 논산치과전문의 논산행복치과 논산,,0.33134,0.186489,0.327788,,0.0,0.0,0.0,,0.019447,-0.01421,0.006266
11,12878292,이훈규치과의원,2,152,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,,,0.331294,0.172797,0.326737,,1.0,0.0,0.0,,0.019447,0.005644,0.007764
12,13463414,서울플러스치과의원,0,91,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,,,0.331294,0.167696,0.326352,,3.0,0.0,0.0,,0.019447,0.022465,0.009034
13,12872214,강경연세치과의원,3,34,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,,,0.331294,0.166656,0.326274,,6.0,0.0,0.0,,0.019447,0.031411,0.00971
14,34908455,강경치과의원,0,96,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니발치 임플란트 수술 치주치료,,0.331294,0.166566,0.326267,,0.0,0.0,0.0,,0.019447,0.017208,0.008637
15,19533216,상아치과의원,0,37,치과,건강의료>병원>병원의원>치과>치과-일반,4.02,,,,0.331294,0.157328,0.32557,,0.0,0.0,1.0,,0.019447,0.007015,0.007868
16,13244676,김원규치과의원,2,138,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.153878,0.325309,,0.0,0.0,0.0,,0.019447,-0.018514,0.005941
17,11869672,강대홍치과의원,1,36,치과,건강의료>병원>병원의원>치과>치과-일반,3.75,,임플란트 심미보철 스케일링 치아교정 의치,,0.331294,0.147539,0.324831,,0.0,0.0,0.0,,0.019447,0.005058,0.00772
18,13244620,8020치과의원,2,95,치과,건강의료>병원>병원의원>치과>치과-일반,4.15,,,,0.331294,0.144487,0.324601,,0.0,0.0,0.0,,0.019447,-7e-05,0.007334
19,13244590,다인치과의원,0,83,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,,,0.331294,0.141576,0.324381,,2.0,0.0,0.0,,0.019447,0.009692,0.00807
20,33595415,연산하나로치과의원,0,30,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,,,0.331294,0.133742,0.32379,,4.0,0.0,0.0,,0.019447,0.013657,0.00837
21,19533221,변치과,1,34,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,,,0.331294,0.133421,0.323766,,0.0,0.0,0.0,,0.019447,-0.000747,0.007283
22,19527576,탑치과의원,1,41,치과,건강의료>병원>병원의원>치과>치과-일반,4.09,,임플란트 보톡스,,0.331294,0.128906,0.323425,,0.0,0.0,1.0,,0.019447,-0.009192,0.006645
23,11693720,좋은치과의원,2,74,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,,,0.331294,0.128817,0.323418,,2.0,0.0,0.0,,0.019447,0.01116,0.008181
24,13533785,향기치과의원,0,65,치과,건강의료>병원>병원의원>치과>치과-일반,3.98,,,,0.331294,0.12289,0.322971,,0.0,0.0,0.0,,0.019447,-0.000306,0.007316
25,13244679,우리들치과의원,2,50,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,치과 논산 논산치과,,0.33134,0.115576,0.322436,,0.0,0.0,0.0,,0.019447,-0.00889,0.006668
26,13244677,편한치과의원,0,62,치과,건강의료>병원>병원의원>치과>치과-일반,4.06,,,,0.331294,0.112934,0.322219,,0.0,0.0,0.0,,0.019447,-0.001025,0.007261
27,1444820547,금강치과의원,0,3,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보험틀니 크라운 지르코니아 신경치료,,0.331294,0.106002,0.321696,,1.0,0.0,1.0,,0.019447,0.001139,0.007425
28,1486454202,미플란트치과의원,0,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보철 치주질환 틀니 사랑니발치,,0.331294,0.104044,0.321548,,1.0,0.0,0.0,,0.019447,0.001542,0.007455
29,13244578,윤치과의원,2,16,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.102686,0.321446,,1.0,0.0,0.0,,0.019447,0.002904,0.007558
30,13244669,75플란트신동일치과의원,2,59,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.101599,0.321364,,0.0,0.0,0.0,,0.019447,-0.007917,0.006741
31,13244599,서치과,2,19,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.084634,0.320083,,1.0,0.0,0.0,,0.019447,-0.0004,0.007308
32,13244727,딸기치과의원,2,6,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.083574,0.320003,,0.0,0.0,0.0,,0.019447,-0.002781,0.007128
33,13244664,백치과의원,2,13,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,,,0.331294,0.070799,0.319039,,0.0,0.0,0.0,,0.019447,0.00288,0.007556
34,13244607,정치과의원,1,40,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,,,0.331294,0.061162,0.318312,,0.0,0.0,0.0,,0.019447,0.006978,0.007865
35,11559163,백제종합병원,38,422,종합병원,건강의료>병원>종합병원>종합병원-일반,0.0,,,,0.0,0.306663,0.211824,,0.0,0.0,0.0,,0.0,-0.002563,-0.000193
36,34491070,대정요양병원,291,315,요양병원,건강의료>병원>요양병원,4.0,,욕창요양병원 치매요양병원 요양병원 격리실요양병원 노인요양병원,,0.0,0.281787,0.209946,,0.0,2.0,0.0,,0.0,0.016113,0.001216
37,37046164,서울정석치과의원 대전,1657,1033,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 스케일링 틀니 충치치료 임플란트,,0.33134,0.478066,0.161114,,0.0,190.0,6.0,,0.019447,-0.003986,0.007037
38,1630072486,연세올데이치과의원 대전,3256,1331,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 대전야간치과 대전인비절라인 대전교정치과 대전임플란트,,0.33134,0.461992,0.159901,,0.0,756.0,21.0,,0.019447,0.027049,0.00938
39,500964413,관저키즈치과의원,48,499,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,관저동어린이치과 논산어린이치과 계룡어린이치과 도안어린이치과 장애인치과,,0.33134,0.317334,0.148984,,1.0,1.0,1.0,,0.019447,0.018551,0.008739
40,11675325,훈치과의원,7,147,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.284814,0.146512,,1.0,0.0,0.0,,0.019447,0.006215,0.007808
41,1043348509,봄빛치과의원 대전,62,865,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 유성치과 원신흥동치과 도안동치과 상대동치과,,0.33134,0.277461,0.145974,,1.0,0.0,3.0,,0.019447,0.005458,0.00775
42,19523847,노블리안치과의원 대전,790,1042,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,매복사랑니발치 네비게이션전체임플란트 충치크라운치료 어금니부분틀니 인비절라인치아교정과전문의,,0.331294,0.270562,0.145437,,1.0,-1.0,0.0,,0.019447,0.000962,0.007412
43,1143872497,키엘치과의원,41,262,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,치아교정 어린이_예방교정 임플란트,,0.331294,0.266214,0.145108,,0.0,0.0,0.0,,0.019447,-0.114532,-0.001306
44,21675357,미포인트치과의원,1602,513,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,임플란트 치아교정 사랑니발치 충치치료 대전서구치과,,0.33134,0.262033,0.14481,,0.0,9.0,2.0,,0.019447,-0.005501,0.006923
45,1376143024,올바른치과의원,93,317,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,관저동치과 관저동임플란트 관저동사랑니 관저동야간진료 대전무통치과,,0.33134,0.258458,0.14454,,1.0,0.0,0.0,,0.019447,0.006522,0.007831
46,1747043531,노엘치과의원,3,50,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,3D임플란트 3D스캔보철 틀니치료,,0.331294,0.257508,0.144451,,0.0,0.0,1.0,,0.019447,0.000899,0.007406
47,30824151,계룡리더스치과의원,3,375,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,,,0.331294,0.249523,0.143849,,0.0,0.0,0.0,,0.019447,-0.000537,0.007299
48,1867886204,소망치과의원,0,319,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,관저동 소망치과,,0.33134,0.235787,0.142829,,1.0,0.0,1.0,,0.019447,0.005835,0.007779
49,20473097,연세자연치과의원,1,125,치과,건강의료>병원>병원의원>치과>치과-일반,4.15,,,,0.331294,0.228969,0.142297,,5.0,0.0,0.0,,0.019447,0.018275,0.008718
50,31863727,도안프라임치과의원,46,124,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,임플란트 충치크라운치료 부분틀니 앞니심미보철치료 소아진료,,0.331294,0.226801,0.142134,,1.0,0.0,2.0,,0.019447,0.001764,0.007472
