place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1168808595,가디언즈치과의원 다산점,717,376,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,남양주치과 다산역치과 다산치과 임플란트 치아교정,,0.33134,0.425877,0.388119,,1.0,148.0,3.0,,0.019447,0.007969,0.00794
2,1548725549,서울제대로치과의원,602,209,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 수면임플란트치료 라미네이트 남양주다산치과,,0.33134,0.421787,0.38781,,0.0,33.0,3.0,,0.019447,-0.019188,0.00589
3,1872074450,서울라온치과의원 다산,1105,371,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,다산치과 다산동치과 다산신도시치과 다산치아교정 다산임플란트,,0.33134,0.370049,0.383906,,0.0,17.0,2.0,,0.019447,0.013588,0.008365
4,2098738510,서울마일스톤치과교정과의원,541,45,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,클리피씨 비발치교정 하남미사다산교정전문치과 서울대치과교정과전문의 투명교정인비절라인치아교정장치,,0.33134,0.355787,0.382829,,2.0,144.0,11.0,,0.019447,0.006327,0.007816
5,1398710679,아이엔소아치과의원,134,618,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,장애인치과 어린이치과 어린이교정 영유아구강검진 인비절라인,,0.33134,0.354844,0.382758,,0.0,1.0,11.0,,0.019447,0.005236,0.007734
6,1537391286,다모아치과의원 다산,402,1480,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,다산치과 수면임플란트 어린이교정치과 성인사랑니발치 남양주턱관절,,0.33134,0.349595,0.382362,,0.0,23.0,8.0,,0.019447,-0.002109,0.00718
7,1409479355,서울퍼스트치과의원,327,391,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,다산신도시치과 다산치과 어린이치과치료 다산중앙로치과 임플란트,,0.33134,0.321026,0.380206,,0.0,-1.0,0.0,,0.019447,-0.009902,0.006592
8,1598399328,연세고마운치과의원 다산점,557,335,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,다산치과 다산신도시치과 다산임플란트치과 다산스케일링치과 남양주다산치과,,0.33134,0.314699,0.379728,,1.0,6.0,10.0,,0.019447,0.00628,0.007812
9,1943510278,서울다산어린이치과의원 남양주,166,672,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,다산소아치과 남양주어린이치과 구리소아치과 남양주소아치과 갈매소아치과,,0.33134,0.31399,0.379675,,0.0,0.0,1.0,,0.019447,-0.00384,0.007049
10,13301848,서울웰치과의원,360,362,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남양주치과 다산치과 다산임플란트 남양주임플란트 도농치과,,0.33134,0.277945,0.376954,,0.0,0.0,9.0,,0.019447,-0.001415,0.007231
