place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1869090199,서울바른플란트치과의원,3674,1440,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,달서구치과 달서구치아교정치과 네비게이션임플란트 틀니보철심미치료 매복사랑니치발치,,0.33134,0.475405,0.406951,,0.0,152.0,4.0,,0.019447,0.009675,-0.007026
2,1829630734,킹플란트치과의원 대구,1314,169,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구치과 달서구치과 대구임플란트 감삼역치과 대구교정치과,,0.33134,0.471488,0.406656,,1.0,98.0,5.0,,0.019447,0.029775,-0.005508
3,1979275309,제로치과병원,2149,320,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 라미네이트 수면치과 어린이치과 대구치과,,0.33134,0.456348,0.405513,,0.0,317.0,13.0,,0.019447,-0.003064,-0.007987
4,1720342817,밝은결치과의원,1029,519,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치치료 사랑니발치 레이저잇몸치료 네비게이션임플란트재수술 대구흡착틀니수리,,0.331294,0.443041,0.404492,,0.0,96.0,3.0,,0.019447,0.015196,-0.006608
5,34383233,에스프라임치과의원 광장점,3013,395,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,치아교정 라미네이트 임플란트 신경치료 무통마취,,0.331294,0.415984,0.40245,,0.0,287.0,0.0,,0.019447,-0.00215,-0.007917
6,37108976,서울S치과의원,1317,377,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,임플란트 보철치료 월성동치과 달서구치과 잇몸치료,,0.33134,0.406706,0.401767,,3.0,19.0,1.0,,0.019447,0.017599,-0.006427
7,1868106156,더원연합치과의원,1366,232,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,대구달서구치과 대구달서구임플란트 달서구치아교정 달서구치아미백 달서구치과스케일링,,0.33134,0.405423,0.40167,,0.0,37.0,8.0,,0.019447,-0.001555,-0.007873
8,34960735,일곱가지약속치과의원,2149,2584,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,대구치과 상인동치과 대구임플란트 대구치아교정 주말치과충치치료,,0.33134,0.405232,0.401655,,0.0,209.0,11.0,,0.019447,-0.007818,-0.008346
9,1348748002,대구본플란트치과의원,1510,360,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,달서구치과 임플란트 충치치료 틀니보철심미치료 매복사랑니발치,,0.33134,0.376765,0.399507,,1.0,274.0,4.0,,0.019447,0.00695,-0.007231
10,1858977851,단디플란트치과의원,908,49,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치신경보존잇몸미백치료 크라운인레이치아씌우기소아치료 사랑니발치라미네이트틀니치료 임플란트골이식뼈이식치료 야간진료상악동거상술치조골이식,,0.331294,0.369348,0.39893,,0.0,114.0,3.0,,0.019447,-0.027838,-0.009856
11,13255006,램브란트치과의원 상인점,1473,959,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,치아교정 대구임플란트 대구교정치과 대구치과 달서구치과,,0.33134,0.343269,0.396979,,0.0,91.0,7.0,,0.019447,-0.013904,-0.008805
12,1880850619,스마일키즈치과의원,83,424,치과,건강의료>병원>병원의원>치과>치과-일반,4.89,,달서구어린이치과 어린이교정 어린이치과 소아치과 영유아구강검진,,0.33134,0.327688,0.395803,,0.0,1.0,2.0,,0.019447,0.013234,-0.006757
13,37659908,필치과의원,224,315,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,이곡동치과 임플란트 성서치과 달서구치과 치주과,,0.33134,0.318652,0.395121,,1.0,4.0,0.0,,0.019447,0.022357,-0.006068
14,13254304,미담치과의원,3,31,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,자연치아살리기 MTA신경보존술,,0.331294,0.313169,0.39469,Hot,154.0,0.0,0.0,,0.019447,0.180123,0.005839
15,36604813,우리아이치과의원,17,325,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,달서구소아치과 대구어린이치과 달서구어린이치과 두류동어린이치과 감삼동어린이치과,,0.33134,0.297946,0.393558,,0.0,0.0,0.0,,0.019447,-0.005462,-0.008168
16,37889532,참바른연합치과의원,154,731,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,월성동치과 달서구소아치과 신월성치과 달서구치과 달서구임플란트,,0.33134,0.297142,0.393498,,0.0,1.0,11.0,,0.019447,0.010142,-0.00699
17,544987485,신세계치과의원,155,369,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,임플란트 치아교정 사랑니 심미보철 달서구치과,,0.33134,0.283083,0.392437,,5.0,2.0,0.0,,0.019447,0.01241,-0.006819
18,30943678,정은재바른이치과교정과치과의원,25,844,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,치아교정 교정치과 치과교정과전문의 교정전문치과 치과,,0.33134,0.280616,0.39225,,0.0,1.0,3.0,,0.019447,0.007732,-0.007172
19,1505092915,이미지치과의원 대구달서,1025,1321,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,월성동치과 대구치과 대구수면임플란트 대구수면마취치과 네비게이션임플란트,,0.33134,0.277106,0.391985,,0.0,3.0,29.0,,0.019447,-0.002744,-0.007963
20,13084602,에프엠치과병원,325,929,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,달서구치과 대구치과 에프엠치과 FM치과,,0.33134,0.277013,0.391978,,1.0,0.0,0.0,,0.019447,0.00613,-0.007293
21,11857154,디지털온치과의원,356,546,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,상인동임플란트 상인동치주수술 디지털치과 달서구상인동치과 월배역치과,,0.33134,0.2704,0.391479,,0.0,-1.0,4.0,,0.019447,-0.010743,-0.008567
22,13254348,소망연합치과의원,96,220,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성서치과 성서임플란트 성서교정 성서틀니 성서사랑니,,0.33134,0.268357,0.391325,,8.0,3.0,4.0,,0.019447,0.018725,-0.006343
23,36797045,라온치과병원,231,550,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,상인동치과 달서구치과 상인동임플란트 대구치과 대구임플란트,,0.33134,0.267832,0.391286,,1.0,2.0,3.0,,0.019447,0.001169,-0.007667
24,1748261154,로즈치과교정과치과의원,470,247,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 교정치과 월성동치과 상인동교정치과 달서구치과,,0.33134,0.267086,0.391229,,0.0,2.0,1.0,,0.019447,-0.004781,-0.008117
25,1828689990,월배예모아치과의원,57,433,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,달서구치과 월배치과 소아치과 월배임플란트 달서구임플란트,,0.33134,0.265244,0.39109,,7.0,0.0,1.0,,0.019447,0.019829,-0.006259
26,1636842225,유디성서치과의원,47,432,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,임플란트 대구달서구치과 대구이곡동치과 유디치과대구 성서턱관절,,0.33134,0.264162,0.391008,,0.0,2.0,6.0,,0.019447,-0.003223,-0.007999
27,13254893,서대구아이큰숲치과의원,19,340,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,상인동소아치과 달서구소아치과 상인동수면치료 달서구어린이치과 상인동어린이치과,,0.33134,0.263169,0.390934,,1.0,0.0,0.0,,0.019447,0.008232,-0.007134
28,1753979601,스마트치과의원 죽전점,845,523,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구임플란트 대구임플란트치과 대구수면임플란트 대구네비게이션임플란트 달서구치과,,0.33134,0.259019,0.39062,,1.0,20.0,6.0,,0.019447,0.007278,-0.007207
29,13254336,아이사랑치과의원,8,259,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,달서구소아치과 달서구어린이치과 성서어린이치과 성서소아치과 대구소아치과,,0.33134,0.255996,0.390392,,9.0,0.0,0.0,,0.019447,0.022334,-0.00607
30,1647301863,에스프라임치과의원,163,45,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,임플란트 보철치료 충치치료 치아교정 구강검진,,0.331294,0.252737,0.390129,,0.0,0.0,0.0,,0.019447,-0.002477,-0.007943
31,444502618,늘곁에구강내과치과의원,31,266,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,턱관절 이갈이 코골이 구강내과 치과,,0.33134,0.251472,0.390051,,0.0,0.0,0.0,,0.019447,-0.019624,-0.009236
32,1725747811,온가족연합치과의원,12,198,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,월배치과 대천동치과 달서구치과 치과 유천동치과,,0.33134,0.24809,0.389796,,2.0,0.0,0.0,,0.019447,0.003331,-0.007504
33,1473779551,미뉴치과교정과치과의원,10,139,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,대구치아교정 달서구교정치과 달서구치아교정 대구돌출입교정 대구소아교정,,0.33134,0.247287,0.389735,,0.0,0.0,2.0,,0.019447,0.00245,-0.007571
34,1034838517,똑디치과의원,122,328,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,달서구치과 감삼동임플란트 임플란트 라미네이트 죽전동치과,,0.33134,0.246038,0.389641,,0.0,3.0,16.0,,0.019447,0.000325,-0.007731
35,2019794197,호박치과의원,431,91,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 디지털임플란트 수면임플란트 심미보철 성서치과,,0.33134,0.245821,0.389624,,0.0,5.0,4.0,,0.019447,-0.016446,-0.008997
36,13254740,서부라온치과병원,4,435,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,대구임플란트치과 대구달서구치과 대구송현동치과 대구교정치과 대구치과병원,,0.33134,0.24479,0.389547,,0.0,0.0,1.0,,0.019447,0.002349,-0.007578
37,11549377,바른이연합치과의원,66,518,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성서교정치과 치과교정과 임플란트 보철 이곡동치과,,0.33134,0.242049,0.38934,,2.0,4.0,8.0,,0.019447,0.011886,-0.006858
38,1430685068,스마트치과의원 월성점,476,422,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구임플란트 달서구치과 대구네비게이션임플란트 대구원데이임플란트 대구수면임플란트,,0.33134,0.241566,0.389303,,2.0,8.0,2.0,,0.019447,0.011793,-0.006866
39,1274164036,불꽃치과의원,40,351,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,달서구치과 대구임플란트 대구틀니 풀아치 플라즈마,,0.33134,0.240489,0.389222,,0.0,0.0,3.0,,0.019447,0.00382,-0.007467
40,13254962,우리들치과의원,3,264,치과,건강의료>병원>병원의원>치과>치과-일반,4.14,,,,0.331294,0.23966,0.389142,,3.0,0.0,1.0,,0.019447,0.017369,-0.006445
41,13254026,용산제일치과의원,4,256,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,,,0.331294,0.236732,0.388921,Hot,15.0,0.0,1.0,,0.019447,0.02172,-0.006116
42,2061897048,죽전탑치과의원,840,99,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 수면임플란트 죽전역수면임플란트 대구수면임플란트 대구수면치과,,0.33134,0.235307,0.388831,Hot,19.0,223.0,23.0,,0.019447,0.029279,-0.005546
