place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1549929661,설플란트치과의원,126,30,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 수면임플란트 무삭제라미네이트 수면치과치료 대구화원치과,,0.33134,0.317673,0.434292,,0,-,-,,-,-,-
2,1671155615,연세다온소아치과의원,17,157,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,소아치과 어린이치과 수면치료 진정법 인비절라인,,0.33134,0.304312,0.433284,,0,-,-,,-,-,-
3,38296538,내아이처럼치과의원,76,1583,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,대구어린이치과 다사어린이치과 달서구어린이치과 달성군어린이치과 대구인비절라인,,0.33134,0.295972,0.432655,,0,-,-,,-,-,-
4,661160089,FM치과의원,26,132,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,에프엠치과 FM치과 테크노폴리스_임플란트 테크노폴리스_치과 현풍치과,,0.33134,0.291468,0.432315,,0,-,-,,-,-,-
5,37932259,맥치과의원 죽곡점,33,450,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,무절개임플란트 자연치아살리기 사랑니발치 충치치료 Qray진단장비,,0.331294,0.273263,0.430923,,0,-,-,,-,-,-
6,589924388,구지탑치과의원,5,207,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,구지치과 구지탑치과 탑치과,,0.33134,0.270408,0.430725,,0,-,-,,-,-,-
7,38264416,현풍바른치과의원,6,253,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,테크노폴리스 바른치과 테크노폴리스치과 테크노폴리스_임플란트 테크노폴리스_치과,,0.33134,0.270133,0.430704,,0,-,-,,-,-,-
8,1394320109,으뜸치과의원,101,344,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,대실치과 대실야간진료치과 대실어린이치과 다사치과 다사야간진료치과,,0.33134,0.269147,0.43063,,0,-,-,,-,-,-
9,1467567529,이룸연합치과의원,59,200,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구지치과 구지임플란트 구지틀니 구지스케일링 구지면치과,,0.33134,0.258663,0.429839,,0,-,-,,-,-,-
10,34483189,더바른이치과의원,194,320,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,다사교정치과 대구비수술주걱턱교정 대구앞니부분교정 성서교정치과 인비절라인교정,,0.33134,0.257084,0.42972,,0,-,-,,-,-,-
11,1013790649,따뜻안치과의원,50,273,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,현풍치과 테크노폴리스 테크노폴리스치과 현풍 구지치과,,0.33134,0.248646,0.429083,,0,-,-,,-,-,-
12,1200768475,친절한홍치과의원,6,212,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서재치과 친절한홍치과 다사치과 구강악안면외과 대구사랑니,,0.33134,0.247715,0.429013,,0,-,-,,-,-,-
13,1174948193,서울위치과의원,86,406,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,달성군치과 대실역임플란트 대실역치과 자연치아살리기 임플란트,,0.33134,0.247535,0.428999,,0,-,-,,-,-,-
14,209278190,다빈치과의원,3,256,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,치과 구강검진 스케일링 임플란트 서재,,0.33134,0.244144,0.428743,,0,-,-,,-,-,-
15,37848543,나앤이연합치과의원,2,198,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,테크노폴리스치과 테크노폴리스임플란트 테크노폴리스사랑니 현풍치과 테크노폴리스치과전문의,,0.33134,0.243476,0.428693,,0,-,-,,-,-,-
16,31543171,삼성에스치과의원,21,281,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,다사치과 다사임플란트 다사치아교정 다사신경치료,,0.33134,0.241563,0.428548,,0,-,-,,-,-,-
17,34604786,그랜드치과의원,6,226,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니 보험 스케일링 검진,,0.331294,0.240693,0.428465,,0,-,-,,-,-,-
18,738063956,현풍연합다담치과의원,3,178,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,현풍임플란트 테크노폴리스치과,,0.33134,0.238809,0.42834,,0,-,-,,-,-,-
19,13254476,예미담치과의원,290,195,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,,,0.331294,0.233165,0.427897,,0,-,-,,-,-,-
20,21555033,예사랑치과의원,0,164,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,구지치과 구지임플란트 구지틀니,,0.33134,0.232928,0.427896,,0,-,-,,-,-,-
21,1767137077,포유삼성치과의원,2,186,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,화원읍 치과 임플란트 명곡삼성치과 삼성명곡치과,,0.33134,0.219926,0.426915,,0,-,-,,-,-,-
