place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,32990820,더편한치과의원,312,429,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,신경치료 잇몸스케일링 임플란트틀니 앞니충치레진 매복사랑니발치,,0.331294,0.36129,0.470578,,0.0,22.0,11.0,,0.019447,0.027447,0.008957
2,1245370936,가디언즈치과의원 당진점,316,266,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,당진치과 서산치과 치아교정 읍내동치과 임플란트,,0.33134,0.336446,0.46872,,0.0,1.0,-2.0,,0.019447,0.010346,0.007666
3,1243295539,아홉가지약속당진치과의원,33,1075,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 치아미백 충치치료 소아치과,,0.33134,0.312322,0.466899,,0.0,0.0,27.0,,0.019447,0.009354,0.007591
4,1028664821,연세하늘치과의원 당진,348,684,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,당진치과 임플란트 어린이치과 주니어치과 소아치과,,0.33134,0.297856,0.465807,,0.0,2.0,3.0,,0.019447,0.004109,0.007195
5,1006900062,경희바른이주니어치과의원,251,479,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,임플란트 교정 투명교정 당진소아치과 어린이치과,,0.33134,0.271854,0.463845,,0.0,1.0,1.0,,0.019447,0.002603,0.007081
6,1420467926,이손의료재단 이손치과병원,256,394,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,치과 임플란트,,0.33134,0.261587,0.46307,,0.0,0.0,0.0,,0.019447,-0.002486,0.006697
7,1033000527,당진에이스치과의원,25,357,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,당진치과 당진임플란트 당진충치 서산치과 당진치과전문의,,0.33134,0.256396,0.462678,,2.0,1.0,0.0,,0.019447,0.036925,0.009671
8,1043948793,퍼스트치과의원,1,297,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,임플란트 치아교정 소아진료 보험틀니 보철치료,,0.331294,0.24969,0.462155,,2.0,0.0,0.0,,0.019447,0.030261,0.009169
9,36509249,안녕플란트치과의원 당진,75,317,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,당진치과 임플란트 턱관절 틀니 구강악안면외과,,0.33134,0.233204,0.460928,,0.0,2.0,3.0,,0.019447,0.004157,0.007199
10,1496606362,힐플란트치과의원,598,127,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,당진치과 기지시치과 당진임플란트 사랑니 당진터미널치과,,0.33134,0.22401,0.460234,,4.0,10.0,6.0,,0.019447,0.016739,0.008148
11,21017124,함께웃는치과교정과치과의원,1,151,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,당진치아교정 당진교정치과 당진턱교정 당진소아교정 당진교정,,0.33134,0.222184,0.460096,,0.0,0.0,2.0,,0.019447,0.003309,0.007134
12,20052098,세브란스치과의원,182,255,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,당진치과 당진임플란트 당진충치치료 당진치아미백 당진틀니,,0.33134,0.217815,0.459767,,0.0,0.0,0.0,,0.019447,0.000114,0.006894
13,33499943,해나루구강악안면외과치과의원,13,136,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,당진구강외과 당진구강악안면외과 당진임플란트 당진사랑니 당진치과전문의,,0.33134,0.213812,0.459465,,3.0,0.0,0.0,,0.019447,0.012117,0.0078
14,1818864459,서울가지런한치과교정과치과의원,218,424,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,당진치과 당진교정치과 당진치아교정 서울가지런한교정치과 서산치과,,0.33134,0.213811,0.459464,,0.0,0.0,0.0,,0.019447,-0.010512,0.006091
15,1017453348,당진오케이치과의원,0,171,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,,,0.331294,0.211126,0.459244,,5.0,0.0,0.0,,0.019447,0.015669,0.008067
16,19533224,손창원치과의원,7,72,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,,,0.331294,0.209258,0.459104,,0.0,0.0,0.0,,0.019447,-0.001551,0.006768
17,12029857,함초롬치과의원,41,59,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,당진치과 당진임플란트 당진심미보철 당진스케일링 당진턱관절보톡스,,0.33134,0.20643,0.458907,,0.0,1.0,0.0,,0.019447,0.006822,0.007399
18,37471948,서울리더스치과의원,2,148,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 심미보철 잇몸치료 당진치과,,0.33134,0.198685,0.458323,,0.0,0.0,1.0,,0.019447,-0.00773,0.006302
19,31222584,홍치과의원,0,94,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,,,0.331294,0.196108,0.458111,,6.0,0.0,2.0,,0.019447,0.020587,0.008439
