place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1303990597,대구숙면치과의원,1644,179,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,대구치과 치과 수면임플란트 신경치료 치아보험,,0.33134,0.328639,0.359648,,0,-,-,,-,-,-
2,1323546836,다온치과의원,129,256,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구남구치과 봉덕동치과 대봉동치과 대구스케일링 대구신경치료,,0.33134,0.28984,0.35672,,0,-,-,,-,-,-
3,32630427,스마트치과의원 서부점,531,1047,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,대구수면임플란트 대구네비게이션임플란트 대구원데이임플란트 대구임플란트치과 스마트치과서부점,,0.33134,0.260859,0.354533,,0,-,-,,-,-,-
4,35752388,쁘띠치과의원,106,125,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구안면비대칭 대구교합 대구턱관절 대구임플란트 자연치아보존,,0.331294,0.241584,0.353061,,0,-,-,,-,-,-
5,250245531,젊은이치과의원,9,333,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,구강악안면외과전문의 사랑니발치 자연치아살리기 예방치료 구강검진,,0.331294,0.23072,0.352241,,0,-,-,,-,-,-
6,13253942,장시호치과의원,4,224,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,,,0.331294,0.220102,0.35144,,0,-,-,,-,-,-
7,1031479665,55플란트치과의원,1,104,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트 55플란트 서부정류장치과 대구임플란트,,0.33134,0.217951,0.351294,,0,-,-,,-,-,-
8,13253982,제일치과의원,3,120,치과,건강의료>병원>병원의원>치과>치과-일반,4.97,,임플란트 틀니 심미보철 사랑니발치 미온수스케일링,,0.331294,0.21314,0.350914,,0,-,-,,-,-,-
9,13254662,꿈을심는연합치과의원,3,119,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.205178,0.350313,,0,-,-,,-,-,-
10,12016683,성당탑치과의원,5,147,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,성당탑치과 남구_임플란트 대명동_임플란트 남구_틀니 대명동_틀니,,0.33134,0.201936,0.350086,,0,-,-,,-,-,-
11,13253951,예동M치과의원,3,302,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.201815,0.350059,,0,-,-,,-,-,-
12,12820352,남대구치과의원,1,89,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,,,0.331294,0.200749,0.349979,,0,-,-,,-,-,-
13,1514486043,명인치과의원,3,83,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,,,0.331294,0.199158,0.349859,,0,-,-,,-,-,-
14,1565097852,성당새로이치과의원,51,134,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 신경치료 치과현미경 대명동치과 성당시장,,0.33134,0.198544,0.34983,,0,-,-,,-,-,-
15,13254592,열린치과의원,2,185,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.194184,0.349483,,0,-,-,,-,-,-
16,11886890,포유치과의원,2,67,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.193564,0.349437,,0,-,-,,-,-,-
17,19527971,보성연합치과의원,2,75,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,남구치과 임플란트 보존치료 보철치료 치주치료,,0.33134,0.193014,0.349413,,0,-,-,,-,-,-
18,1174288311,소미치과의원,0,76,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,치아교정 심미치료 충치치료 임플란트 보철치료,,0.331294,0.188408,0.349048,,0,-,-,,-,-,-
19,13253937,신상욱치과의원,1,167,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,,,0.331294,0.185217,0.348807,,0,-,-,,-,-,-
20,13220242,이재용치과,8,206,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,,,0.331294,0.184713,0.348769,,0,-,-,,-,-,-
21,11838755,최상희치과의원,2,201,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.183495,0.348677,,0,-,-,,-,-,-
22,2067829444,서울웰플란트치과의원,21,36,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구남구치과 수면임플란트 대구사랑니발치 보철과전문의 서울웰플란트,,0.33134,0.17648,0.348165,,0,-,-,,-,-,-
23,13255132,영광치과의원,5,71,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.331294,0.174865,0.348025,,0,-,-,,-,-,-
24,13254614,김효정치과의원,4,69,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,,,0.331294,0.1732,0.3479,,0,-,-,,-,-,-
25,13255120,미앤미치과의원,4,84,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.172021,0.347811,,0,-,-,,-,-,-
26,13460758,태양연합치과의원,1,165,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,,,0.331294,0.171112,0.347742,,0,-,-,,-,-,-
27,37776509,중앙연합치과의원,4,270,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,임플란트 전문의 치과 치아통증 충치,,0.33134,0.168232,0.347542,,0,-,-,,-,-,-
28,13253976,이상훈치과의원,3,117,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,,,0.331294,0.168383,0.347536,,0,-,-,,-,-,-
29,34259016,탑치과의원,63,167,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,잇몸치료 잇몸성형 임플란트 치아교정 턱관절,,0.331294,0.165565,0.347324,,0,-,-,,-,-,-
30,19516680,해피플란트치과의원,1,26,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,치과 해피플란트 임플란트 교정,,0.33134,0.160031,0.346923,,0,-,-,,-,-,-
31,1335466263,바른정치과의원,0,35,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,봉덕동치과 봉덕시장치과 봉덕동임플란트 대구남구치과 남구임플란트,,0.33134,0.158624,0.346817,,0,-,-,,-,-,-
32,13254595,남대구배치과의원,2,55,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.154337,0.346476,,0,-,-,,-,-,-
33,13253916,노세형치과의원,3,64,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,,,0.331294,0.148904,0.346066,,0,-,-,,-,-,-
34,11832388,유철희치과의원,293,170,치과,건강의료>병원>병원의원>치과>치과-일반,4.17,,대명동신경치료 대명동치과 대명동임플란트 대구남구치과 대명동스케일링,,0.33134,0.146961,0.345937,,0,-,-,,-,-,-
35,13254591,제갈치과의원,2,14,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.143915,0.34569,,0,-,-,,-,-,-
36,13254651,서부치과의원,3,71,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.142278,0.345566,,0,-,-,,-,-,-
37,13253994,대백연합치과의원,5,87,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.141288,0.345491,,0,-,-,,-,-,-
38,12824743,성영주치과의원,8,48,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.140061,0.345399,,0,-,-,,-,-,-
39,13254642,한중치과의원,2,25,치과,건강의료>병원>병원의원>치과>치과-일반,3.44,,,,0.331294,0.139738,0.345374,,0,-,-,,-,-,-
40,13255141,굿모닝치과의원,2,7,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.132468,0.344826,,0,-,-,,-,-,-
41,19528171,조은이치과의원,0,93,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,임플란트 보철 충치치료 잇몸치료 틀니,,0.331294,0.131042,0.344718,,0,-,-,,-,-,-
42,13254605,대명부부치과의원,2,79,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,,,0.331294,0.129238,0.344582,,0,-,-,,-,-,-
43,13253960,정경용치과의원,6,27,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,남구치과 봉덕동치과 대구남구치과 대구치과 치과,,0.33134,0.123583,0.344172,,0,-,-,,-,-,-
44,13254685,김정호치과의원,3,23,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,,,0.331294,0.122945,0.344107,,0,-,-,,-,-,-
45,32614773,토마스치과의원,1,25,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,,,0.331294,0.120805,0.343945,,0,-,-,,-,-,-
46,13255128,정도영치과의원,5,26,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,,,0.331294,0.118106,0.343742,,0,-,-,,-,-,-
47,13254013,성원치과의원,3,48,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.117774,0.343717,,0,-,-,,-,-,-
48,13253415,이철희치과의원,3,25,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.110657,0.34318,,0,-,-,,-,-,-
49,13254693,박상헌치과의원,1,17,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,,,0.331294,0.110172,0.343143,,0,-,-,,-,-,-
50,13254742,현치과의원,1,47,치과,건강의료>병원>병원의원>치과>치과-일반,4.21,,,,0.331294,0.109253,0.343074,,0,-,-,,-,-,-
