place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1379199424,바른손치과의원,172,591,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 라미네이트 무절개임플란트 안아픈치과,,0.33134,0.372463,0.359937,,0.0,0.0,7.0,,0.019447,-0.001616,0.007217
2,1969970513,굿플랜치과의원,443,121,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 수면진료 턱관절 칠곡치과,,0.33134,0.363673,0.359274,,0.0,34.0,1.0,,0.019447,0.017377,0.008651
3,1097085596,이클린치과의원,355,128,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,대구칠곡치과 대구임플란트치과 칠곡임플란트 칠곡3지구치과 칠곡치과,,0.33134,0.312091,0.355381,,0.0,2.0,1.0,,0.019447,-0.004684,0.006986
4,1468630064,침산이튼튼치과의원,106,419,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,침산동치과 대구북구치과 침산동임플란트 대국북구임플란트 치과보존과전문의,,0.33134,0.300269,0.354488,,2.0,3.0,1.0,,0.019447,0.00511,0.007724
5,21667070,홍인치과의원,139,189,치과,건강의료>병원>병원의원>치과>치과-일반,4.14,,신경치료 치주치료 보험틀니 뼈이식임플란트 누운매복사랑니발치,,0.331294,0.297608,0.35427,,0.0,2.0,0.0,,0.019447,-0.013149,0.006346
6,1934991577,오페라치과의원,82,296,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,침산동치과 칠성동치과 고성동치과 침산동임플란트 침산동교정,,0.33134,0.290921,0.353783,,7.0,1.0,1.0,,0.019447,0.033699,0.009882
7,1824604308,올디플란트치과의원,570,836,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 일요일치과 투명교정 컴퓨터분석임플란트,,0.33134,0.286515,0.35345,,0.0,2.0,8.0,,0.019447,0.009904,0.008086
8,13255881,복현라온치과의원,6,319,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,임플란트 사랑니발치 투명교정 사랑니 틀니,,0.331294,0.28621,0.35341,,4.0,0.0,0.0,,0.019447,0.028539,0.009493
9,13127579,아이샘치과의원,38,448,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,대구소아치과 북구소아치과 칠곡소아치과 칠곡교정치과 칠곡어린이치과,,0.33134,0.284509,0.353299,,0.0,0.0,0.0,,0.019447,0.016434,0.008579
10,13588051,에프엠치과의원,3,200,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.279944,0.352937,,0.0,0.0,0.0,,0.019447,0.014659,0.008445
11,1325511609,더원플란트치과의원,43,146,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면임플란트 네비게이션임플란트 칠곡3지구임플란트 야간진료치과 칠곡3지구치과,,0.33134,0.278398,0.352838,,0.0,2.0,0.0,,0.019447,0.006507,0.00783
12,13276926,김태완아이봄치과의원,27,522,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,대구어린이치과 대구소아치과 대구소아교정 대구수면치료소아치과 대구충치치료,,0.33134,0.266269,0.351922,,4.0,0.0,0.0,,0.019447,0.011988,0.008243
13,1360349135,칠곡명인치과의원,156,157,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,치과 임플란트 보철 칠곡3지구치과 라미네이트,,0.33134,0.259872,0.351439,,0.0,0.0,0.0,,0.019447,-0.039046,0.004391
14,20480927,라이프치과의원,11,321,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니발치 사랑니 구강외과 임플란트 발치,,0.331294,0.2596,0.351402,,4.0,0.0,0.0,,0.019447,0.020792,0.008908
15,38263042,고마운치과의원,121,204,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,사랑니 사랑니발치 수면치료 야간진료 칠곡3지구,,0.331294,0.258372,0.351309,,0.0,0.0,0.0,,0.019447,0.00251,0.007528
16,1137311301,바른우리치과의원,100,422,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구칠곡치과 대구북구치과 칠곡3지구치과 칠곡임플란트 북구사랑니발치,,0.33134,0.256695,0.3512,,0.0,3.0,10.0,,0.019447,-0.007472,0.006775
17,1102867262,김앤박치과 의원,38,448,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,칠곡미세현미경근관치료 칠곡동천동교정 칠곡동천동미백 칠곡임플란트 김앤박치과,,0.33134,0.251023,0.350772,,0.0,0.0,1.0,,0.019447,0.003889,0.007633
18,1672818128,봄날에치과의원,153,209,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 투명교정 신경치료 복현동치과,,0.33134,0.247562,0.35051,,0.0,1.0,0.0,,0.019447,-0.00819,0.00672
19,1820599215,서변다온치과의원,3,247,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서변동치과 동변동치과 임플란트 충치 스케일링,,0.33134,0.246969,0.350466,,2.0,0.0,3.0,,0.019447,0.011636,0.008217
20,11641381,엠치과의원 칠곡점,787,245,치과,건강의료>병원>병원의원>치과>치과-일반,4.09,,칠곡3지구치과 칠곡치과 대구칠곡치과 칠곡임플란트 동천동치과,,0.33134,0.241625,0.350062,,6.0,3.0,2.0,,0.019447,0.016071,0.008551
21,36912424,칠곡바른송치과의원,28,606,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트 치아교정 사랑니 충치치료,,0.33134,0.241351,0.350042,,0.0,0.0,9.0,,0.019447,0.004041,0.007644
