place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1717973862,경대본치과 의원,55,235,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구강외과 임플란트 치아교정 사랑니발치 턱관절,,0.331294,0.278178,0.334691,,0,-,-,,-,-,-
2,1554436090,서대구오늘치과의원,63,264,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 평리동치과 보철치료 대구치과 서구치과,,0.33134,0.246443,0.332313,,0,-,-,,-,-,-
3,1196545632,두류사랑니치과의원,85,550,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구사랑니 두류사랑니 내당동사랑니 달서구사랑니 사랑니발치,,0.331294,0.241086,0.331891,,0,-,-,,-,-,-
4,37229984,더원노블치과의원,161,320,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,치과 임플란트 충치치료 신경치료 보철치료,,0.33134,0.235316,0.331473,,0,-,-,,-,-,-
5,1841992951,웰치과의원,16,121,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치주과전문의 대구잇몸치료 대구임플란트 대구서구치과 대구스케일링,,0.33134,0.234154,0.331385,,0,-,-,,-,-,-
6,13254206,진종호치과의원,7,73,치과,건강의료>병원>병원의원>치과>치과-일반,4.0,,,,0.331294,0.22912,0.330988,,0,-,-,,-,-,-
7,1504609109,이굿치과의원,5,46,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,사랑니 임플란트 비산동치과 원대동치과 평리동치과,,0.33134,0.227292,0.330867,,0,-,-,,-,-,-
8,13253672,강훈치과의원,4,225,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,대구치과 대구서구치과 원대동치과 대구임플란트 대구치주과전문의,,0.33134,0.22719,0.33086,,0,-,-,,-,-,-
9,1828381408,7월7일치과의원,39,196,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치주과전문의 대구치주과 대구치과 대구임플란트 임플란트,,0.33134,0.20187,0.328949,,0,-,-,,-,-,-
10,13254293,미소치과의원,4,56,치과,건강의료>병원>병원의원>치과>치과-일반,3.89,,,,0.331294,0.199492,0.328752,,0,-,-,,-,-,-
11,33299837,닥터스마일치과의원,2,176,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,,,0.331294,0.198376,0.328668,,0,-,-,,-,-,-
12,13254639,두류플란트치과의원,2,257,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,대구서구치과 대구일요일치과 대구서구임플란트 평리동임플란트 대구공휴일치과,,0.33134,0.197433,0.328614,,0,-,-,,-,-,-
13,13254275,이사랑치과의원,4,108,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,,,0.331294,0.182286,0.327453,,0,-,-,,-,-,-
14,13254223,서대구행복을심는치과의원,2,109,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,,,0.331294,0.182134,0.327442,,0,-,-,,-,-,-
15,13254082,박세호연합치과,3,143,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,치과,,0.33134,0.17661,0.327042,,0,-,-,,-,-,-
16,37485883,준치과의원,38,57,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,심미치료 매복사랑니발치 임플란트 소아치료 서문시장치과,,0.33134,0.170988,0.326618,,0,-,-,,-,-,-
17,12821612,미주치과의원,4,126,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,,,0.331294,0.170664,0.326576,,0,-,-,,-,-,-
18,13254236,김동목바른이치과의원,130,103,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,김동목바른이치과 치과 교정 임플란트 충치치료,,0.33134,0.167621,0.326364,,0,-,-,,-,-,-
19,13254197,건아치과의원,2,100,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.166455,0.326259,,0,-,-,,-,-,-
20,13254177,비산중앙치과의원,2,68,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,임플란트 치과 사랑니 보철 크라운,,0.33134,0.165639,0.326214,,0,-,-,,-,-,-
21,1295987590,범어광장램브란트치과의원,0,16,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.163223,0.326015,,0,-,-,,-,-,-
22,1774896753,유현석치과의원,1,73,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,치주치료 임플란트 신경치료 보존치료 보철치료,,0.331294,0.163008,0.325998,,0,-,-,,-,-,-
23,31228937,광장플랜트치과의원,95,84,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,대구서구치과 내당동치과 달서구치과 달서구임플란트 감삼동치과,,0.33134,0.16161,0.32591,,0,-,-,,-,-,-
24,19501399,서대구수치과의원,0,154,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.161677,0.325898,,0,-,-,,-,-,-
25,1618619748,호치과의원,1,84,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.159512,0.325735,,0,-,-,,-,-,-
26,13254306,새길치과의원,1,41,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.158026,0.325622,,0,-,-,,-,-,-
27,13254103,이현치과의원,5,51,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,,,0.331294,0.157229,0.325562,,0,-,-,,-,-,-
28,13254238,성수치과의원,2,85,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,,,0.331294,0.156879,0.325536,,0,-,-,,-,-,-
29,11858504,류남순치과의원,2,36,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,대구치과 대구인비절라인 투명교정 대구교정 인비절라인,,0.33134,0.15569,0.325464,,0,-,-,,-,-,-
30,1783133481,팔달리더스치과의원,12,47,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,팔달시장치과 수면마취 임플란트치과 대구서구치과 대구임플란트,,0.33134,0.15541,0.325442,,0,-,-,,-,-,-
31,13254137,명광치과의원,2,49,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,,,0.331294,0.144339,0.32459,,0,-,-,,-,-,-
32,38300729,더아름다운치과의원,2,122,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,,,0.331294,0.143862,0.324554,,0,-,-,,-,-,-
33,13254110,중리치과의원,2,37,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,,,0.331294,0.134093,0.323816,,0,-,-,,-,-,-
34,34467046,서현수치과의원,0,34,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,서현수치과 대구서구치과 대구평리동치과,,0.33134,0.13311,0.323759,,0,-,-,,-,-,-
35,19524040,새한마음치과의원,3,76,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.132357,0.323685,,0,-,-,,-,-,-
