place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1299497887,서울탑플란트치과의원,3763,269,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구치과 대구매복사랑니발치치과 무절개임플란트치과 틀니보철심미치료 앞니치아미백,,0.33134,0.496681,0.466594,,6.0,390.0,0.0,,0.019447,0.037709,0.010121
2,12304580,아이큰숲치과의원,1512,2404,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,대구소아치과 대구어린이치과 아이큰숲치과 소아교정치과 대구청소년치과,,0.33134,0.483114,0.46557,,0.0,219.0,38.0,,0.019447,-0.001292,0.007177
3,1869090199,서울바른플란트치과의원,3674,1440,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,달서구치과 달서구치아교정치과 네비게이션임플란트 틀니보철심미치료 매복사랑니치발치,,0.33134,0.475405,0.464988,,2.0,152.0,4.0,,0.019447,0.009675,0.008005
4,1106175068,수성더원치과의원,2290,509,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구치과 임플란트 대구수성구치과 사랑니발치 치아교정,,0.33134,0.472658,0.464781,,0.0,208.0,4.0,,0.019447,-0.004224,0.006956
5,1829630734,킹플란트치과의원 대구,1314,169,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구치과 달서구치과 대구임플란트 감삼역치과 대구교정치과,,0.33134,0.471488,0.464692,,6.0,98.0,5.0,,0.019447,0.029775,0.009521
6,31937523,로이스치과의원,2331,253,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구치과 대구임플란트 대구임플란트후기 대구임플란트가격 무통임플란트,,0.33134,0.470094,0.464587,,0.0,226.0,0.0,,0.019447,-0.000971,0.007201
7,1323662741,시지바름플란트치과의원,2103,281,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수성구치과 시지치과 대구치과 대구사랑니 시지임플란트,,0.33134,0.460401,0.463856,,0.0,107.0,3.0,,0.019447,-0.009312,0.006572
8,1979275309,제로치과병원,2149,320,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 라미네이트 수면치과 어린이치과 대구치과,,0.33134,0.456348,0.46355,,0.0,317.0,13.0,,0.019447,-0.003064,0.007043
9,1315126120,마카온치과의원,2149,147,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 수성구스케일링 범어역충치치료 만촌동레진 턱관절치료,,0.331294,0.456103,0.463514,,0.0,197.0,9.0,,0.019447,0.006191,0.007742
10,12813363,디에르치과의원 대구점,3919,1102,치과,건강의료>병원>병원의원>치과>치과-일반,4.89,,대구치과 대구치아미백 대구라미네이트 대구치아교정 대구충치치료,,0.33134,0.455003,0.463448,,0.0,124.0,3.0,,0.019447,0.000923,0.007344
11,1720342817,밝은결치과의원,1029,519,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치치료 사랑니발치 레이저잇몸치료 네비게이션임플란트재수술 대구흡착틀니수리,,0.331294,0.443041,0.462528,,2.0,96.0,3.0,,0.019447,0.015196,0.008421
12,2097877011,제우스치과의원,2079,204,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구치과 대구임플란트 대구치아스케일링비용 대구잇몸염증신경치료 틀니보철심미치료,,0.33134,0.435794,0.461999,,0.0,403.0,0.0,,0.019447,0.004759,0.007634
13,13253443,편한구강내과치과의원,1166,985,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구턱관절 대구코골이 대구구강내과 대구턱관절병원 대구이갈이,,0.331294,0.433718,0.461825,,0.0,0.0,10.0,,0.019447,-0.015744,0.006087
14,13575644,위브치과의원,2213,233,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,치아미백라미네이트 수성구범어동임플란트 수성구범어동사랑니발치 대구수성구범어동치과 수성구치과,,0.33134,0.431845,0.4617,,0.0,48.0,2.0,,0.019447,0.006622,0.007774
15,34383233,에스프라임치과의원 광장점,3013,395,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,치아교정 라미네이트 임플란트 신경치료 무통마취,,0.331294,0.415984,0.460486,,0.0,287.0,0.0,,0.019447,-0.00215,0.007112
16,37108976,서울S치과의원,1317,377,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,임플란트 보철치료 월성동치과 달서구치과 잇몸치료,,0.33134,0.406706,0.459803,,5.0,19.0,1.0,,0.019447,0.017599,0.008602
17,1868106156,더원연합치과의원,1366,232,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,대구달서구치과 대구달서구임플란트 달서구치아교정 달서구치아미백 달서구치과스케일링,,0.33134,0.405423,0.459706,,0.0,37.0,8.0,,0.019447,-0.001555,0.007157
18,34960735,일곱가지약속치과의원,2149,2584,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,대구치과 상인동치과 대구임플란트 대구치아교정 주말치과충치치료,,0.33134,0.405232,0.459692,,0.0,209.0,11.0,,0.019447,-0.007818,0.006684
19,1475496060,범어5층치과의원,652,213,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 사랑니 무삭제라미네이트 미니쉬,,0.331294,0.403156,0.459518,,5.0,178.0,12.0,,0.019447,0.019225,0.008725
20,1438171626,율치과의원,1096,148,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수성구치과 대구인비절라인치과 대구투명교정치과 대구신경치료 에어플로우치과,,0.33134,0.399782,0.459281,,3.0,144.0,0.0,,0.019447,0.015657,0.008456
21,31045048,톡톡구강내과치과의원,1013,1843,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,대구턱관절치료병원 대구치과 대구구강내과 대구이갈이치과 대구턱관절병원,,0.33134,0.399035,0.459224,,0.0,17.0,4.0,,0.019447,-0.003915,0.006979
22,1782715045,더엠디 치주과 치과의원,1823,35,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구치과 대구치주과 대구임플란트 수성구치과 대구잇몸치료,,0.33134,0.395799,0.45898,,6.0,176.0,1.0,,0.019447,0.018598,0.008678
23,1931989406,아름다운차이치과의원,769,242,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,대구치과 대구라미네이트심미보철 대구잇몸충치치료 대구틀니스케일링 의식하진정법임플란트,,0.33134,0.393583,0.458813,,2.0,246.0,1.0,,0.019447,0.010434,0.008062
