place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1628892117,탑클래스치과의원,287,283,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,네비게이션임플란트 미세현미경신경치료 치과보존과전문의 턱관절틀니 충치보철치료,,0.33134,0.337834,0.387512,,0.0,3.0,1.0,,0.019447,0.019087,0.008779
2,11656083,편한치과의원,26,1088,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,치주질환예방치료 교정 보철 치아미백 임플란트,,0.331294,0.306691,0.385144,,0.0,1.0,2.0,,0.019447,-0.01214,0.006422
3,1956968694,365성심플란트치과의원 대전,581,257,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,앞니라미네이트 임플란트틀니 대전동구야간치과 365치과병원 공휴일진료,,0.33134,0.300394,0.384686,,0.0,28.0,15.0,,0.019447,0.001527,0.007454
4,36271522,이앤장치과교정과치과의원,233,740,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,대전치아교정 대전교정치과 대전투명교정 대전교정 대전성장기교정,,0.33134,0.300355,0.384683,,0.0,0.0,5.0,,0.019447,0.007921,0.007936
5,1324155431,나비온치과의원,494,1125,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,네비게이션임플란트 임플란트 사랑니발치 심미보철 디지털보철,,0.331294,0.284154,0.383444,,1.0,1.0,12.0,,0.019447,0.007874,0.007933
6,38274017,서울치과병원,77,192,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,치과 치과병원 임플란트 대전치과 대전임플란트,,0.33134,0.279701,0.383125,,0.0,0.0,0.0,,0.019447,-0.000748,0.007283
7,36768930,에이케이플란트치과의원,456,1067,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 대전임플란트 대전어린이치과 대전교정치과 대전치아교정,,0.33134,0.277835,0.382984,,0.0,0.0,1.0,,0.019447,0.006461,0.007827
8,2033519801,온마음치과의원,1,66,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 대전동구치과 천동치과 대전턱관절 대전임플란트,,0.33134,0.233936,0.379671,Hot,12.0,0.0,8.0,,0.019447,0.041274,0.010454
9,12948951,박재국연합치과의원,92,400,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,임플란트 15년AS 치과 사랑니 치아,,0.33134,0.229283,0.37932,,0.0,0.0,0.0,,0.019447,0.008248,0.007962
10,1979302085,스마트치과의원,7,183,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,사랑니발치 교정 당일진료가능 임플란트 심미보철,,0.331294,0.228768,0.379263,,0.0,0.0,0.0,,0.019447,-0.00913,0.006649
11,21350147,오케이치과의원,2,163,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,가오동치과 대전동구치과 판암동치과 가오동임플란트 판암동임플란트,,0.33134,0.22437,0.378949,,0.0,0.0,0.0,,0.019447,0.014546,0.008437
12,1836906906,가양탑치과의원,2,186,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,가양동치과 비래동치과 성남동치과 용전동치과 자양동치과,,0.33134,0.219534,0.378584,,2.0,0.0,0.0,,0.019447,0.018405,0.008728
13,1852548070,서울뉴플란트치과의원,3,118,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,,,0.331294,0.218308,0.378474,,0.0,0.0,0.0,,0.019447,0.015757,0.008528
14,20150271,리더스장치과의원,1,124,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,효동치과 천동치과 인동치과 신흥동치과 동구치과,,0.33134,0.21768,0.378444,,0.0,0.0,0.0,,0.019447,0.015316,0.008495
15,13245848,연세미치과의원,7,149,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.214995,0.378224,,3.0,0.0,0.0,,0.019447,0.019466,0.008808
16,1250360274,올소치과의원,42,160,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,올소치과 보험임플란트 틀니 사랑니발치 충치치료,,0.33134,0.209643,0.377837,,0.0,0.0,0.0,,0.019447,0.012694,0.008296
