place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1429691008,청담수치과의원 대전,6105,917,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치아교정치과 둔산동턱관절 전체임플란트틀니 매복사랑니발치 전문가치아미백,,0.33134,0.513485,0.367561,,0.0,475.0,5.0,,0.019447,-0.007659,0.00676
2,36898200,서울브라운치과의원 대전,6647,1619,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 치아교정 임플란트 충치치료 사랑니발치,,0.33134,0.494621,0.366138,,0.0,393.0,13.0,,0.019447,-0.012815,0.006372
3,1954571339,오늘바로플란트치과의원 대전,2464,267,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 정부청사역치과 임플란트 보철 스케일링,,0.33134,0.483682,0.365312,,0.0,218.0,3.0,,0.019447,-0.013771,0.0063
4,36863309,비케이치과의원,492,699,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,사랑니발치 임플란트 야간치과 구강외과 보철과,,0.33134,0.443587,0.362286,,8.0,3.0,15.0,,0.019447,0.038965,0.01028
5,1012905059,바른이치 치과의원 둔산점,2384,450,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,네비게이션디지털임플란트 충치치료 턱관절통증 매복사랑니발치 전체풀아치틀니,,0.331294,0.43914,0.361933,,1.0,408.0,22.0,,0.019447,0.018509,0.008736
6,34347279,세상에하나뿐인치과의원 대전,3100,1177,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,대전임플란트 둔산동임플란트 대전치과 둔산동사랑니 대전턱관절,,0.33134,0.43394,0.361558,,3.0,318.0,7.0,,0.019447,0.021137,0.008934
7,13246722,수연합치과의원 대전,2409,920,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,대전임플란트 대전치아교정 대전교정 대전치아미백 대전임플란트치과,,0.33134,0.43121,0.361352,,0.0,26.0,4.0,,0.019447,-0.038273,0.00445
8,465493492,엠케이치과의원 대전,2022,648,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 사랑니발치 턱관절 교정치과,,0.33134,0.420857,0.36057,,2.0,270.0,-5.0,,0.019447,0.012268,0.008264
9,13054609,일리노이치과의원,2575,213,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,대전치과 둔산동치과 대전서구치과 대전사랑니발치 대전임플란트,,0.33134,0.419645,0.360479,,2.0,269.0,0.0,,0.019447,0.012655,0.008294
10,1190220898,대전 더봄구강악안면외과치과의원,2070,1665,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,대전사랑니치과 대전턱관절치과 대전턱관절 대전턱관절병원 대전더봄치과,,0.33134,0.416916,0.360273,,0.0,20.0,8.0,,0.019447,0.000353,0.007365
