place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,12079099,선치과병원,256,836,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,임플란트 소아치과 대전치아교정 구강내과 주말진료,,0.33134,0.360293,0.340905,,0,-,-,,-,-,-
2,1715230856,스마트치과의원,481,107,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니발치 대전임플란트 대전잇몸치료 네비게이션임플란트 태평동치과,,0.33134,0.325017,0.338243,,0,-,-,,-,-,-
3,33615670,정담치과의원,239,303,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,대전치과 대전임플란트 대전치아교정 대전충치치료 대전신경치료,,0.33134,0.303126,0.336591,,0,-,-,,-,-,-
4,1804283419,병아리소아치과의원,20,153,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면진정치료 병아리치과 어린이치과 웃음가스치료 대전소아치과,,0.33134,0.298582,0.336248,,0,-,-,,-,-,-
5,1239437730,클린디치과의원 대전,730,271,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전중구치과 대전야간진료치과 대전치과 디지털임플란트 충치치료,,0.33134,0.253737,0.332863,,0,-,-,,-,-,-
6,10977835,라파엘플랜트치과의원,10,101,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,대전치과 대전임플란트 대전사랑니 대전교정치과 대전보철치과,,0.33134,0.246338,0.332305,,0,-,-,,-,-,-
7,13246303,화이트서울치과의원,516,316,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,대전치과 중구문화동치과 대전임플란트 대전비발치치아교정 턱관절치료,,0.33134,0.240394,0.331856,,0,-,-,,-,-,-
8,36137913,서울센트럴치과의원,520,390,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,임플란트 보철치료 충치치료 잇몸치료 사랑니발치,,0.331294,0.230478,0.331091,,0,-,-,,-,-,-
9,13245693,현대치과의원,7,361,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,,,0.331294,0.225375,0.330705,,0,-,-,,-,-,-
10,715374266,서울삼성치과의원,3,133,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,대전치과 서대전치과 서대전네거리치과 대전중구치과 대전임플란트,,0.33134,0.214017,0.329866,,0,-,-,,-,-,-
11,1973186918,소망부부치과의원,4,186,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,,,0.331294,0.211628,0.329668,,0,-,-,,-,-,-
12,13246365,호산치과의원,7,234,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.209011,0.32947,,0,-,-,,-,-,-
13,979542798,민치과의원,3,130,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,,,0.331294,0.205005,0.329168,,0,-,-,,-,-,-
14,1965720712,청담플란트치과의원,74,114,치과,건강의료>병원>병원의원>치과>치과-일반,4.86,,청담플란트치과 대전치과 대전중구치과 문화동치과 유천동치과,,0.33134,0.20293,0.329029,,0,-,-,,-,-,-
15,1733097457,세상에하나뿐인치과의원,3,155,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,세하치과 대전치과 임플란트 턱관절치료 은행동치과,,0.33134,0.202256,0.328978,,0,-,-,,-,-,-
16,21548747,하늘플란트치과의원,1,109,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.202157,0.328953,,0,-,-,,-,-,-
17,1604196307,유천플란트치과의원,115,123,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전임플란트 유천동치과 대전치과 임플란트 유천플란트치과,,0.33134,0.200326,0.328832,,0,-,-,,-,-,-
18,31663699,즐거운치과의원,3,249,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,치과 임플란트 올세라믹 지르코니아,,0.33134,0.20024,0.328826,,0,-,-,,-,-,-
19,13347623,본치과의원,70,226,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일치과 임플란트 치아교정 보철치료 충치치료,,0.33134,0.199745,0.328788,,0,-,-,,-,-,-
20,1084121368,다은치과의원,1,21,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.199871,0.328781,,0,-,-,,-,-,-
21,13246378,조병옥치과의원,6,262,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.331294,0.193109,0.32827,,0,-,-,,-,-,-
22,20251869,버드내치과의원,1,82,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.188876,0.327951,,0,-,-,,-,-,-
23,13245585,임성수치과,6,240,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.188019,0.327886,,0,-,-,,-,-,-
24,38254028,정들치과의원,4,94,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,사랑니 임플란트 지르코니아 레진 스켈링,,0.331294,0.187342,0.327835,,0,-,-,,-,-,-
25,13246420,미소안치과의원,3,130,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,,,0.331294,0.186997,0.327809,,0,-,-,,-,-,-
26,13246469,금강치과의원,5,131,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,,,0.331294,0.185163,0.327671,,0,-,-,,-,-,-
27,13245590,김명수치과의원,3,130,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,,,0.331294,0.184279,0.327604,,0,-,-,,-,-,-
28,11848716,에덴플러스치과의원,371,98,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,틀니임플란트 임플란트 충치치료 치과보험 오류동치과,,0.33134,0.183776,0.327583,,0,-,-,,-,-,-
29,20455794,서대전미치과의원,2,111,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,치과 서대전네거리 대전중구 임플란트 크라운,,0.33134,0.1831,0.327532,,0,-,-,,-,-,-
30,13246412,장수일치과의원,4,195,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,노인틀니 임플란트 치아보철 보존치료,,0.331294,0.182733,0.327487,,0,-,-,,-,-,-
31,13246741,김상학치과의원,4,94,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,,,0.331294,0.182399,0.327462,,0,-,-,,-,-,-
32,13245598,정윤호치과의원,0,167,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.182167,0.327444,,0,-,-,,-,-,-
33,13246531,박인호치과의원,4,129,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.182082,0.327438,,0,-,-,,-,-,-
34,20150265,함께하는치과의원,1,163,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,임플란트 충치치료 크라운 레진 심미보철,,0.331294,0.181162,0.327369,,0,-,-,,-,-,-
35,13245670,선치과의원,1,85,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,,,0.331294,0.176265,0.326999,,0,-,-,,-,-,-
36,13246433,장정태치과의원,3,288,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.176206,0.326995,,0,-,-,,-,-,-
37,1301396689,한밭제일치과의원,0,97,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,임플란트 신경치료 중구치과 사랑니발치,,0.33134,0.175338,0.326946,,0,-,-,,-,-,-
