place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,31222500,대전치과의원,0,24,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.523173,0.144573,0.356947,,0.0,0.0,0.0,,0.009656,-0.024956,0.000229
2,1429691008,청담수치과의원 대전,6105,917,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치아교정치과 둔산동턱관절 전체임플란트틀니 매복사랑니발치 전문가치아미백,,0.400942,0.513485,0.260038,,0.0,475.0,5.0,,0.009651,-0.007659,0.002391
3,36898200,서울브라운치과의원 대전,6647,1619,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 치아교정 임플란트 충치치료 사랑니발치,,0.400942,0.494621,0.258791,,0.0,393.0,13.0,,0.009651,-0.012815,0.002051
4,1954571339,오늘바로플란트치과의원 대전,2464,267,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 정부청사역치과 임플란트 보철 스케일링,,0.400942,0.483682,0.258071,,0.0,218.0,3.0,,0.009651,-0.013771,0.001988
5,37046164,서울정석치과의원 대전,1657,1033,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 스케일링 틀니 충치치료 임플란트,,0.400942,0.478066,0.257701,,0.0,214.0,6.0,,0.009651,-0.003986,0.002633
6,1630072486,연세올데이치과의원 대전,3256,1331,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대전치과 대전야간치과 대전인비절라인 대전교정치과 대전임플란트,,0.400942,0.461992,0.25664,,2.0,794.0,21.0,,0.009651,0.027049,0.004681
7,1521659098,클라리티치과의원 대전,2648,1358,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,대전치과 봉명동치과 유성구치과 임플란트 치아미백,,0.400942,0.458589,0.256422,,0.0,108.0,5.0,,0.009651,0.003627,0.003135
8,34347279,세상에하나뿐인치과의원 대전,3100,1177,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,대전임플란트 둔산동임플란트 대전치과 둔산동사랑니 대전턱관절,,0.400942,0.43394,0.254789,,3.0,318.0,7.0,,0.009651,0.021137,0.004291
9,13246722,수연합치과의원 대전,2409,920,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,대전임플란트 대전치아교정 대전교정 대전치아미백 대전임플란트치과,,0.400942,0.43121,0.254581,,0.0,26.0,4.0,,0.009651,-0.038273,0.000372
10,465493492,엠케이치과의원 대전,2022,648,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 사랑니발치 턱관절 교정치과,,0.400919,0.420857,0.253878,,2.0,270.0,-5.0,,0.009651,0.012268,0.003707
