place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,35685049,창동탑치과의원,442,138,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,창동치과 창동역치과 임플란트 자연치아살리기 도봉구치과,,0.33134,0.422544,0.35466,,1.0,4.0,0.0,,0.019447,0.027366,0.009404
2,13517680,서울 리즈치과의원,690,1011,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,방학동치과 방학역치과 도봉구치과 도봉예치과 방학역임플란트,,0.33134,0.390279,0.352225,,1.0,1.0,5.0,,0.019447,0.002125,0.007499
3,1521617173,더편한플란트치과의원,419,374,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,도봉구치과 임플란트 치아교정 신경치료 창동치과,,0.33134,0.362752,0.350147,,6.0,120.0,7.0,,0.019447,0.084172,0.013691
4,1279028439,온아치과의원,665,1348,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,도봉구치과 창동치과 창동임플란트 일요일진료 사랑니발치,,0.33134,0.362615,0.350137,,0.0,65.0,9.0,,0.019447,-0.012026,0.006431
5,1362748220,서울브라이튼치과의원,1122,113,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창동치과 창동역치과 도봉구치과 도봉구임플란트,,0.33134,0.358432,0.349821,,0.0,30.0,2.0,,0.019447,-0.037348,0.00452
6,12872610,서울하이안치과의원 쌍문점,567,1666,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,사랑니 신경치료 쌍문동치과 쌍문교정치과 쌍문임플란트,,0.33134,0.307428,0.345972,,0.0,1.0,8.0,,0.019447,0.002262,0.007509
7,1017229938,서울미담치과의원,153,249,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,방학동치과 도봉구치과 쌍문동치과 방학역치과,,0.33134,0.300066,0.345416,,1.0,55.0,1.0,,0.019447,0.019899,0.00884
8,20372979,로덴성문치과병원,682,117,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,쌍문동치과 창동역치과 도봉구치과 쌍문역치과 쌍문치과,,0.33134,0.297977,0.345259,,0.0,23.0,-1.0,,0.019447,-0.004542,0.006996
9,1894693879,강북감동치과의원,169,209,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,쌍문역치과 쌍문동앞니레진 도봉구임플란트 사랑니발치 신경치료,,0.33134,0.287791,0.34449,,0.0,1.0,1.0,,0.019447,-0.037009,0.004546
10,11880667,연세키즈몽치과의원,28,460,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,소아치과 어린이치과 키즈치과 영유아구강검진 어린이충치,,0.33134,0.280987,0.343976,,0.0,0.0,2.0,,0.019447,0.004668,0.007691
