place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,629854399,서울베스트치과의원,3546,895,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 치아교정 임플란트 충치 사랑니,,0.33134,0.474328,0.349512,,0.0,275.0,-1.0,,0.019447,-0.013632,0.00631
2,1793265745,샤인이치과의원 천안,2353,248,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,매복사랑니당일발치 충치신경보존치료 무통마취치과 임플란트염증재수술 천안치과,,0.33134,0.459087,0.348361,,0.0,97.0,2.0,,0.019447,-0.012287,0.006411
3,1445804238,스마트플란트치과의원,4028,1299,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 천안임플란트 신부동치과 신부동임플란트 임플란트,,0.33134,0.453477,0.347938,,0.0,385.0,13.0,,0.019447,-0.00976,0.006602
4,19747952,365아홉가지약속치과의원,834,1602,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,임플란트 투명교정 수면임플란트 라미네이트 천안치과,,0.33134,0.392419,0.34333,,0.0,36.0,6.0,,0.019447,0.001572,0.007458
5,21667183,단국대학교치과대학병원,151,375,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,단국대학교치과병원 단국대치대병원 단국대치과병원 천안치과병원,,0.33134,0.386841,0.342909,,0.0,1.0,2.0,,0.019447,0.004466,0.007676
6,20749063,천안영플란트치과의원,679,119,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,신부동치과 부분틀니 사랑니발치 천안치과 임플란트,,0.33134,0.362408,0.341065,,6.0,157.0,0.0,,0.019447,0.076099,0.013082
7,116078163,청당 앤 미소치과의원,573,241,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,청당동치과 천안치과 청당동사랑니 청당동스켈링 천안임플란트,,0.33134,0.35681,0.340642,,0.0,36.0,2.0,,0.019447,0.001923,0.007484
8,1277527528,진플란트치과의원,300,165,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 청당동치과 임플란트 주말진료 공휴일진료,,0.33134,0.341635,0.339497,,0.0,7.0,0.0,,0.019447,0.002303,0.007512
9,1654514637,한림홍치과의원,852,208,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신부동임플란트 충치치료 사랑니발치 스케일링 잇몸치료,,0.331294,0.337016,0.339131,,1.0,63.0,1.0,,0.019447,0.021665,0.008974
10,1666932397,새늘치과의원,474,115,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구성동치과 원성동치과 동남구치과 천안치과 청당동치과,,0.33134,0.333226,0.338862,,0.0,8.0,2.0,,0.019447,-0.003073,0.007106
11,1313541065,천안더맑은치과의원,1738,447,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 뼈이식임플란트 치아미백 심미치료 보철치료,,0.331294,0.322551,0.33804,,0.0,47.0,2.0,,0.019447,-0.012333,0.006408
12,12772165,문치과병원,50,865,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,임플란트 교정치과 천안치과 충치치료 턱관절,,0.33134,0.29698,0.336127,,0.0,0.0,3.0,,0.019447,0.006827,0.007854
13,36398399,서울수석치과교정과치과의원,1569,829,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,교정치과 치아교정 교정전문의 인비절라인 투명교정,,0.33134,0.273553,0.334359,,0.0,5.0,14.0,,0.019447,0.007965,0.00794
14,13243718,디즈니치과의원,12,150,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,어린이치과 소아치과전문의 웃음가스진정요법 수면진정요법 성장교정,,0.33134,0.259986,0.333335,,5.0,0.0,0.0,,0.019447,0.016674,0.008597
15,36912433,연세편안한치과의원,30,238,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,천안치과 천안임플란트 임플란트 네비게이션임플란트 디지털임플란트,,0.33134,0.258269,0.333205,,5.0,0.0,0.0,,0.019447,0.020129,0.008858
16,13243830,최우창치과의원,11,21,치과,건강의료>병원>병원의원>치과>치과-일반,4.11,,,,0.331294,0.256857,0.333081,,0.0,0.0,0.0,,0.019447,0.008117,0.007951
17,1745613015,생명나무치과의원,131,527,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 소아진료 청당동치과 청당동임플란트,,0.33134,0.252843,0.332796,,0.0,6.0,7.0,,0.019447,0.005148,0.007728
18,1246554574,턱앤사랑니치과의원,138,609,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니전문치과 턱관절치과 천안구강악안면외과 천안사랑니 사랑니발치,,0.33134,0.251058,0.332661,,0.0,2.0,7.0,,0.019447,0.007193,0.007882
19,36338385,착한미소치과의원,2,170,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,천안임플란트 천안치과 신방동치과 신방동임플란트 천안충치치료,,0.33134,0.242771,0.332036,,7.0,0.0,0.0,,0.019447,0.031749,0.009735
20,13243745,고상덕치과의원,5,276,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,치과 교정,,0.33134,0.240604,0.331872,,0.0,0.0,0.0,,0.019447,-0.011733,0.006453
21,35209564,보스톤탑치과의원,22,137,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,치아교정 임플란트 보철 치아미백,,0.331294,0.238292,0.33168,,0.0,0.0,0.0,,0.019447,-0.020476,0.005793
22,13243841,고려치과병원,7,407,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,,,0.331294,0.226679,0.330804,,2.0,0.0,0.0,,0.019447,0.010063,0.008098
23,1361980197,정세영치과의원,65,196,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,신부동치과 신부동임플란트 천안스케일링 천안치과 천안임플란트,,0.33134,0.225915,0.330763,,0.0,0.0,1.0,,0.019447,0.004627,0.007687
24,1415080870,청당왕치과의원,2,192,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,구강외과전문의 보험임플란트 사랑니당일발치 미백치료 보험틀니,,0.331294,0.224122,0.330611,,0.0,0.0,4.0,,0.019447,0.00617,0.007805
25,19527818,서울봄치과의원,1,89,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,쌍용동치과 신방동치과 천안임플란트 천안사랑니 천안치과,,0.33134,0.218468,0.330201,,6.0,0.0,0.0,,0.019447,0.019726,0.008827
26,19533231,일곱난장이치과의원,4,97,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.217119,0.330082,,7.0,0.0,0.0,,0.019447,0.020225,0.008865
27,11730669,웰치과의원,6,113,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,웰치과 천안웰치과,,0.33134,0.215649,0.329989,,1.0,0.0,0.0,,0.019447,0.011526,0.008209
28,11548432,뉴욕치과의원,11,109,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,,,0.331294,0.214759,0.329904,,0.0,0.0,0.0,,0.019447,0.001639,0.007462
29,32806399,이바르게치과교정과치과의원,587,226,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,천안치아교정 천안교정치과 천안돌출입교정 천안덧니교정 천안인비절라인,,0.33134,0.210891,0.32963,,0.0,4.0,23.0,,0.019447,-0.010144,0.006574
30,1156050092,이로울치과의원,17,84,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,플라젠치과 당일신경치료 신방동치과 천안치과 일요일치과,,0.33134,0.208018,0.329413,Hot,13.0,0.0,3.0,,0.019447,0.026045,0.009305
