place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,36513631,디엠치과의원,1062,181,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,동대문구임플란트 동대문구치과 전농동치과 전농동임플란트 청량리역치과,,0.33134,0.443776,0.359281,,0.0,0.0,0.0,,0.019447,-0.006618,0.006839
2,36957158,에이블치과의원,1392,500,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,경희대치과 외대앞치과 동대문구치과 이문동치과 레진빌드업,,0.33134,0.417009,0.357261,,0.0,53.0,0.0,,0.019447,-0.016574,0.006088
3,1330073399,믿음가는치과의원,668,389,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치신경보존치료 임플란트염증재수술 수면무통마취치과 매복사랑니당일발치 장애인보험틀니치과,,0.33134,0.409663,0.356707,,2.0,70.0,3.0,,0.019447,0.026559,0.009343
4,1327477361,광덕안정치과의원 청량리점,1277,392,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 치아미백 청량리신경치료치과 청량리사랑니발치,,0.33134,0.396282,0.355697,,0.0,228.0,11.0,,0.019447,-0.000594,0.007294
5,13089076,플러스덴치과의원,593,913,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,당일매복사랑니발치 턱관절물리치료상담 전악디지털임플란트 플라즈마잇몸신경치료 스케일링,,0.331294,0.391101,0.355289,,0.0,33.0,3.0,,0.019447,0.002989,0.007565
6,1816423188,서울우수치과의원,1281,424,치과,건강의료>병원>병원의원>치과>치과-일반,4.91,,전농동치과 전농동사거리치과 전농동충치치료 전농동임플란트 영상치의학과전문의,,0.33134,0.390169,0.355235,,1.0,102.0,5.0,,0.019447,0.009608,0.008063
7,2034277738,이미인치과교정과의원 동대문,812,42,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,장안동치과 동대문치아교정치과 교정치과 소아교정 치아교정,,0.33134,0.38626,0.35494,,0.0,-1.0,14.0,,0.019447,0.003857,0.007629
8,31076563,튼튼플란트치과의원 청량리,643,433,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,청량리치과 답십리치과 전농동치과 임플란트 틀니,,0.33134,0.383277,0.354715,,0.0,0.0,4.0,,0.019447,0.011413,0.0082
9,1679908900,바른약속치과의원 장안점,585,642,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,장안동치과 장안동임플란트 수면임플란트 장안동야간치과 장한평역치과,,0.33134,0.377292,0.354264,,3.0,4.0,6.0,,0.019447,0.042796,0.010569
10,1503011511,연세스카이치과의원,648,526,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동대문구치과 청량리치과 전농동치과 임플란트 사랑니발치,,0.33134,0.371609,0.353835,,0.0,148.0,13.0,,0.019447,0.010533,0.008134
