place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,30831496,이좋은치과의원,2232,211,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,동래치과 동래임플란트 치아교정치과 사랑니발치 턱관절치과,,0.33134,0.431496,0.424446,,3.0,190.0,2.0,,0.019447,0.027548,0.009418
2,903340344,예바치과교정과의원,1152,1194,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,치아교정 교정치과 투명교정 인비절라인 예쁜미소바른이치과,,0.33134,0.429266,0.424278,,0.0,54.0,9.0,,0.019447,0.007472,0.007903
3,1502465057,진심을 담은 치과교정과 치과의원,1153,403,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동래치아교정 부산치아교정 부산인비절라인 동래치과 치과교정과전문의,,0.33134,0.418599,0.423473,,3.0,312.0,1.0,,0.019447,0.020111,0.008857
4,2082904520,미남미소치과의원,928,102,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 미남역치과 보철치료 미백,,0.33134,0.41369,0.423102,,0.0,163.0,20.0,,0.019447,-0.052698,0.003361
5,1290030027,바른치과의원,372,464,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동래치과 온천장치과 임플란트 치아교정 온천장역치과,,0.33134,0.400488,0.422106,,2.0,93.0,5.0,,0.019447,0.014553,0.008437
6,1976962467,사직에이스치과의원,785,215,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,구강외과 임플란트 사직동치과 동래구치과 사랑니,,0.33134,0.369263,0.419749,,0.0,38.0,1.0,,0.019447,-0.046412,0.003836
7,311654125,플란트치과의원,545,442,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,명륜동치과 부산임플란트 동래치과 동래임플란트 사랑니,,0.33134,0.360402,0.41908,,2.0,60.0,0.0,,0.019447,0.008274,0.007963
8,13250826,미주치과병원,468,405,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,부산일요일치과 주말치과 임플란트 치아교정 교정치과,,0.33134,0.359076,0.41898,,0.0,1.0,2.0,,0.019447,-0.003861,0.007047
9,1856213274,우리동래치과의원,381,325,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,풀아치전체임플란트 동래역디지털임플란트 부전교회매복사랑니 부산무삭제라미네이트 미남역오스템임플란트,,0.331294,0.349511,0.418241,,1.0,57.0,3.0,,0.019447,0.015069,0.008476
10,11861063,이보람치과교정과치과의원,555,223,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,치아교정 부산교정치과 동래교정치과 사직동교정치과 치과교정과전문의,,0.33134,0.338059,0.417394,,0.0,3.0,0.0,,0.019447,-0.061686,0.002683
