place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1278130668,연세바른치과의원 안양범계,3932,841,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,안양치과 안양치아교정치과 안양매복사랑니발치 안양틀니보철심미치료 안양고난이도임플란트,,0.33134,0.498919,0.351368,,0.0,369.0,2.0,,0.019447,-0.009492,0.006623
2,1100485151,서울단꿈치과의원 안양,4221,340,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 안양사랑니발치 수면치과 안양임플란트 안양라미네이트,,0.33134,0.483519,0.350205,,2.0,266.0,2.0,,0.019447,0.020463,0.008883
3,1804316377,서울베스트치과의원 안양,3205,311,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 안양수면임플란트 범계역심미치료라미네이트 범계사랑니발치치과 안양인비절라인투명교정,,0.33134,0.482623,0.350138,,0.0,393.0,4.0,,0.019447,-0.008651,0.006686
4,13277686,범계유디치과의원,2563,310,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,범계치과 충치치료 임플란트 턱관절 잇몸치료,,0.33134,0.476371,0.349666,,2.0,576.0,3.0,,0.019447,0.014518,0.008435
5,13127025,호산나치과의원 범계점,1977,230,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,범계치아교정 안양인비절라인 범계교정치과 범계교정 범계역치과,,0.33134,0.465883,0.348874,,0.0,275.0,1.0,,0.019447,0.003631,0.007613
6,1853823687,평촌이생각치과의원 안양,1977,1262,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양평촌치과 안양임플란트 안양사랑니발치 안양라미네이트 안양치아교정,,0.33134,0.460034,0.348433,,1.0,48.0,12.0,,0.019447,0.024045,0.009154
7,1281982965,늘공감치과의원 안양,2217,689,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 사랑니발치 충치치료 심미보철 안양임플란트,,0.33134,0.453116,0.347911,,5.0,3.0,6.0,,0.019447,0.031514,0.009717
8,31825180,서울스마트치과의원 안양인덕원,2686,444,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,안양치과 인덕원치과 인덕원역치과 광양동치과 인덕원교정치과,,0.33134,0.44479,0.347282,,1.0,49.0,4.0,,0.019447,0.010881,0.00816
9,1246504255,서울연세치과의원 안양,2682,598,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,안양치과 비산동치과 임플란트 치아교정 사랑니발치,,0.33134,0.438483,0.346806,,0.0,140.0,2.0,,0.019447,-0.032507,0.004885
10,1318902982,정성치과의원 안양,2822,884,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,안양치과 안양임플란트 안양치아교정 안양사랑니 안양턱관절,,0.33134,0.433361,0.34642,,0.0,128.0,5.0,,0.019447,0.006039,0.007795
11,1033935887,리드온치과의원 안양범계,3951,531,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 범계역치과 뼈이식임플란트 잇몸스케일링 심미보철치료,,0.33134,0.42605,0.345868,,0.0,-4.0,2.0,,0.019447,-0.008104,0.006727
12,1575361320,연세메인치과의원 안양,1290,939,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,안양치과 안양임플란트 안양치아교정 안양수면치과 평촌수면치과,,0.33134,0.410628,0.344704,,1.0,13.0,2.0,,0.019447,-0.005862,0.006896
13,1345956267,스마트하루치과의원,3021,417,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,범계역치과 안양치과 범계임플란트 안양임플란트 범계치과,,0.33134,0.399754,0.343883,,0.0,172.0,0.0,,0.019447,-0.026548,0.005335
14,21310977,호계동굿모닝치과의원 안양범계,2122,159,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,호계동치과 안양임플란트 범계심미보철 트리지아소아진료 동안구교정치료,,0.33134,0.394211,0.343465,,0.0,193.0,0.0,,0.019447,-0.013751,0.006301
15,1220371270,연세이굿치과의원,1117,158,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면임플란트 디지털임플란트 충치 사랑니 턱관절,,0.331294,0.379627,0.342347,,0.0,13.0,6.0,,0.019447,-0.005678,0.00691
16,1850858288,큐플란트치과의원,1024,83,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치신경치료 고난도임플란트틀니 라미네이트미백치료 턱관절물리치료 매복사랑니발치,,0.331294,0.371443,0.341729,,0.0,165.0,3.0,,0.019447,0.015389,0.0085
17,1005715209,연세메인치과의원 별관,851,95,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 안양임플란트 안양치아교정 안양교정치과 안양사랑니발치,,0.33134,0.363578,0.341153,,0.0,-2.0,0.0,,0.019447,0.012427,0.008276
18,20799078,우리더블유치과의원,1092,457,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,치과 임플란트 사랑니발치 충치치료 스케일링,,0.33134,0.344474,0.339711,,2.0,45.0,4.0,,0.019447,0.003766,0.007623
19,1030825659,연세아이야기치과교정과치과의원,266,286,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,교정치과 인비절라인 치아교정 성장기교정 학생교정,,0.33134,0.343741,0.339656,,0.0,0.0,0.0,,0.019447,-0.001271,0.007243
20,1076949609,올리브치과의원,193,804,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 소아치과 치아교정 충치치료 미니쉬,,0.33134,0.336452,0.339106,Hot,19.0,86.0,34.0,,0.019447,0.083741,0.013659
21,1709954447,턱편한사랑니치과의원,106,653,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니발치 턱관절치과 매복사랑니전문 함치성낭종 턱관절세정술,,0.33134,0.329822,0.338606,,0.0,0.0,1.0,,0.019447,-0.007819,0.006749
22,1119012048,굿초이스치과의원 평촌,834,525,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,안양치과 평촌역임플란트 관양동치과 범계치아미백 동안구충치치료,,0.33134,0.325434,0.338274,,3.0,-2.0,1.0,,0.019447,0.027453,0.00941
23,1395234028,평촌어린이치과의원,58,365,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평촌소아치과 안양소아치과 평촌어린이치과 안양어린이치과 어린이치과,,0.33134,0.320749,0.337921,,0.0,0.0,1.0,,0.019447,0.011696,0.008222
24,21372258,서울숙면치과의원 안양범계,2675,376,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,수면임플란트 범계역치과 안양치과 범계임플란트 안양임플란트,,0.33134,0.315445,0.33752,,0.0,91.0,0.0,,0.019447,-0.034598,0.004727
25,11854793,인덕원사과나무치과의원,555,354,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,인덕원치과 사과나무치과 인덕원역치과 안양치과 평촌치과,,0.33134,0.313253,0.337355,,1.0,4.0,-1.0,,0.019447,0.015452,0.008505
26,1633450654,박원식오케이치과의원,1,66,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치치료 임플란트 교정 보철 보존,,0.331294,0.30808,0.336947,Hot,117.0,0.0,0.0,,0.019447,0.173363,0.020422
27,1808011219,서울범계치과의원 안양,2654,758,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,안양치과 치아보험 안양임플란트 안양사랑니발치 범계역치과,,0.33134,0.299453,0.336314,,0.0,95.0,0.0,,0.019447,-0.004718,0.006983
28,13481845,가이드본치과의원,645,805,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,치아교정 임플란트 소아치과 어린이치과 치과,,0.33134,0.297061,0.336133,,0.0,4.0,1.0,,0.019447,-0.011192,0.006494
29,1621614213,개구장이치과의원,4,186,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,소아치과 어린이치과,,0.33134,0.287387,0.335403,,0.0,0.0,1.0,,0.019447,-0.001337,0.007238
30,13298518,서울바른치과교정과치과의원 안양,164,636,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,안양교정치과 범계교정치과 범계역치과 평촌역치과 인비절라인치과,,0.33134,0.28378,0.335131,,0.0,1.0,1.0,,0.019447,0.0132,0.008335
31,1504982623,믿음치과의원 인덕원,96,369,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,인덕원치과 인덕원임플란트 관양동치과 평촌임플란트 안양치과,,0.33134,0.281734,0.334976,,0.0,0.0,3.0,,0.019447,0.000254,0.007358
32,1952422619,트리플선치과 교정과치과의원,27,1086,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,평촌치아교정 치아교정치과 트리플선치과 안양치아교정 안양임플란트,,0.33134,0.280578,0.334889,,0.0,0.0,4.0,,0.019447,0.004922,0.00771
33,1636251373,안양어린이치과의원,28,368,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,안양_어린이치과 안양_소아치과 안양어린이치과 안양소아치과 장애인치과,,0.33134,0.273884,0.334384,,2.0,0.0,1.0,,0.019447,0.014458,0.00843
34,38502537,한울치과교정과치과의원,98,769,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,교정치과 치아교정 안양교정치과 범계교정치과 평촌교정치과,,0.33134,0.273812,0.334378,,0.0,1.0,6.0,,0.019447,0.0061,0.007799
35,13230937,키즈웰치과의원,18,325,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,소아치과,,0.33134,0.269181,0.334029,,9.0,0.0,1.0,,0.019447,0.032417,0.009785
36,19777732,안양연합치과의원,271,202,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,안양치과 안양임플란트 인덕원임플란트 평촌임플란트 평촌치과,,0.33134,0.263628,0.33361,,0.0,4.0,2.0,,0.019447,0.001251,0.007433
37,1851645314,원스탑치과의원,2287,392,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,치과 범계치과 평촌치과 임플란트 턱관절,,0.33134,0.25905,0.333264,,5.0,9.0,0.0,,0.019447,0.017895,0.008689
38,36930800,DS치과의원,322,315,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,범계치과 범계역치과 평촌치과 안양치과 범계임플란트,,0.33134,0.257002,0.33311,,0.0,0.0,0.0,,0.019447,-0.009797,0.0066
39,21844992,우리쥬니어치과의원 안양범계,79,462,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,범계청소년인비졀라인 장애인주치의 소아과잉치발치 영유아구강검진 어린이충치신경치료,,0.331294,0.255771,0.332999,,0.0,0.0,0.0,,0.019447,-0.005264,0.006941
40,20087709,서울황제치과의원 범계,635,382,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,범계치과 평촌치과 안양치과 범계역치과 범계임플란트,,0.33134,0.25449,0.33292,,0.0,4.0,2.0,,0.019447,-0.004697,0.006984
41,13132462,예미담치과의원,293,402,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,평촌역치과 평촌치과 평촌예미담치과 평촌디지털치과,,0.33134,0.253095,0.332815,,0.0,0.0,1.0,,0.019447,-0.000709,0.007285
42,32616794,신플란트치과의원 안양,784,445,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,사랑니 임플란트 턱관절 매복사랑니 사랑니발치,,0.331294,0.252683,0.332766,,0.0,1.0,0.0,,0.019447,-0.003642,0.007063
43,1415465256,나의미소치과의원 인덕원점,166,711,치과,건강의료>병원>병원의원>치과>치과-일반,4.95,,앞니심미보철크라운 충치신경보존잇몸치료 디지털뼈이식임플란트염증수술 무통마취치과 국가직장인구강검진,,0.33134,0.252445,0.332766,Hot,11.0,2.0,5.0,,0.019447,0.035169,0.009993
