place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1411615032,동탄센트럴치과병원,4790,565,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,교정치과 임플란트 라미네이트 치아교정 턱관절,,0.33134,0.490465,0.49108,,0.0,417.0,6.0,,0.019447,-0.005165,0.007748
2,1257711496,동탄하나로치과의원,2214,699,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동탄치과 동탄임플란트 동탄2치과 라미네이트 동탄역치과,,0.33134,0.47577,0.489971,,0.0,206.0,6.0,,0.019447,0.007032,0.008669
3,1763766608,이즈치과의원,4473,1383,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동탄치과 동탄교정치과 동탄임플란트 동탄야간진료치과 동탄스케일링,,0.33134,0.474118,0.489846,,0.0,123.0,3.0,,0.019447,0.008926,0.008812
4,1418132008,동탄키움치과의원,2249,386,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동탄사랑니발치 턱관절치과 임플란트 이갈이치료 충치치료,,0.33134,0.456382,0.488508,,4.0,162.0,7.0,,0.019447,0.031413,0.010509
5,1421291330,서울굿플란트치과의원,3179,319,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트 수면치과 수면임플란트 충치치료,,0.33134,0.452743,0.488233,,1.0,337.0,4.0,,0.019447,0.006589,0.008635
6,1073004496,플란치과의원 경기 동탄점,2945,746,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,임플란트 동탄치과 동탄임플란트 오산치과 향남치과,,0.33134,0.450332,0.488051,,0.0,393.0,5.0,,0.019447,0.00334,0.00839
7,36648489,동탄주치과의원,3124,638,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,동탄임플란트 동탄치과 동탄라미네이트 반송동치과 나루마을치과,,0.33134,0.439514,0.487235,,0.0,-4.0,-2.0,,0.019447,-0.002973,0.007914
8,1029040739,채움치과의원 동탄,2163,533,치과,건강의료>병원>병원의원>치과>치과-일반,4.86,,동탄치과 동탄임플란트 동탄역치과 동탄충치치료 동탄역임플란트,,0.33134,0.429213,0.486457,,1.0,270.0,0.0,,0.019447,0.027397,0.010206
9,1265709213,서울베스트치과의원 동탄점,2897,960,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,동탄치과 경기화성치과 오산동치과 임플란트 치아교정,,0.33134,0.427225,0.486307,,0.0,170.0,3.0,,0.019447,-0.027531,0.00606
10,1643328111,동탄리즈치과의원,1397,607,치과,건강의료>병원>병원의원>치과>치과-일반,4.97,,임플란트 동탄치과 화성치과 산척동치과 야간진료,,0.33134,0.42596,0.486212,,2.0,165.0,13.0,,0.019447,0.036716,0.010909
