place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1600627721,스마트365치과의원 마산석전점,863,302,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,마산치과 주말치과 임플란트 라미네이트 치아교정,,0.33134,0.394072,0.343455,,0,-,-,,-,-,-
2,1070204943,화이트이치과의원 마산,215,108,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 교정치과 마산역치과 화이트e치과마산,,0.33134,0.381929,0.342538,,0,-,-,,-,-,-
3,1788898893,스마일치과의원 창원마산,343,650,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,마산치과 마산임플란트 양덕동치과 마산회원구치과 양덕동임플란트,,0.33134,0.366818,0.341398,,0,-,-,,-,-,-
4,1316839142,다미소치과의원,465,300,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,마산치과 합성동치과 마산야간치과 마산임플란트 마산사랑니,,0.33134,0.327409,0.338423,,0,-,-,,-,-,-
5,13418369,라온치과병원,27,684,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,마산치과 마산임플란트 마산치과병원 창원마산치과 라온치과,,0.33134,0.307356,0.33691,,0,-,-,,-,-,-
6,35664459,미소365치과의원,11,355,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,창원치과 마산치과 마산중리치과 마산삼계치과 마산임플란트,,0.33134,0.29432,0.335926,,0,-,-,,-,-,-
7,19971907,미소아이치과의원,28,337,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,소아치과 영유아구강검진 어린이치과 예방교정 성인교정,,0.33134,0.280528,0.334885,,0,-,-,,-,-,-
8,13259659,황경룡치과,22,253,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,,,0.331294,0.263663,0.333595,,0,-,-,,-,-,-
9,13259688,홍호철치과의원,4,227,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,,,0.331294,0.26139,0.333424,,0,-,-,,-,-,-
10,21627404,서울본치과의원,110,592,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,마산치과 합성동치과 마산임플란트 네비게이션임플란트 투명교정,,0.33134,0.255677,0.33301,,0,-,-,,-,-,-
11,13259222,이사랑치과의원,3,313,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.243835,0.332099,,0,-,-,,-,-,-
12,19513959,플랜트치과의원,16,528,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,창원치과 합성동치과 임플란트 치아교정 교정치과,,0.33134,0.236453,0.331559,,0,-,-,,-,-,-
