place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1056923622,으뜸원치과의원 안양,3775,932,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,라미네이트 스케일링 임플란트 사랑니발치 치아미백,,0.331294,0.526133,0.353404,,0.0,584.0,12.0,,0.019447,0.034096,0.009912
2,1068363755,서울다올치과의원,3596,456,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 안양교정치과 안양수면임플란트 안양임플란트치과 안양수면치료,,0.33134,0.482347,0.350117,,0.0,665.0,8.0,,0.019447,0.031235,0.009696
3,1820042764,봄별소아치과의원,502,202,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양소아치과 안양치과 일요일진료 어린이교정 주말진료치과,,0.33134,0.356356,0.340608,,0.0,1.0,3.0,,0.019447,0.015885,0.008538
4,1359834784,안양탑치과의원,615,112,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 사랑니발치 무통마취 충치치료,,0.331294,0.347103,0.339892,,0.0,37.0,0.0,,0.019447,0.013858,0.008384
5,1289862096,연세365치과의원,810,118,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,무통스케일링 임플란트 치아미백 턱관절 보험치료,,0.331294,0.340543,0.339397,,0.0,24.0,0.0,,0.019447,0.011166,0.008181
6,347458005,닥터준 치과의원,3,171,치과,건강의료>병원>병원의원>치과>치과-일반,4.17,,메가트리아치과 메가트리아 안양임플란트 안양동치과 비산동치과,,0.33134,0.33958,0.339342,Hot,22.0,0.0,0.0,,0.019447,0.151885,0.018802
7,13232407,성혜치과의원,72,275,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.312623,0.33729,,0.0,-38.0,0.0,,0.019447,0.010203,0.008109
8,806883680,메가탑치과의원 안양,869,574,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,비산동치과 안양임플란트 안양교정 메가트리아치과 안양치과,,0.33134,0.304082,0.336663,,2.0,22.0,0.0,,0.019447,0.029522,0.009567
9,13232432,튼튼치과의원,75,208,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,임플란트 보철치료 충치치료 잇몸치료 소아치료,,0.331294,0.296997,0.336111,,0.0,-34.0,0.0,,0.019447,0.021714,0.008978
10,36415682,더나은치과의원 안양,568,765,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,안양치과 범계역치과 치아교정 사랑니발치 안양임플란트,,0.33134,0.292597,0.335796,,0.0,0.0,10.0,,0.019447,-0.013079,0.006352
11,1552288731,안양중앙치과의원,33,425,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,임플란트 사랑니발치 틀니 안양치과 구강외과,,0.33134,0.278246,0.334713,,0.0,0.0,4.0,,0.019447,-0.003966,0.007039
12,1643021284,안양맥치과의원,244,213,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,네비게이션임플란트 임플란트틀니 스케일링 충치치료 턱관절,,0.331294,0.256465,0.333052,,0.0,2.0,1.0,,0.019447,0.007338,0.007893
13,31699849,연세이바른치과의원,643,236,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,안양교정치과 치아교정 안양역치과 사랑니발치 충치치료,,0.33134,0.24439,0.332158,,0.0,2.0,0.0,,0.019447,0.002021,0.007491
14,11559516,뉴연세치과의원,8,177,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,치과,,0.33134,0.237726,0.331655,,4.0,0.0,0.0,,0.019447,0.021244,0.008942
15,37299566,올바른치과의원,16,316,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,임플란트 치아교정 턱관절교정 치아미백 야간진료,,0.331294,0.235725,0.331487,,0.0,0.0,0.0,,0.019447,0.007044,0.007871
16,11832549,미소샘치과의원,6,272,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.23526,0.331451,,0.0,0.0,1.0,,0.019447,0.008358,0.007969
17,1455169354,화이트치과의원,6,220,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.232606,0.331251,,4.0,0.0,2.0,,0.019447,0.025207,0.009241
18,13232053,헤브론 치과의원,93,187,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 명학역임플란트 범계사랑니 평촌턱관절 비산동충치치료,,0.33134,0.226595,0.330815,,0.0,0.0,0.0,,0.019447,0.00668,0.007843
19,13232067,새이치과의원,4,128,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.226565,0.330795,,0.0,0.0,0.0,,0.019447,0.008828,0.008005
20,13108413,허브치과의원,733,380,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 틀니 임플란트 충치치료 치아미백,,0.331294,0.226271,0.330773,,0.0,6.0,7.0,,0.019447,-0.010063,0.006579
21,12938803,서울수치과의원,6,275,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,서울수치과 안양임플란트 안양치과 안양치아교정 안양교정,,0.33134,0.206974,0.329334,,0.0,0.0,0.0,,0.019447,-0.00316,0.0071
22,1981838731,서초와이즈치과의원,28,35,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양일번가치과 미세현미경 임플란트 신경치료 안양치과,,0.33134,0.206958,0.329333,,3.0,1.0,0.0,,0.019447,0.014172,0.008409
23,1206380351,약속드림치과의원,119,319,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,안양치과 안양중앙시장치과 안양보험임플란트 안양동치과 만안동치과,,0.33134,0.206357,0.329287,,0.0,2.0,0.0,,0.019447,-0.009732,0.006604
24,11493734,연세아이랑엄마랑치과의원,11,164,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,어린이치과 치아교정 심미보철 안양소아치과 안양치아교정,,0.33134,0.196246,0.328524,,0.0,0.0,0.0,,0.019447,0.002771,0.007548
25,37822034,원치과의원,51,143,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,임플란트 충치치료 신경치료 잇몸치료 치아살리기,,0.331294,0.193775,0.328321,,8.0,0.0,0.0,,0.019447,0.018091,0.008705
26,37555884,연세보스톤치과의원,323,316,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 안양역치과 안양교정치과 안양치아교정 안양임플란트,,0.33134,0.192692,0.328256,,0.0,0.0,0.0,,0.019447,-0.00875,0.006678
27,35103063,명학하나치과의원 안양,203,91,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,안양치과 안양임플란트 안양역치과 명학역치과 평촌치과,,0.33134,0.188701,0.327955,,0.0,0.0,0.0,,0.019447,0.000279,0.00736
28,36477406,리본치과의원,6,67,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,안양치과 안양임플란트 안양치아교정 안양치아성형 안양교정,,0.33134,0.188531,0.327942,,0.0,0.0,0.0,,0.019447,-0.014477,0.006246
29,1099354889,서울와이즈치과의원,3,26,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 안양치과 임플란트보험 보철치료,,0.33134,0.187671,0.327877,,0.0,0.0,0.0,,0.019447,0.001325,0.007439
30,13232085,김태훈치과의원,1,108,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.186608,0.32778,Hot,23.0,0.0,0.0,,0.019447,0.030819,0.009665
31,1759548970,라포치과의원,50,217,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,석수동치과 안양동치과 관악역치과 안양치과 만안구치과,,0.33134,0.184839,0.327663,,0.0,1.0,2.0,,0.019447,-0.005823,0.006899
