place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1951401500,연세오늘치과의원 주안,2994,379,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 심미보철 사랑니발치 인천치과,,0.33134,0.486338,0.350418,,0.0,196.0,0.0,,0.019447,-0.000984,0.007264
2,1600612830,365서울앞선치과의원,2368,408,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,주안역치과 미추홀구치과 임플란트 주안치과 주안동치과,,0.33134,0.459419,0.348386,,0.0,255.0,0.0,,0.019447,0.008414,0.007973
3,1046043511,서울그랜드치과의원,2842,1026,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,주안치과 무삭제라미네이트 임플란트 턱관절 치아미백,,0.33134,0.40617,0.344368,,0.0,148.0,16.0,,0.019447,-0.003073,0.007107
4,1204671347,SNC시카고치과의원,429,662,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천미추홀구치과 인천임플란트 인천교정치과 인천치아교정 인천어린이치아교정,,0.33134,0.387647,0.34297,,3.0,230.0,3.0,,0.019447,0.038736,0.010263
5,37610943,서울리더스치과의원,956,241,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,치과 임플란트 잇몸치료 주안동치과 충치치료,,0.33134,0.380705,0.342446,,0.0,87.0,0.0,,0.019447,0.00908,0.008024
6,1434510156,서울바른휘치과의원,1371,669,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,주안동임플란트치과의원 주안치아교정치과의원 주안보철보존치료 미추홀구잇몸치료치과 미추홀구구강검진치과,,0.33134,0.36957,0.341605,,2.0,260.0,10.0,,0.019447,0.025053,0.009229
7,1274636395,마음플란트치과의원,1878,420,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 사랑니발치 교정치과 주안치과,,0.33134,0.368169,0.3415,,0.0,210.0,0.0,,0.019447,-0.040223,0.004303
8,19878166,연세플란트치과의원 주안,1169,347,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,주안임플란트 인천임플란트 연세플란트치과 주안역치과 주안치아교정,,0.33134,0.367263,0.341431,,0.0,16.0,0.0,,0.019447,0.008003,0.007942
9,1851926616,감동e플란트치과의원,118,318,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,주안역치과 주안치과 주안동치과 임플란트 사랑니,,0.33134,0.313369,0.337364,,0.0,0.0,6.0,,0.019447,-0.012697,0.006381
10,1949863087,일미리치과의원,429,513,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,숭의동치과 제물포치과 임플란트 교정치과 치아교정,,0.33134,0.307732,0.336938,,8.0,53.0,7.0,,0.019447,0.049988,0.011111
11,11663000,디지털허브치과의원,558,674,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,디지털임플란트 디지털투명교정 매복사랑니 치아교정 자가치아뼈이식,,0.331294,0.294904,0.335953,,0.0,0.0,2.0,,0.019447,0.010641,0.008142
12,1165255247,유어플란트치과의원,547,393,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용현동치과 인하대역치과 미추홀구치과 용현동야간진료치과 디지털임플란트,,0.33134,0.292695,0.335804,,0.0,0.0,1.0,,0.019447,-0.006451,0.006852
13,13241124,학익굿모닝치과의원,40,60,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,,,0.331294,0.284666,0.33518,,0.0,-17.0,0.0,,0.019447,0.007459,0.007901
14,1312637991,연세꿈꾸는아이치과의원 인천용현점,29,262,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천소아치과 인천어린이치과 미추홀구소아치과 영유아검진 소아교정,,0.33134,0.28011,0.334854,,0.0,1.0,2.0,,0.019447,0.009566,0.008061
