place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,20251740,하이치과의원,3,79,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.20132,0.32889,,0,-,-,,-,-,-
2,1774366651,정석치과의원,1,110,치과,건강의료>병원>병원의원>치과>치과-일반,4.16,,치의학박사 치주과전문의 서울대학교치의학대학원 임플란트연수과정이수,,0.331294,0.18871,0.327938,,0,-,-,,-,-,-
3,34829830,탑치과의원,0,112,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,임플란트 매복사랑니 부안 구강악안면외과학교실박사 치주과전문의,,0.331294,0.187153,0.327821,,0,-,-,,-,-,-
4,1740185578,마실치과의원,104,14,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 신경치료 충치치료 부안임플란트 부안치과,,0.33134,0.174664,0.326895,,0,-,-,,-,-,-
5,13267118,부안치과의원,1,42,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.169538,0.326491,,0,-,-,,-,-,-
6,1816023838,제일치과의원,0,79,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,,,0.331294,0.16859,0.32642,,0,-,-,,-,-,-
7,13267192,이흥태치과의원,1,36,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,,,0.331294,0.149939,0.325012,,0,-,-,,-,-,-
8,13267203,신영근치과의원,1,39,치과,건강의료>병원>병원의원>치과>치과-일반,3.9,,,,0.331294,0.131374,0.323611,,0,-,-,,-,-,-
9,13267116,아름다운치과의원,2,39,치과,건강의료>병원>병원의원>치과>치과-일반,4.02,,,,0.331294,0.127701,0.323334,,0,-,-,,-,-,-
10,31117204,격포치과의원,0,15,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.122505,0.322942,,0,-,-,,-,-,-
11,13267193,미소치과의원,1,14,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,,,0.331294,0.117753,0.322583,,0,-,-,,-,-,-
12,237797587,줄포S치과의원,1,13,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.103469,0.321505,,0,-,-,,-,-,-
13,13267194,서융치과의원,1,10,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.073506,0.319244,,0,-,-,,-,-,-
14,1827847641,이플란트치과의원,0,11,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.073168,0.319218,,0,-,-,,-,-,-
15,13267117,이종권치과의원,1,2,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.05345,0.31773,,0,-,-,,-,-,-
16,13267204,수민치과의원,1,0,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.037909,0.316557,,0,-,-,,-,-,-
17,13267188,부안군보건소,14,100,보건소,건강의료>병원>보건소>보건소-일반,4.19,,보건소 예방접종 병의원허가 식품위생영업,,0.0,0.216207,0.204997,,0,-,-,,-,-,-
18,1746295173,정읍종로치과의원,50,48,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,정읍치과 정읍임플란트 정읍틀니 정읍임플란트치과 정읍무통마취주사치과,,0.33134,0.329692,0.149916,,0,-,-,,-,-,-
19,1158652688,서울보다치과의원,15,687,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,정읍치과 정읍임플란트 정읍교정치과 서울보다치과 정읍치아교정,,0.33134,0.284852,0.146532,,0,-,-,,-,-,-
20,36663053,미플란트치과의원,1,160,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니 임플란트 심미레진 스케일링,,0.331294,0.21365,0.141141,,0,-,-,,-,-,-
21,34907307,더심플란트치과의원,86,151,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,정읍치과 정읍임플란트 정읍교정치과 고창치과 부안치과,,0.33134,0.20144,0.140237,,0,-,-,,-,-,-
22,13266753,정읍치과의원,2,40,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.173619,0.13812,,0,-,-,,-,-,-
23,13266661,세종치과의원,2,78,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,,,0.331294,0.159757,0.137074,,0,-,-,,-,-,-
24,13266785,송하치과의원,1,86,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.147731,0.136166,,0,-,-,,-,-,-
25,20425134,미소진치과의원,0,55,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,,,0.331294,0.130637,0.134876,,0,-,-,,-,-,-
26,13266783,송창용치과의원,1,32,치과,건강의료>병원>병원의원>치과>치과-일반,4.21,,,,0.331294,0.116542,0.133812,,0,-,-,,-,-,-
27,13266675,최치과의원,1,5,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.115707,0.133749,,0,-,-,,-,-,-
28,13266684,유종만치과의원,1,20,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.107558,0.133134,,0,-,-,,-,-,-
