place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1221660137,오늘의치과의원,2969,670,치과,건강의료>병원>병원의원>치과>치과-일반,4.98,,부천임플란트치과 부천수면마취치과 라미네이트 부천치아교정치과 부천교정전문의,,0.33134,0.513303,0.457762,,0.0,396.0,11.0,,0.019447,0.020248,0.010077
2,1362516303,연세하이브치과의원 부천,2980,531,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,부천치과 부천심곡동치과 부천원미구치과 부천역치과 부천임플란트,,0.33134,0.464119,0.45405,,1.0,104.0,1.0,,0.019447,-0.010275,0.007773
3,1802504631,메가플란트치과의원,4299,770,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 부천역치과 수면의식하진정요법치아교정 라미네이트심미보철야간진료 네비게이션디지털임플란트치료,,0.33134,0.4635,0.454004,Hot,10.0,390.0,8.0,,0.019447,0.045521,0.011985
4,19524204,서울리더스치과의원,2970,1140,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,임플란트 치아교정 턱관절 치과보존과 신중동치과,,0.33134,0.459895,0.453732,,0.0,7.0,0.0,,0.019447,-0.020456,0.007006
5,1440766467,더센트럴치과의원,1582,65,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신중동치아교정 상동사랑니발치 부천시청임플란트 부천중동치과 민생회복소비쿠폰사용처,,0.33134,0.458576,0.453632,,3.0,173.0,0.0,,0.019447,0.023666,0.010335
6,1717054002,서울숙면치과의원 부천,2865,181,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 수면임플란트 임플란트 신경치료 수면치과,,0.33134,0.444147,0.452543,,0.0,330.0,0.0,,0.019447,-0.001078,0.008468
7,33787028,365봄치과의원,3160,836,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 춘의역임플란트 부천역충치치료 부천치아교정 사랑니발치,,0.33134,0.440727,0.452285,,0.0,164.0,6.0,,0.019447,-0.016486,0.007305
8,1022270310,연세365치과의원 부천상동,1481,892,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,상동치과 부천치과 부천교정치과 부천임플란트 부천치아교정,,0.33134,0.439594,0.452199,Hot,20.0,245.0,5.0,,0.019447,0.071102,0.013915
9,1113119661,상상플란트치과의원,1548,83,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,역곡치과 부천임플란트치과 틀니보철심미치료 원미구사랑니발치 턱관절치료치과,,0.33134,0.434674,0.451828,,0.0,134.0,3.0,,0.019447,-0.000279,0.008528
10,482436895,부천청담네오플란트치과의원,2517,590,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,부천임플란트 부천교정치과 사랑니발치 부천중동치과 치아교정,,0.33134,0.430978,0.451549,,0.0,462.0,3.0,,0.019447,-0.00684,0.008033
11,41921887,상동21세기치과의원,1636,1333,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,구강외과 산재보험 턱관절 기공실 틀니수리,,0.331294,0.430236,0.451476,,0.0,53.0,0.0,,0.019447,-0.002535,0.008358
12,1656398876,연세바로치과교정과치과의원 부천점,1772,360,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치아교정 상동교정치과 중동교정치과 상동치아교정 부천교정치과,,0.33134,0.42917,0.451413,Hot,18.0,268.0,9.0,,0.019447,0.067804,0.013667
