place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,35497766,라이브치과병원 인천부평,4765,2615,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,인천치과 인천인비절라인치아교정 뼈이식임플란트 매복사랑니발치 라미네이트보철치료,,0.33134,0.503693,0.470894,,2.0,302.0,11.0,,0.019447,0.008151,0.008522
2,1225351456,연세디앤유치과의원,2580,1216,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부평치과 부평임플란트 무삭제라미네이트 부평교정치과 인천치과,,0.33134,0.503055,0.470846,,0.0,104.0,10.0,,0.019447,-0.003151,0.007669
3,1835870980,투명플러스치과의원 인천부평,5869,2343,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,부평치과 인천임플란트치과 부평치아교정치과 부평라미네이트 부평역스케일링,,0.33134,0.488923,0.469779,,0.0,373.0,6.0,,0.019447,-0.01304,0.006922
4,1970483636,연세세브란스치과의원,1918,638,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,수면치과치료 사랑니발치 컴퓨터분석임플란트 치아교정치과 보존과전문의,,0.33134,0.484188,0.469422,,0.0,168.0,13.0,,0.019447,-0.002072,0.00775
5,1498152618,365베스트치과의원 부평청천본점,2715,1346,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부평치과 부평임플란트 청천동치과 산곡치과 일요일진료치과,,0.33134,0.47488,0.468719,,3.0,77.0,19.0,,0.019447,0.01632,0.009138
6,1146699780,365서울채움치과의원 부평,2587,871,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부평치과 임플란트 라미네이트 소아치과 야간치과,,0.33134,0.468835,0.468263,,0.0,278.0,-179.0,,0.019447,0.005913,0.008353
7,31059089,디지털해피스치과의원 인천부평,3161,2062,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,부평치과 인천라미네이트 부평수면마취임플란트 부평역전문의임플란트 인천디지털치과,,0.33134,0.462799,0.467807,,0.0,804.0,51.0,,0.019447,0.003941,0.008203
8,1690154148,부평더맑은치과의원,2637,648,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천부평치과 공휴일야간진료치과 부평충치신경치료 부평무삭제라미네이트 인천임플란트치과,,0.33134,0.449142,0.466777,,4.0,320.0,46.0,,0.019447,0.026976,0.009943
9,1393194552,플란치과병원 인천 부평점,2882,2595,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 인천치과 부평치과 인천임플란트 부평임플란트,,0.33134,0.445315,0.466488,,0.0,385.0,12.0,,0.019447,0.006965,0.008432
10,1102074818,동암플란트치과의원,591,409,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일치과 동암역치과 십정동치과 임플란트 공휴일치과,,0.33134,0.417419,0.464382,,7.0,94.0,8.0,,0.019447,0.028279,0.01004
