place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1221729494,연세위드치과의원,4680,797,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성남치과 성남인비절라인치아교정 성남전체뼈이식임플란트 성남당일매복사랑니발치 분당라미네이트보철치료,,0.33134,0.480592,0.407343,,0.0,309.0,3.0,,0.019447,0.008797,0.004984
2,1921628090,서울퍼펙트치과의원,1172,494,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치신경보존잇몸치료 수면무통마취치과 턱관절통증장애치료 디지털임플란트염증재수술 당일매복사랑니발치,,0.33134,0.469639,0.406516,,2.0,110.0,4.0,,0.019447,0.006007,0.004773
3,1726132301,연세청춘치과의원,4291,442,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,임플란트 사랑니발치 보철치료 심미치료 교정치과,,0.33134,0.468562,0.406435,,0.0,-10.0,11.0,,0.019447,-4.3e-05,0.004317
4,1223257482,밸런스치과병원,3545,1669,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,판교치과 분당치과 판교치아교정 분당임플란트 성남치과,,0.33134,0.463483,0.406052,,0.0,97.0,5.0,,0.019447,-0.001429,0.004212
5,1239704128,플란트서울치과의원 미금,3904,1236,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,임플란트 충치치료 분당치과 보철치료 라미네이트,,0.33134,0.456995,0.405562,,5.0,273.0,11.0,,0.019447,0.03715,0.007124
6,37813765,찬스플란트치과의원,1612,353,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,매복사랑니당일발치 임플란트재수술상담 충치신경잇몸치료 어르신보험틀니 구강검진치과,,0.33134,0.445211,0.404673,,0.0,55.0,1.0,,0.019447,0.00278,0.00453
7,1562402492,서울리더스치과의원 미금,3778,1513,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미금치과 미금역치아교정치과 분당수면임플란트 분당매복사랑니발치 틀니보철심미치료,,0.33134,0.436628,0.404025,,1.0,63.0,14.0,,0.019447,0.004284,0.004643
8,31498464,리볼리치과의원,2252,421,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,분당임플란트 분당교정치과 분당소아치과 분당사랑니 성남치과,,0.33134,0.436382,0.404006,,0.0,21.0,4.0,,0.019447,0.003651,0.004595
9,1708029328,미금세브란스치과의원,2667,854,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미금치과 마취치과 분당치과 미금역치과 미금임플란트,,0.33134,0.435505,0.40394,,0.0,291.0,13.0,,0.019447,0.012391,0.005255
10,1310739136,제이디치과의원,4743,442,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,미금역치과 분당임플란트 분당인비절라인 미금교정치과 미금치아교정,,0.33134,0.428104,0.403382,,2.0,463.0,3.0,,0.019447,0.016406,0.005559
