place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1198840790,백년미소치과의원,67,67,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 스케일링 사랑니발치 잇몸치료 신경치료,,0.331294,0.316239,0.391903,,0.0,0.0,0.0,,0.019447,-0.002121,0.007179
2,1310204156,사상연세비앤이치과병원 부산사상점,250,124,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사상치과 부산턱관절병원 사상임플란트 부산이갈이 부산턱보톡스,,0.33134,0.307412,0.391254,,0.0,9.0,-4.0,,0.019447,-0.00702,0.006809
3,1837180175,마린플란트치과의원,145,1717,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일치과 임플란트치과 사랑니치과 주말치과 부산치과,,0.33134,0.291144,0.390026,,0.0,7.0,17.0,,0.019447,-0.00963,0.006612
4,13070455,엘리트치과병원,96,753,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,부산 치과 임플란트 교정 턱관절,,0.33134,0.24964,0.386894,,0.0,0.0,-2.0,,0.019447,-0.006744,0.00683
5,1832774134,주례정치과의원,68,177,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보철 구강검진 틀니 충치,,0.331294,0.240321,0.386173,,5.0,0.0,0.0,,0.019447,0.027046,0.00938
6,1704740967,우리탑치과의원,893,582,치과,건강의료>병원>병원의원>치과>치과-일반,4.95,,주례치과 사상치과 치과 사상임플란트 치주과,,0.33134,0.238853,0.38608,,1.0,9.0,24.0,,0.019447,0.009375,0.008047
7,13249773,행복나눔치과의원,30,300,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,엄궁치과 사상구치과 임플란트 충치치료 어린이치과,,0.33134,0.238146,0.386026,,0.0,0.0,0.0,,0.019447,0.005261,0.007736
8,11559411,세인트치과의원,19,1646,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니 치조골이식 구강외과 상악동거상,,0.331294,0.231523,0.385509,,0.0,0.0,12.0,,0.019447,-0.003615,0.007066
9,13249696,사상맥치과의원,277,220,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,사상치과 사상구치과 덕포동치과 덕포치과 사상역치과,,0.33134,0.228957,0.385333,,0.0,1.0,0.0,,0.019447,6.1e-05,0.007344
10,1528160294,채움치과의원,598,1566,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,사상치과 사상구치과 사상역치과 부산임플란트 주례치과,,0.33134,0.226357,0.385136,,0.0,1.0,0.0,,0.019447,0.008989,0.008017
11,13249744,굿모닝유치과의원,64,190,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 뼈이식 신경치료 치주치료 턱관절치료,,0.331294,0.220714,0.384693,,0.0,1.0,0.0,,0.019447,0.018874,0.008763
12,1997400618,고운이치과의원,6,410,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,소아진료 임플란트 라미네이트 충치,,0.331294,0.21903,0.384566,,1.0,0.0,0.0,,0.019447,0.024881,0.009216
13,34249727,그린치과의원,1,102,치과,건강의료>병원>병원의원>치과>치과-일반,4.17,,,,0.331294,0.211136,0.38397,,4.0,0.0,0.0,,0.019447,0.02311,0.009082
14,13249712,열린치과의원,5,143,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,,,0.331294,0.196592,0.382873,,0.0,0.0,0.0,,0.019447,-0.00242,0.007156
15,19533012,부산센텀치과의원,2,44,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산센텀병원 임플란트 사랑니 치과 틀니,,0.33134,0.187935,0.382237,Hot,20.0,1.0,2.0,,0.019447,0.034347,0.009931
16,19533030,강치과의원,2,151,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,,,0.331294,0.186087,0.38208,,9.0,0.0,0.0,,0.019447,0.01791,0.00869
17,13249794,사상아름다운치과의원,40,187,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 디지털임플란트 민생회복소비쿠폰 온누리상품권 보험임플란트,,0.331294,0.186029,0.382076,,0.0,0.0,0.0,,0.019447,-0.002082,0.007182
18,61557034,맑은미소치과의원,15,88,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.185683,0.382049,,4.0,0.0,0.0,,0.019447,0.011611,0.008215
19,20312174,패밀리치과의원,2,115,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,,,0.331294,0.184881,0.381989,Hot,17.0,0.0,0.0,,0.019447,0.032248,0.009773
20,11845409,이앤이치과의원,1,208,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,사상치과 사상구치과 사상역치과 괘법동치과,,0.33134,0.18456,0.381982,,0.0,0.0,0.0,,0.019447,-0.003553,0.007071
21,16813923,곽치과의원,1,84,치과,건강의료>병원>병원의원>치과>치과-일반,3.95,,,,0.331294,0.18474,0.381978,,8.0,0.0,0.0,,0.019447,0.024807,0.009211
22,13479048,엄궁치과의원,2,68,치과,건강의료>병원>병원의원>치과>치과-일반,4.0,,임플란트 충치치료 앞니 치과,,0.33134,0.184499,0.381977,,0.0,0.0,1.0,,0.019447,-0.000296,0.007316
23,13249721,서현치과의원,5,286,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,사상구치과 주례동치과 주례동임플란트 주례동충치치료 주례동사랑니,,0.33134,0.183436,0.381897,,0.0,0.0,2.0,,0.019447,-0.007265,0.00679
24,13249839,안은영치과의원,5,165,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.182338,0.381797,,0.0,0.0,0.0,,0.019447,-0.001582,0.007219
25,2068887418,디지털에스치과의원,16,96,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,학장동치과 학장동임플란트 사상구치과 사상구임플란트 엄궁치과,,0.33134,0.177814,0.381473,,0.0,0.0,18.0,,0.019447,-0.002016,0.007187
26,11886077,예인부부치과의원,7,107,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.173484,0.381129,,4.0,0.0,0.0,,0.019447,0.016229,0.008564
27,19517255,김창영치과의원,1,84,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.17165,0.38099,Hot,11.0,0.0,0.0,,0.019447,0.022785,0.009058
