place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,13249565,다대치과의원,247,334,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,다대포치과 다대동치과 임플란트 틀니 사하구치과,,0.33134,0.392072,0.373492,,0.0,34.0,1.0,,0.019447,0.0015,0.007452
2,1276680796,365효플란트치과의원,1500,514,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치치료 하단치과 부산임플란트 사하구치과 하단역치과,,0.33134,0.386268,0.373054,,1.0,77.0,7.0,,0.019447,0.008778,0.008001
3,36410823,the화이트e치과의원,354,357,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,더화이트이치과 하단치과 사하구치과 사하구임플란트 사하구교정,,0.33134,0.381259,0.372676,,0.0,11.0,2.0,,0.019447,-0.002942,0.007116
4,11884711,굿윌치과병원,685,2123,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,하단치과 부산임플란트 치아교정 사랑니 사하구치과,,0.33134,0.363457,0.371333,,0.0,34.0,20.0,,0.019447,0.003362,0.007593
5,32452442,이좋은치과의원,595,970,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,하단치과 하단임플란트 사하구치과 하단사랑니 부산수면마취,,0.33134,0.359808,0.371057,,0.0,56.0,10.0,,0.019447,0.005768,0.007774
6,1401349625,닥터박치과의원,285,343,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,괴정사랑니발치 괴정임플란트 사하구치과 괴정현미경신경치료 괴정치과,,0.33134,0.345092,0.369947,,0.0,45.0,0.0,,0.019447,0.010114,0.008102
7,13175857,개구쟁이치과의원,39,663,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,어린이치과 소아치과 충치치료 불소 소아교정,,0.33134,0.32967,0.368783,,0.0,0.0,-1.0,,0.019447,0.00768,0.007919
8,13499211,하단어린이치과의원,30,177,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,어린이치과 사하구,,0.33134,0.299222,0.366485,,2.0,0.0,0.0,,0.019447,0.022272,0.00902
9,1247130729,드림치주과치과의원,2160,312,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,하단치과 부산사랑니발치 부산임플란트 부산잇몸치료 부산매복사랑니,,0.33134,0.271068,0.36436,,0.0,37.0,7.0,,0.019447,-0.012336,0.006408
10,1162457617,소중한이치과의원,59,186,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 턱관절 소아교정 하단치과,,0.33134,0.267938,0.364124,,0.0,3.0,0.0,,0.019447,-0.01833,0.005956
11,13249361,반도치과의원,2,365,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.266747,0.364017,,4.0,0.0,0.0,,0.019447,0.024107,0.009159
12,13249293,한겨레치과의원,6,170,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.264213,0.363825,,0.0,0.0,1.0,,0.019447,0.00255,0.007531
13,1202346424,장림치과의원,114,492,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,장림치과 사하구치과 다대포치과 장림틀니 장림임플란트,,0.33134,0.255607,0.363193,,7.0,4.0,0.0,,0.019447,0.021393,0.008953
14,1360751598,세브란스치과의원,1,217,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.249621,0.362724,,0.0,0.0,0.0,,0.019447,0.005744,0.007772
15,13249617,탑치과의원,5,120,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,다대동치과 보철치료 임플란트 야간진료,,0.33134,0.24378,0.3623,,3.0,0.0,0.0,,0.019447,0.006544,0.007832
16,1858484175,괴정수석치과의원,17,409,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,턱관절질환 네비게이션임플란트 사랑니발치 임플란트 레진,,0.331294,0.241557,0.362115,,0.0,0.0,1.0,,0.019447,-0.001013,0.007262
17,13249360,미소를만드는치과교정과치과의원,6,229,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,부산치아교정 부산교정치과 사하구치아교정 명지치아교정 하단치아교정,,0.33134,0.237671,0.361839,,0.0,0.0,0.0,,0.019447,-0.012932,0.006362
18,1675947670,괴정아트치과의원,199,349,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,사하구임플란트 사하구사랑니 부산괴정동치아교정 괴정역치과 부산괴정동치과,,0.33134,0.236822,0.361775,,4.0,1.0,1.0,,0.019447,0.005378,0.007744
19,34287689,캘리포니아치과의원,27,263,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,임플란트 소아교정 치아미백 라미네이트 다대포치과,,0.33134,0.234531,0.361602,,0.0,0.0,0.0,,0.019447,-0.016506,0.006093
20,13249644,구철인부부치과의원,6,222,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,사하구치과 괴정치과 임플란트 보험임플란트 어르신틀니,,0.33134,0.233547,0.361528,,8.0,0.0,1.0,,0.019447,0.02676,0.009358
