place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,38770636,스타치과 교정과 치과의원,8,146,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,서귀포치과 서귀포치아교정 서귀포시치과 제주교정치과 서귀포스타치과,,0.33134,0.270062,0.433718,,0.0,0.0,0.0,,0.019447,-0.000317,0.007315
2,1578033211,온유치과의원,25,104,치과,건강의료>병원>병원의원>치과>치과-일반,4.86,,서귀포치과 서귀포임플란트 서귀포보철치료 서귀포사랑니발치 신서귀포치과,,0.33134,0.265733,0.433391,,0.0,6.0,0.0,,0.019447,-0.0006,0.007293
3,38336694,리더스치과의원,2,153,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,,,0.331294,0.265175,0.433332,,0.0,0.0,0.0,,0.019447,0.00022,0.007355
4,1982553022,바른손치과의원,5,103,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서귀포시치과 서귀포치과 서귀포야간진료치과 서귀포임플란트 서귀포치아교정,,0.33134,0.249536,0.432169,,0.0,0.0,0.0,,0.019447,0.001103,0.007422
5,1029177945,새별치과의원,200,161,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,새별치과 서귀포치과 서귀포치아교정 서귀포임플란트 서귀포시치과,,0.33134,0.241954,0.431597,,0.0,1.0,4.0,,0.019447,0.004292,0.007663
6,19534818,미소를찾는치과의원,2,34,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서귀포임플란트 전문의치과 서귀포소아치과 서귀포어린이치과 서귀포치과,,0.33134,0.236953,0.431219,,1.0,0.0,1.0,,0.019447,0.005691,0.007768
7,1186628198,그랜드치과의원,65,128,치과,건강의료>병원>병원의원>치과>치과-일반,4.05,,서귀포치과 서귀포임플란트 서귀포그랜드치과 서귀포보철치료 서귀포사랑니발치,,0.33134,0.236688,0.431199,,0.0,1.0,0.0,,0.019447,0.004426,0.007673
8,1720671956,이편한치과의원,6,64,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.229058,0.430606,,0.0,0.0,0.0,,0.019447,0.007188,0.007881
9,31923682,고운부부치과의원,3,26,치과,건강의료>병원>병원의원>치과>치과-일반,4.88,,,,0.331294,0.222119,0.430082,,0.0,0.0,0.0,,0.019447,0.008178,0.007956
10,1101715422,제주좋은치과의원,4,90,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,치과 서귀포치과 동홍동치과 치과의원 제주,,0.33134,0.221561,0.430057,,0.0,0.0,-2.0,,0.019447,0.008768,0.008
11,1618429707,오승혁치과의원,3,241,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,서귀포치과 임플란트 사랑니발치 구강검진,,0.33134,0.203442,0.42869,,0.0,0.0,0.0,,0.019447,-0.005786,0.006902
12,19519342,한용환치과의원,1,64,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,,,0.331294,0.201905,0.428557,Hot,12.0,0.0,0.0,,0.019447,0.034847,0.009969
13,1602978686,제라진치과의원,365,129,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,한림읍치과 한경면치과 모슬포치과 서귀포치과 영어교육도시치과,,0.33134,0.199139,0.428365,,5.0,0.0,1.0,,0.019447,0.012414,0.008275
14,20150181,포도나무치과의원,1,76,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,임플란트 투명교정 통합치의학 잇몸치료 3D보철,,0.331294,0.198091,0.428269,,0.0,0.0,1.0,,0.019447,0.003161,0.007577
15,1608199840,유디서귀포치과의원,1,84,치과,건강의료>병원>병원의원>치과>유디치과,4.13,,임플란트 충치치료 서귀포치과 제주서귀포시치과 서귀포유디치과,,0.33134,0.195496,0.42809,,0.0,0.0,0.0,,0.019447,0.000468,0.007374
16,35013810,다나치과의원,2,114,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,사랑니 임플란트 턱관절 투명교정 원데이충치,,0.331294,0.193085,0.427891,,1.0,0.0,0.0,,0.019447,0.004398,0.007671
17,901908466,서울리더스치과의원,2,19,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.192535,0.42785,,0.0,0.0,0.0,,0.019447,0.003414,0.007597
18,12796942,서울치과의원,3,22,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,,,0.331294,0.185016,0.427282,Hot,13.0,0.0,0.0,,0.019447,0.028808,0.009513
19,1661645004,서울미치과,3,23,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.183407,0.427161,,0.0,0.0,0.0,,0.019447,-0.005917,0.006892
20,19519355,노벨치과의원,2,45,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.18055,0.426945,,0.0,0.0,0.0,,0.019447,-0.009525,0.00662
21,35352265,선치과의원,1,116,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,임플란트 보철치료 보존치료 스케일링 서귀포치과,,0.33134,0.179966,0.426918,,0.0,0.0,0.0,,0.019447,-0.005898,0.006893
22,35317366,형제치과의원 서귀포,0,82,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,임플란트 스케일링 사랑니 치아미백 서귀포치과,,0.33134,0.170041,0.426169,,4.0,0.0,1.0,,0.019447,0.006072,0.007797
