place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1476454989,서울재생치과의원 신촌본원,2514,747,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미세현미경재신경치료 홍대입구역투명교정 서울외국인치과 스트라우만보험임플란트 마포충치신경치료,,0.33134,0.437917,0.346764,,0.0,91.0,13.0,,0.019447,-0.046272,0.003847
2,11563190,잎사귀치과병원,211,3001,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,사랑니발치 사랑니 치과병원,,0.33134,0.417988,0.34526,,3.0,4.0,9.0,,0.019447,0.009017,0.00802
3,13105776,e-스타치과의원,1185,1297,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,신촌사랑니 신촌임플란트 신촌치아미백 신촌치과 신촌역치과,,0.33134,0.41406,0.344963,,1.0,88.0,26.0,,0.019447,0.00118,0.007428
4,1612091119,메가플란트치과의원 서대문,2491,549,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서대문치과 홍제동치과 서대문임플란트 홍제역치과 서대문사랑니,,0.33134,0.409936,0.344652,,0.0,159.0,9.0,,0.019447,-0.071673,0.00193
5,13375532,이하루치과의원 신촌,2411,683,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,신촌치과 신촌역치과 신촌임플란트 신촌치아교정 신촌충치치료,,0.33134,0.392656,0.343348,,0.0,181.0,2.0,,0.019447,-0.032998,0.004849
6,1894088355,리얼라인치과의원,5747,928,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,서울신촌치과 신촌사랑니치과 신촌임플란트 신촌치아교정 신촌충치치료,,0.33134,0.387708,0.342974,,0.0,272.0,3.0,,0.019447,-0.014134,0.006272
7,1482323763,서울예봄치과의원,699,835,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,서대문구임플란트 신촌치과 이대치과 신촌충치치료 신촌임플란트,,0.33134,0.357566,0.340699,,2.0,10.0,13.0,,0.019447,0.007001,0.007867
8,20331527,스카이플란트치과의원,649,361,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,홍제동치과 홍제동임플란트 홍제동충치치료 홍제동야간진료치과 홍제역치과,,0.33134,0.351754,0.340261,,0.0,9.0,2.0,,0.019447,-0.003114,0.007104
9,32825085,홍제탑치과의원,1006,573,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,홍제동치과 디지털임플란트 3D구강스캐너 자연치아살리기 미세현미경신경치료,,0.33134,0.349072,0.340058,,0.0,52.0,0.0,,0.019447,-0.013559,0.006315
10,1007021704,가좌서울치과의원,908,813,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,스케일링 무통마취 임플란트 사랑니 치과,,0.33134,0.333003,0.338846,,0.0,-2.0,7.0,,0.019447,-0.016726,0.006077
11,1535763287,새이로치과의원,74,131,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,가좌역치과 남가좌동치과 가좌역임플란트 서대문구치과 남가좌동임플란트,,0.33134,0.328825,0.33853,,0.0,-2.0,-2.0,,0.019447,0.000474,0.007374
12,1706284407,슬기로운치과의원,399,458,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,남가좌동 명지대치과 임플란트 가재울치과 서대문구_양심치과,,0.33134,0.317209,0.337654,,1.0,45.0,0.0,,0.019447,0.004966,0.007714
13,1240368670,윤구강악안면외과치과의원,1243,310,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,남가좌동치과 DMC치과 서대문구치과 명지대치과 사랑니발치,,0.33134,0.314384,0.33744,,0.0,1.0,0.0,,0.019447,-0.001544,0.007222
14,803394051,서울클래식치과의원,4,290,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,임플란트 치아교정 심미보철 보험틀니 충치치료,,0.331294,0.277202,0.334617,,0.0,0.0,0.0,,0.019447,-0.009652,0.00661
15,11679922,개구장이 치과의원,22,294,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,어린이_치과 소아치과 서대문소아치과 어린이치과,,0.33134,0.275333,0.334493,,3.0,0.0,0.0,,0.019447,0.018354,0.008724
16,1590968517,연세아이소망치과의원,46,335,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,구연세아이사랑치과 가재울소아치과 남가좌동치과 북가좌동어린이치과 아이소망치과,,0.33134,0.273115,0.334326,,1.0,0.0,1.0,,0.019447,0.012404,0.008275
17,11883671,함종욱치과의원,28,264,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,코골이치료 이갈이치료 오픈바이트치료 턱관절치료 보톡스치료,,0.331294,0.254402,0.332896,,2.0,0.0,2.0,,0.019447,0.00324,0.007583
18,31203355,서울아이치과의원,60,574,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,치과 소아치과 어린이치과 소아교정 과잉치,,0.33134,0.250211,0.332597,,6.0,0.0,0.0,,0.019447,0.013756,0.008377
19,13161327,참좋은치과의원,23,854,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,홍제동치과 홍제역치과 교정 임플란트 홍제동교정,,0.33134,0.249034,0.332508,,3.0,0.0,2.0,,0.019447,0.005145,0.007727
20,1360071112,연세내일치과의원 아현,103,388,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,아현역치과 중림동임플란트 충현동교정치과 아현동일요일진료치과 대흥동충치치료,,0.33134,0.248128,0.33244,,0.0,1.0,1.0,,0.019447,-0.001366,0.007236
21,11733834,이화이트치과의원,112,101,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,서대문역치과 서대문구임플란트 독립문역틀니 구강검진 사랑니무통마취,,0.33134,0.245212,0.33222,,0.0,43.0,0.0,,0.019447,-0.017224,0.006039
22,1746100405,정영호치과교정과치과의원,31,101,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 소아교정 인비절라인 교정전문치과 교정과전문의,,0.33134,0.2436,0.332098,,0.0,0.0,2.0,,0.019447,-0.003512,0.007073
23,719347040,서울수치과의원,5,502,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,서대문 임플란트 서울대 아현 수치과,,0.33134,0.240337,0.331852,,3.0,0.0,1.0,,0.019447,0.00615,0.007803
24,36414683,서울퍼스트치과의원,17,521,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,가좌역치과 북가좌동임플란트 서대문구사랑니 성산동치아교정 남가좌동신경치료,,0.33134,0.237529,0.33164,,3.0,0.0,4.0,,0.019447,0.003779,0.007624
25,1524197145,유한중치과의원,206,238,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,서대문구치과 연희동치과 연희동임플란트치과 연희동사랑니치과 연희동심미보철치과,,0.33134,0.236416,0.331556,,0.0,0.0,0.0,,0.019447,-0.025338,0.005426
26,37072274,따뜻한인치과의원,142,570,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,연희동치과 치과 투명교정 임플란트 스케일링,,0.33134,0.236274,0.331545,,0.0,0.0,0.0,,0.019447,-0.005029,0.006959
27,11781641,연세스마일포유치과의원,9,144,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.234561,0.331399,,3.0,0.0,0.0,,0.019447,0.00867,0.007993
28,11524377,연세해맑은치과의원,8,400,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,치아교정 청소년치아교정 어린이치아교정,,0.331294,0.229181,0.330993,,3.0,0.0,1.0,,0.019447,0.005521,0.007756
29,11524108,서울바른이치과교정과치과의원,6,107,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,치아교정 치과교정과 교정전문의 치열교정 교정치과,,0.33134,0.228301,0.330944,,0.0,0.0,0.0,,0.019447,-0.007061,0.006806
30,1689687076,연세하이치과의원,16,256,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,홍은동치과 홍제동치과 홍제역치과 두산위브치과 홍은동임플란트,,0.33134,0.226934,0.33084,,9.0,0.0,4.0,,0.019447,0.01442,0.008427
