place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,20514640,서산탑치과의원,888,233,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,서산치과 임플란트 치아교정 충치사랑니치료 미백,,0.33134,0.395995,0.410015,,0.0,1.0,1.0,,0.019447,0.014662,0.008446
2,1899366725,서산가온치과의원,455,139,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트 턱관절치료 치아미백 디지털가이드임플란트,,0.33134,0.389667,0.409537,,2.0,68.0,4.0,,0.019447,0.02279,0.009058
3,1271712065,그랜드치과의원,720,246,치과,건강의료>병원>병원의원>치과>치과-일반,4.09,,임플란트 사랑니발치 충치치료 턱관절치료 잇몸뼈이식,,0.331294,0.377524,0.408603,,0.0,2.0,0.0,,0.019447,0.007453,0.007901
4,1227833031,아라치과의원,186,99,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트틀니 사랑니발치 충치치료 턱관절치료 구강악안면외과전문의,,0.331294,0.355358,0.406931,,0.0,24.0,10.0,,0.019447,-0.021652,0.005705
5,1296643020,바른손치과의원,74,407,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,서산치과 태안치과 서산임플란트 태안임플란트치과 수면진료,,0.33134,0.293738,0.402297,,1.0,0.0,3.0,,0.019447,0.004055,0.007645
6,514669145,서산치과의원,65,125,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,임플란트 신경치료 무통마취 과잉진료,,0.341289,0.234743,0.401599,Hot,14.0,1.0,0.0,,0.019448,0.082614,0.013574
7,1771648230,아이사랑치과의원,15,217,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,서산소아치과 교정과 서산교정과 교정과전문의진료 소아치과전문의진료,,0.33134,0.275464,0.400918,,0.0,0.0,0.0,,0.019447,-0.015658,0.006157
8,1159148328,프라임치과의원,41,91,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,서산치과 오스템임플란트 네비게이션임플란트 임플란트재식립 보철치료,,0.33134,0.258643,0.399649,,0.0,0.0,0.0,,0.019447,-0.007694,0.006758
9,1194183362,성연수치과의원,2,237,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,임플란트 성연치과 잇몸치료 소아치료 성연야간진료치과,,0.33134,0.251921,0.399141,,0.0,0.0,0.0,,0.019447,0.006748,0.007848
10,12010214,중앙허브치과의원,792,472,치과,건강의료>병원>병원의원>치과>치과-일반,3.68,,서산치과 임플란트 보험틀니 동문동치과 보철치료,,0.33134,0.246608,0.39874,,0.0,2.0,14.0,,0.019447,-0.000785,0.007279
11,21063707,예담치과의원,4,264,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.238101,0.398081,,3.0,0.0,0.0,,0.019447,0.022254,0.009018
12,31341434,효치과의원,4,334,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,서산치과 치과전문의 임플란트 충치치료 양심치과,,0.33134,0.233902,0.397781,,0.0,0.0,4.0,,0.019447,0.007007,0.007867
