place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,13538932,서울플러스치과의원 성남,3071,958,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,성남치과 임플란트 치아교정 교정치과 치과,,0.33134,0.489645,0.401988,,0.0,317.0,-1.0,,0.019447,-0.009739,0.006603
2,1894843529,베스트치과의원,3938,1143,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,모란역치과 오스템임플란트 전악임플란트 사랑니당일발치 야간진료,,0.33134,0.481318,0.40136,,7.0,702.0,7.0,,0.019447,0.026066,0.009306
3,1221729494,연세위드치과의원,4680,797,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성남치과 성남인비절라인치아교정 성남전체뼈이식임플란트 성남당일매복사랑니발치 분당라미네이트보철치료,,0.33134,0.480592,0.401305,,0.0,309.0,3.0,,0.019447,0.008797,0.008002
4,1333658420,바른모양치과의원,1898,93,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트틀니 턱관절 충치신경치료 치아미백 잇몸치료,,0.331294,0.475077,0.400872,Hot,24.0,174.0,1.0,,0.019447,0.080948,0.013448
5,1357684935,웃자치과교정과치과의원,5138,1342,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인비절라인 치아교정치과 성남임플란트 모란역치과 수면사랑니발치,,0.33134,0.471778,0.40064,,3.0,344.0,7.0,,0.019447,0.01194,0.00824
6,1921628090,서울퍼펙트치과의원,1172,494,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치신경보존잇몸치료 수면무통마취치과 턱관절통증장애치료 디지털임플란트염증재수술 당일매복사랑니발치,,0.33134,0.469639,0.400478,,0.0,110.0,4.0,,0.019447,0.006007,0.007792
7,1726132301,연세청춘치과의원,4291,442,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,임플란트 사랑니발치 보철치료 심미치료 교정치과,,0.33134,0.468562,0.400397,,0.0,-10.0,11.0,,0.019447,-4.3e-05,0.007335
8,1249971492,서울밝은미소치과의원,1036,419,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,위례치과 위례임플란트 위례충치치료 위례스케일링 위례치아교정,,0.33134,0.467908,0.400348,,0.0,6.0,2.0,,0.019447,0.006105,0.0078
9,1223257482,밸런스치과병원,3545,1669,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,판교치과 분당치과 판교치아교정 분당임플란트 성남치과,,0.33134,0.463483,0.400014,,0.0,97.0,5.0,,0.019447,-0.001429,0.007231
10,1771850260,서울민플란트치과의원 성남,3053,676,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,성남치과 네비게이션임플란트치과 충치신경잇몸치료 올세라믹크라운치료 매복사랑니발치,,0.33134,0.459957,0.399748,,0.0,388.0,9.0,,0.019447,0.007927,0.007937
