place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1175179048,서울디테일치과의원,494,239,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,네비게이션임플란트 신금호역치과 금호동레진심미치료 성동구턱관절치료 임플란트,,0.33134,0.330319,0.338643,,0.0,40.0,0.0,,0.019447,0.00678,0.00785
2,1505892744,에스보스톤치과교정과치과의원,168,60,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성수역치과 성수동치아교정 성수동교정과전문의 성동구임플란트 성동구스케일링,,0.33134,0.3091,0.337042,,1.0,2.0,0.0,,0.019447,-0.005418,0.00693
3,121392860,강남365치과의원 신금호점,305,450,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,신금호역치과 금호동임플란트 신금호역임플란트 금호동심미보철 금호동치과,,0.33134,0.303109,0.336589,,0.0,0.0,9.0,,0.019447,-0.017077,0.006049
4,1987882809,연세바롬치과보존과치과의원,71,257,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,연세바롬치과 옥수역치과 옥수동임플란트 충치치료 신경치료,,0.33134,0.295723,0.336032,Hot,18.0,2.0,13.0,,0.019447,0.071431,0.01273
5,11532297,미사랑치과의원,697,351,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,왕십리치과 성동구치과 행당동치과 왕십리임플란트 성동구임플란트,,0.33134,0.292192,0.335766,,0.0,0.0,3.0,,0.019447,-0.00169,0.007212
6,20149807,임플라인치과의원 성동점,357,185,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,성수동치과 뚝섬역치과 임플란트 일요일치과,,0.33134,0.27695,0.334615,,0.0,0.0,-1.0,,0.019447,-0.018189,0.005966
7,38249108,이튼주니어 치과의원,13,300,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,성동구어린이치과 성동구소아치과 왕십리어린이치과 행당동어린이치과 중구어린이치과,,0.33134,0.271885,0.334233,,0.0,0.0,0.0,,0.019447,0.000756,0.007396
8,38514213,우리치과의원,919,181,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,성수동치과 성수역치과 성동구임플란트 성수동임플란트 성수동치주과,,0.33134,0.270791,0.33415,,6.0,4.0,0.0,,0.019447,0.030055,0.009607
9,313879690,튼튼이 소아치과의원,15,201,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,어린이치과 센트라스어린이치과 상왕십리어린이치과 왕십리어린이치과 왕십리소아치과,,0.33134,0.262091,0.333494,,0.0,0.0,0.0,,0.019447,0.002765,0.007548
10,224099362,연세고마운치과의원,968,842,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,치아교정 일요일치과 사랑니발치 왕십리치과 왕십리임플란트,,0.33134,0.26002,0.333337,,0.0,4.0,2.0,,0.019447,0.010323,0.008117
