place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,13216900,J스타일치과의원,2455,301,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,성신여대치과 성북구치아교정치과 성북구임플란트 임플란트 인비절라인,,0.33134,0.438095,0.395079,,1.0,216.0,1.0,,0.019447,0.010901,0.008162
2,37653181,더편한치과의원,2724,418,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성신여대임플란트 동소문로일요치과 성북구일요치과 돈암동일요치과 공휴일치과,,0.33134,0.437378,0.395025,,0.0,188.0,1.0,,0.019447,-0.000373,0.007311
3,19535194,유디치과의원 성신여대,1257,535,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성신여대치과 정릉역치과 임플란트 충치치료 심미보철,,0.33134,0.412361,0.393137,,1.0,49.0,1.0,,0.019447,0.008184,0.007957
4,13343053,서울S플러스치과의원,1352,576,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성신여대치과 성북구치과 임플란트 충치 돈암동치과,,0.33134,0.399627,0.392176,,4.0,153.0,8.0,,0.019447,0.017563,0.008665
5,1037084794,이상한나라앨리스치과의원 미아사거리,1064,1266,치과,건강의료>병원>병원의원>치과>치과-일반,4.97,,미아사거리치과 길음동치과 치주과전문의 미아사거리교정치과 미아사거리임플란트,,0.33134,0.388314,0.391322,,0.0,106.0,4.0,,0.019447,-0.027301,0.005278
6,1433434469,훈치과의원,657,294,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,월곡역치과 미아사거리치과 월곡역임플란트 미아사거리임플란트 돌곶이역치과,,0.33134,0.387939,0.391294,,0.0,2.0,1.0,,0.019447,-0.007572,0.006768
7,37564839,더서울치과의원,1323,1080,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,성신여대치과 성북구치과 성북구임플란트 성북구교정치과 돈암동치과,,0.33134,0.381156,0.390782,,0.0,47.0,3.0,,0.019447,-0.00174,0.007208
8,13031389,빈센트치과의원,1256,930,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,성신여대치과 사랑니 치아교정 교정치과 임플란트,,0.33134,0.375583,0.390361,,0.0,180.0,3.0,,0.019447,-0.007047,0.006807
9,1658475050,성신웰치과의원,2071,559,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,성신여대치과 임플란트 성북구교정치과 동선동치과 성신여대입구역치과,,0.33134,0.357741,0.389015,,1.0,174.0,0.0,,0.019447,0.016956,0.008619
10,19530734,처음처럼치과의원,754,183,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,성신여대치과 충치치료 보철치료 임플란트 성신여대역치과,,0.33134,0.336911,0.387442,,1.0,12.0,3.0,,0.019447,0.021591,0.008968
11,33989997,성심바른치과의원,316,282,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,임플란트 미아리고개 신경치료 교정 길음역치과,,0.33134,0.323002,0.386393,,2.0,19.0,2.0,,0.019447,0.025661,0.009276
12,1783829696,안녕사랑니치과의원,6,444,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니 사랑니발치 사랑니치과 사랑니병원 성신여대사랑니,,0.33134,0.297993,0.384505,,0.0,0.0,5.0,,0.019447,-0.0726,0.001859
13,1436393365,서울에스치과의원,272,825,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,미아사거리치과 임플란트 치과보존과 길음동치과 신경치료,,0.33134,0.296418,0.384386,,0.0,0.0,3.0,,0.019447,-0.001107,0.007255
14,11893598,아이세상치과의원 강북점,26,625,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,아이세상 강북소아치과 어린이교정 성북소아치과 성북교정,,0.33134,0.260715,0.381692,,4.0,0.0,1.0,,0.019447,0.016023,0.008548
15,31872084,키즈웰치과의원 길음점,8,132,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,어린이치과 소아치과,,0.33134,0.259529,0.381602,Hot,11.0,1.0,0.0,,0.019447,0.024965,0.009223
16,13306471,미보치과의원,562,697,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,임플란트 턱관절 교정 보톡스 미백,,0.331294,0.258215,0.381486,,1.0,8.0,2.0,,0.019447,0.012129,0.008254
17,19527013,서울훈치과의원,108,278,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,종암동치과 종암동충치 종암동임플란트 종암동교정 종암동스케일링,,0.33134,0.252885,0.381101,,5.0,2.0,3.0,,0.019447,0.014624,0.008443
18,11602882,연세휴치과의원 길음점,543,577,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,길음역치과 성북구치과 길음동치과 미아사거리치과 연세휴치과,,0.33134,0.250398,0.380913,,0.0,1.0,2.0,,0.019447,-0.011319,0.006484
19,13227442,성북이엔이치과의원,10,286,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,,,0.331294,0.247308,0.380663,,0.0,0.0,0.0,,0.019447,-0.004927,0.006967
20,1073034521,바른샘치과의원,88,203,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치과 턱관절치료 사랑니발치 한성대입구역치과,,0.33134,0.2458,0.380566,,3.0,0.0,1.0,,0.019447,0.009652,0.008067
21,1251051248,연세고마운치과의원,451,368,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,길음역치과 길음역임플란트 치아교정 일요일진료치과 의식하진정치료,,0.33134,0.244902,0.380498,,0.0,0.0,0.0,,0.019447,-0.012391,0.006403
22,74625452,서울효치과의원,4,463,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,정릉치과 정릉 임플란트 교정 효치과,,0.33134,0.240213,0.380144,,2.0,0.0,2.0,,0.019447,0.004245,0.007659
23,11640270,종암연세휴치과의원,326,916,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,종암동치과 종암임플란트 종암치아교정 종암치과 종암동충치치료,,0.33134,0.240168,0.380141,,2.0,2.0,6.0,,0.019447,0.005068,0.007721
24,38695907,이룸치과의원,23,134,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,치과 보문역치과 임플란트 신경치료 보철치료,,0.33134,0.237812,0.379963,,0.0,0.0,0.0,,0.019447,-0.000813,0.007277
25,1360445996,서울클리어치과교정과치과의원,300,744,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,교정치과 치아교정 교정전문치과 성장기교정 성신여대치과,,0.33134,0.237707,0.379955,,3.0,3.0,2.0,,0.019447,0.009532,0.008058
26,11871722,서울좋은치과의원,9,414,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,스켈링 임플란트 충치 틀니 치통,,0.331294,0.235165,0.379746,,1.0,0.0,1.0,,0.019447,0.005568,0.007759
27,19524544,서울비케이치과의원,280,146,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,성북구치과 장위동치과 장위동임플란트 장위치과 장위동보철치과,,0.33134,0.234251,0.379694,,0.0,-1.0,1.0,,0.019447,-0.004274,0.007016
28,18273150,미치과의원,8,216,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,미치과 치아교정 임플란트 충치치료 잇몸치료,,0.33134,0.228412,0.379254,,3.0,0.0,0.0,,0.019447,0.008447,0.007976
29,19474801,길음연세치과의원,2,126,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,길음역치과 길음동치과 길음뉴타운치과 길음역임플란트 성북구치과,,0.33134,0.227493,0.379184,,0.0,0.0,2.0,,0.019447,-0.015587,0.006162
30,773147875,서울온샘치과의원,6,295,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,사랑니 구강내소수술 턱관절 임플란트 발치,,0.331294,0.226429,0.379087,,7.0,0.0,0.0,,0.019447,0.01193,0.008239
31,12926273,이스터치과의원,202,313,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,,,0.331294,0.22227,0.378773,Hot,10.0,0.0,0.0,,0.019447,0.012281,0.008266
32,19523915,정치과의원,2,286,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,임플란트 교정 보철 치주 구강외과,,0.331294,0.221991,0.378752,,0.0,0.0,0.0,,0.019447,-0.005566,0.006919
33,12035921,서울미래치과의원,457,267,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,임플란트 치아교정 충치치료 성북구치과 성신여대치과,,0.33134,0.220183,0.378633,,6.0,0.0,0.0,,0.019447,0.007409,0.007898
34,1425042622,연세바른치과의원,409,679,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,성신여대치과 성신여대임플란트 성신여대충치치료 성신여대야간진료 성북구치과,,0.33134,0.218015,0.378469,,0.0,0.0,1.0,,0.019447,-0.002737,0.007132
35,1159938610,서울열린치과의원,34,211,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,길음치과 길음임플란트 충치신경치료 잇몸스케일링 길음역치과,,0.33134,0.214527,0.378206,,0.0,0.0,5.0,,0.019447,-0.002437,0.007155
36,20568644,닥터민치과의원,10,181,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,임플란트 사랑니 턱관절 교정 보철,,0.331294,0.213749,0.37813,,2.0,0.0,0.0,,0.019447,-0.000438,0.007306
37,1504809623,서울바로치과의원,2,111,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,정릉치과 정릉임플란트 성북구치과 보철 충치치료,,0.33134,0.21264,0.378063,,0.0,0.0,0.0,,0.019447,-0.002413,0.007156
38,19534993,하하치과의원,7,85,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,하하치과 임플란트 보철치료 소아치료 스케일링,,0.33134,0.211562,0.377982,,0.0,0.0,0.0,,0.019447,-0.005097,0.006954
39,19519964,테마가있는치과의원,9,144,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,임플란트 치주과 보철치료,,0.331294,0.205369,0.377497,,0.0,0.0,1.0,,0.019447,-0.013843,0.006294
40,346119131,서울온치과의원,6,439,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,치과치료 임플란트 충치치료 치주치료 치과교정,,0.33134,0.205084,0.377493,,2.0,0.0,0.0,,0.019447,-0.003652,0.007063
41,37650241,서울베스트치과의원,5,102,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,종암동_치과 종암동_임플란트 종암_틀니 종암동_사랑니 종암동_턱관절,,0.33134,0.205013,0.377488,Hot,14.0,0.0,0.0,,0.019447,0.018673,0.008748
42,1751542485,서울이로운치과의원,92,378,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미세현미경치료 의식하진정치료 서울대전문의 네비게이션임플란트 무통마취,,0.331294,0.201718,0.377222,,1.0,0.0,1.0,,0.019447,-0.006639,0.006838
43,19990313,서울예담치과의원,1,216,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,월곡역 월곡역치과 임플란트 치과야간진료 월곡동_치과,,0.33134,0.200471,0.377145,,0.0,0.0,2.0,,0.019447,-0.016311,0.006108
44,1796795285,위드치과의원,2,138,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트 안암 치아교정 교정치과,,0.33134,0.198732,0.377014,,6.0,0.0,0.0,,0.019447,0.005049,0.00772
45,19743663,서울명인치과의원,12,247,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,임플란트 치아교정 심미보철 치아미백 치아성형,,0.331294,0.198499,0.376979,,0.0,0.0,2.0,,0.019447,-0.014487,0.006245
46,1110370837,성모치과의원,1,68,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 치아미백 사랑니 치과,,0.33134,0.197752,0.37694,Hot,22.0,0.0,5.0,,0.019447,0.024422,0.009182
47,1096696598,열린치과의원,107,220,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,틀니 충치치료 정릉동치과 교정치과 성신여대,,0.33134,0.196752,0.376864,,0.0,0.0,2.0,,0.019447,-0.003644,0.007063
48,36798268,율치과교정과치과의원,1,224,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,율교정치과 교정 치아교정 투명교정 돌출입,,0.33134,0.195008,0.376733,Hot,11.0,0.0,0.0,,0.019447,0.015376,0.008499
49,1261019110,서울참좋은치과의원,2,238,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,구강검진 영유아구강검진 스케일링 치과 임플란트,,0.33134,0.194203,0.376672,Hot,20.0,0.0,1.0,,0.019447,0.020955,0.00892
50,1744416824,더봄치과의원,7,164,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,충치치료 심미보철 임플란트 장위동치과 성북구치과,,0.33134,0.194024,0.376659,,2.0,0.0,0.0,,0.019447,0.004772,0.007699
