place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1317636030,이도치과의원,610,823,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,세종시치아교정 세종시교정치과 세종시임플란트 네비게이션임플란트 세종치과,,0.33134,0.398668,0.458518,,0.0,9.0,2.0,,0.019447,0.007171,0.001842
2,1177072095,세종꾸러기소아치과의원,24,109,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,세종소아치과 세종시어린이치과 세종시영유아검진 소담동소아치과 소담동어린이치과,,0.33134,0.32786,0.453174,,1.0,0.0,2.0,,0.019447,0.012622,0.002253
3,693565652,연세고마운치과의원 세종점,369,230,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,새롬동사랑니치과 세종임플란트치과 다정동치아미백치과 나성동라미네이트치과 한솔동턱관절치과,,0.33134,0.32176,0.452714,,0.0,3.0,1.0,,0.019447,-0.014893,0.000177
4,1766607426,유디치과의원 세종점,426,919,치과,건강의료>병원>병원의원>치과>유디치과,0.0,,충치치료 사랑니발치 틀니 치아미백 세종임플란트,,0.331294,0.307446,0.451616,,0.0,0.0,24.0,,0.019447,0.001508,0.001414
5,36195165,맘애든치과의원 세종점,771,588,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,세종시치과 세종시교정치과 세종시어린이치과 세종시임플란트 세종시턱관절,,0.33134,0.306572,0.451568,,2.0,10.0,4.0,,0.019447,0.013187,0.002296
6,824685480,세종스타치과의원,584,855,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,세종시치과 세종시교정치과 세종시임플란트 세종시수면임플란트 세종시소아치과,,0.33134,0.301816,0.451209,,0.0,1.0,1.0,,0.019447,0.001488,0.001413
7,621379024,바른우리치과교정과치과의원,330,303,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,세종시 치과 교정치과 치아교정 턱관절,,0.33134,0.29451,0.450657,Hot,22.0,9.0,0.0,,0.019447,0.057436,0.005635
8,805143475,새롬숲치과의원,11,166,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,세종시치과 새롬동치과 통합치과전문의 트리오스5 디지털임플란트치과,,0.33134,0.29334,0.450569,,1.0,1.0,0.0,,0.019447,0.010211,0.002071
9,1371198434,단국대학교 세종치과병원,17,34,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,단국대세종치과병원 단대세종치과병원 세종치과병원 장애인구강진료센터 치과대학병원,,0.33134,0.290876,0.450383,,0.0,1.0,0.0,,0.019447,-0.003631,0.001027
10,1447736627,당신의 치과의원,49,277,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,세종시치과 세종시치아교정 세종시교정전문의 세종시교정치과 세종시인비절라인,,0.33134,0.282618,0.44976,,0.0,2.0,1.0,,0.019447,-0.004861,0.000934
