place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1802504631,메가플란트치과의원,4299,770,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 부천역치과 수면의식하진정요법치아교정 라미네이트심미보철야간진료 네비게이션디지털임플란트치료,,0.33134,0.4635,0.348694,,0,-,-,,-,-,-
2,1233976943,이루다치과의원 부천,749,1298,치과,건강의료>병원>병원의원>치과>치과-일반,4.92,,부천치과 부천임플란트 부천치아교정 역곡역치과 역곡역임플란트,,0.33134,0.428611,0.346061,,0,-,-,,-,-,-
3,38304958,바른약속치과의원 부천본원,1379,2607,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,라미네이트 임플란트 사랑니발치 치아교정 부천치아스케일링,,0.331294,0.420088,0.345401,,0,-,-,,-,-,-
4,1054508093,서울훈치과의원 역곡,1306,422,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 구강검진 사랑니 턱관절 부천틀니,,0.331294,0.417866,0.345233,,0,-,-,,-,-,-
5,1445746712,늘바른치과교정과의원,658,335,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과교정과전문의 인비절라인투명교정 역곡교정치과 부천소아교정치과 부천치아교정치과,,0.33134,0.361867,0.341024,,0,-,-,,-,-,-
6,1416354015,오늘미소치과의원,826,705,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,부천역치과 심곡동임플란트 사랑니발치 부천야간진료치과 부천치과,,0.33134,0.358192,0.340747,,0,-,-,,-,-,-
7,1034403144,연세다정플란트치과의원,607,468,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,옥길치과 임플란트 충치치료 레진 신경치료,,0.33134,0.334955,0.338993,,0,-,-,,-,-,-
8,1141414359,연세키즈투틴치과의원 부천,68,894,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,어린이치과 치아교정 소아치과 인비절라인 부천어린이치과,,0.33134,0.276996,0.334619,,0,-,-,,-,-,-
9,917447869,로웰치과의원,103,490,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,옥길동임플란트 옥길동치아교정 옥길동심미보철 옥길동치과 로웰치과,,0.33134,0.252566,0.332775,,0,-,-,,-,-,-
10,11884819,서울연세우리치과의원,31,1066,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,임플란트 치아교정 충치치료 소아수면치료 스케일링,,0.331294,0.249235,0.332506,,0,-,-,,-,-,-
11,20601806,설명을 잘하는 솔치과의원,6,363,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,치과 송내역 부천 야간진료 임플란트,,0.33134,0.24724,0.332373,,0,-,-,,-,-,-
12,11655679,성모본치과의원,6,534,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천성모본치과 범박동치과의원 옥길동치과의원 역곡치과의원 범박동성모본치과,,0.33134,0.245334,0.332229,,0,-,-,,-,-,-
13,1066684816,뉴욕탑치과의원,295,372,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,치과 임플란트 틀니 스케일링 사랑니,,0.33134,0.24392,0.332122,,0,-,-,,-,-,-
14,1019466588,이기쁨치과의원,717,604,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,치과 임플란트 공휴일진료치과 사랑니발치 옥길동행정복지센터,,0.33134,0.242834,0.33204,,0,-,-,,-,-,-
15,13240317,다원치과의원,6,170,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,교정 틀니 턱관절 임플란트 잇몸치료,,0.331294,0.236716,0.331561,,0,-,-,,-,-,-
16,20352447,수플러스치과의원,179,382,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 부천임플란트 역곡치과 역곡역치과 역곡임플란트,,0.33134,0.233688,0.33135,,0,-,-,,-,-,-
17,13240358,서울현대치과의원,3,415,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,,,0.331294,0.232898,0.331273,,0,-,-,,-,-,-
18,1498304143,서울건치과의원,362,441,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 소사역치과 수면임플란트 치아교정 부천치과,,0.33134,0.230893,0.331139,,0,-,-,,-,-,-
19,1111521000,어스치과의원,3,137,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,옥길 치과 임플란트 미백 충치,,0.33134,0.230701,0.331125,,0,-,-,,-,-,-
20,864205498,꿈꾸는아이치과의원,5,389,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,부천어린이치과 소아치과 어린이치과 옥길항동소아치과 수면치료웃음가스,,0.33134,0.230395,0.331102,,0,-,-,,-,-,-
21,38414629,서울더가까이치과의원,1659,605,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,치아교정 임플란트 잇몸치료 충치치료 스켈링,,0.331294,0.228758,0.330961,,0,-,-,,-,-,-
22,13240242,사랑치과의원,7,253,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,,,0.331294,0.228075,0.330909,,0,-,-,,-,-,-
23,11708955,이미지치과의원,8,813,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,임플란트 치아교정 보험틀니 소아교정 치과보철과전문의진료,,0.33134,0.21989,0.330309,,0,-,-,,-,-,-
24,725857025,서울소담치과의원,15,390,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,치아미백 사랑니발치 임플란트 치아신경치료 턱관절,,0.331294,0.219866,0.33029,,0,-,-,,-,-,-
25,11851478,스마일라인치과의원,17,121,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,치아교정 임플란트 야간진료,,0.331294,0.218357,0.330176,,0,-,-,,-,-,-
26,1111111753,서울다온치과의원,19,373,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,수면_임플란트 소사역_치과 소아교정 사랑니발치 소아치과,,0.33134,0.216751,0.330072,,0,-,-,,-,-,-
27,12956811,e하얀치과의원,4,78,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.21079,0.329605,,0,-,-,,-,-,-
28,1058924661,송내퍼스트치과의원,1,92,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송내치과 송내역치과 송내역임플란트 송내퍼스트치과 부천사랑니,,0.33134,0.209089,0.329494,,0,-,-,,-,-,-
29,13240420,박동범치과의원,4,319,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.204417,0.329124,,0,-,-,,-,-,-
30,13078316,센트럴치과의원,40,179,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,임플란트 수면치과진료 충치치료 신경치료 사랑니발치,,0.33134,0.196261,0.328525,,0,-,-,,-,-,-
31,1956693308,더올바른치과의원,59,148,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 중동역치과 당일임플란트 송내동사랑니 야간진료치과,,0.33134,0.195833,0.328493,,0,-,-,,-,-,-
32,13238511,김광화치과의원,14,237,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,,,0.331294,0.190821,0.328098,,0,-,-,,-,-,-
33,12799624,이레치과의원,2,145,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,역곡임플란트 치아교정 틀니 소아치과 크라운,,0.33134,0.187775,0.327885,,0,-,-,,-,-,-
34,13238513,이사랑치과의원,2,156,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,,,0.331294,0.18748,0.327845,,0,-,-,,-,-,-
