place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1235422170,서울리오치과의원,3546,491,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,헬리오시티치과 수면임플란트 잠실치과 송파임플란트 송파치아교정,,0.33134,0.492641,0.390139,,6.0,330.0,7.0,,0.019447,0.03785,0.010195
2,1259307268,서울0.1치과의원,2907,712,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송파치과 잠실치과 무절개임플란트 일요일치과 방이동임플란트,,0.33134,0.489119,0.389873,,0.0,313.0,25.0,,0.019447,0.001956,0.007486
3,37070578,더바름 치과병원,2296,1203,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면마취임플란트 치아교정치과 앞니부분교정 인비절라인 치과공포증,,0.33134,0.480214,0.389201,,0.0,335.0,-1.0,,0.019447,-0.02211,0.00567
4,1030649885,탑플러스치과의원,3179,700,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,송파치과 디지털임플란트 치아교정치과 고난도사랑니발치 충치치료,,0.33134,0.474482,0.388768,,2.0,701.0,10.0,,0.019447,0.015168,0.008483
5,1709701276,서울권치과의원,2028,945,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,임플란트 앞니치료 심미보철 라미네이트 송파치과,,0.33134,0.470515,0.388469,,0.0,339.0,4.0,,0.019447,-0.00807,0.00673
6,1808748843,연세꿈꾸는치과교정과의원 송파잠실점,1389,234,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,잠실교정치과 인비절라인 송파투명교정 치아재교정 앞니부분교정,,0.33134,0.470194,0.388445,,0.0,104.0,6.0,,0.019447,-0.014605,0.006237
7,1271363073,서울오브치과병원,1901,557,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송파구치과 구강악안면외과전문의 치과병원 임플란트 야간진료치과,,0.33134,0.468706,0.388333,,0.0,179.0,35.0,,0.019447,0.000356,0.007366
8,1739764557,위례양치과의원,2060,655,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,위례치과 위례임플란트 위례사랑니발치 위례충치치료 거여동잇몸치료치과,,0.33134,0.466542,0.388169,,0.0,148.0,10.0,,0.019447,0.019893,0.00884
9,1680628161,더365치과의원,1610,682,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,잠실치과 잠실임플란트 잠실새내역치과 일요일치과 365치과,,0.33134,0.459059,0.387605,Hot,10.0,175.0,3.0,,0.019447,0.062397,0.012048
10,1561051139,연세굿플란트치과의원 잠실송파본점,5636,1484,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,사랑니 수면임플란트 라미네이트 송파치과 치과,,0.33134,0.44945,0.386879,,0.0,787.0,17.0,,0.019447,0.007971,0.00794
