place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1299497887,서울탑플란트치과의원,3763,269,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구치과 대구매복사랑니발치치과 무절개임플란트치과 틀니보철심미치료 앞니치아미백,,0.33134,0.496681,0.396482,,4.0,390.0,0.0,,0.019447,0.037709,0.010185
2,12304580,아이큰숲치과의원,1512,2404,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,대구소아치과 대구어린이치과 아이큰숲치과 소아교정치과 대구청소년치과,,0.33134,0.483114,0.395458,,0.0,219.0,38.0,,0.019447,-0.001292,0.007241
3,1106175068,수성더원치과의원,2290,509,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구치과 임플란트 대구수성구치과 사랑니발치 치아교정,,0.33134,0.472658,0.394669,,0.0,208.0,4.0,,0.019447,-0.004224,0.00702
4,31937523,로이스치과의원,2331,253,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구치과 대구임플란트 대구임플란트후기 대구임플란트가격 무통임플란트,,0.33134,0.470094,0.394475,,0.0,226.0,0.0,,0.019447,-0.000971,0.007265
5,1323662741,시지바름플란트치과의원,2103,281,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수성구치과 시지치과 대구치과 대구사랑니 시지임플란트,,0.33134,0.460401,0.393744,,0.0,107.0,3.0,,0.019447,-0.009312,0.006636
6,1315126120,마카온치과의원,2149,147,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 수성구스케일링 범어역충치치료 만촌동레진 턱관절치료,,0.331294,0.456103,0.393402,,0.0,197.0,9.0,,0.019447,0.006191,0.007806
7,13575644,위브치과의원,2213,233,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,치아미백라미네이트 수성구범어동임플란트 수성구범어동사랑니발치 대구수성구범어동치과 수성구치과,,0.33134,0.431845,0.391588,,0.0,48.0,2.0,,0.019447,0.006622,0.007838
8,1475496060,범어5층치과의원,652,213,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 사랑니 무삭제라미네이트 미니쉬,,0.331294,0.403156,0.389406,,3.0,178.0,12.0,,0.019447,0.019225,0.00879
9,1438171626,율치과의원,1096,148,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수성구치과 대구인비절라인치과 대구투명교정치과 대구신경치료 에어플로우치과,,0.33134,0.399782,0.389169,,1.0,144.0,0.0,,0.019447,0.015657,0.008521
10,31045048,톡톡구강내과치과의원,1013,1843,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,대구턱관절치료병원 대구치과 대구구강내과 대구이갈이치과 대구턱관절병원,,0.33134,0.399035,0.389112,,0.0,17.0,4.0,,0.019447,-0.003915,0.007043
11,1782715045,더엠디 치주과 치과의원,1823,35,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구치과 대구치주과 대구임플란트 수성구치과 대구잇몸치료,,0.33134,0.395799,0.388868,,2.0,176.0,1.0,,0.019447,0.018598,0.008742
12,1499826135,라이크치과의원,910,435,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구치과 대구임플란트치과 대구라이크치과 수성구임플란트 수성구치과,,0.33134,0.382143,0.387837,,0.0,50.0,14.0,,0.019447,0.004941,0.007711
13,1090088415,굿티스치과의원,2255,919,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,대구임플란트 수성구치과 수성구인비절라인치과 수성구치아교정 수성구라미네이트,,0.33134,0.349242,0.385354,,1.0,7.0,6.0,,0.019447,-0.000591,0.007294
14,1215065030,이수경치과의원,398,33,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 성인교정 플라즈마신경치료 범어네거리치과 대구이갈이치과,,0.33134,0.347938,0.385256,,0.0,134.0,1.0,,0.019447,-0.036258,0.004602
