place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1286518554,365드림치과병원 수영,2366,1288,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산치과 부산교정치과 부산라미네이트 부산수영치과 부산인비절라인,,0.33134,0.480685,0.365086,,0.0,-4.0,8.0,,0.019447,0.011149,0.00818
2,1016296411,수영센텀치과의원,1043,585,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,수면임플란트재수술 매복사랑니발치 충치치료 턱관절장애치료 수영구전문의치과,,0.33134,0.416397,0.360234,,0.0,35.0,4.0,,0.019447,0.013798,0.00838
3,1351622905,광안뉴욕치과의원,672,305,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산임플란트 부산치아교정 부산치과 부산어린이치과 수영치과,,0.33134,0.415551,0.36017,,0.0,35.0,1.0,,0.019447,0.013406,0.008351
4,1027602401,남천바른생각치과의원,1194,506,치과,건강의료>병원>병원의원>치과>치과-일반,4.87,,남천동치과 남천동임플란트 부산심미레진치과 부산앞니레진치과 부산앞니치료,,0.33134,0.415072,0.360134,,0.0,97.0,2.0,,0.019447,0.016973,0.00862
5,1530118685,광안리동백나무치과의원,353,535,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니발치 충치치료 치주염잇몸질환 네비게이션보험임플란트 광안리치과,,0.33134,0.378128,0.357346,,0.0,23.0,3.0,,0.019447,-0.006424,0.006854
6,1992295767,수목치과의원,301,423,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,보험임플란트재수술 충치치료 틀니제작수리 신경치료 광안리치과,,0.33134,0.362976,0.356202,,0.0,23.0,1.0,,0.019447,0.007831,0.00793
7,1835281765,수영하임치과의원,895,303,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수영구임플란트 수영구치아교정 잇몸치료 부산미니쉬 수영구인비절라인,,0.331294,0.349273,0.355151,,1.0,116.0,3.0,,0.019447,0.030822,0.009665
8,12941233,위드미치과의원,295,357,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수영구치과 광안동치과 광안리치과 풀아치임플란트 치아미백,,0.33134,0.325989,0.353411,,0.0,43.0,6.0,,0.019447,-0.011699,0.006456
9,37935310,수영어린이치과의원,22,443,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,어린이치과 소아치과 영유아검진 광안동어린이치과 센텀어린이치과,,0.33134,0.301992,0.351599,,0.0,0.0,0.0,,0.019447,0.015314,0.008494
10,35252028,세종치과의원 수영,65,739,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,수영구치과 부산임플란트 수면임플란트 부산치과교정 수영구임플란트,,0.33134,0.257869,0.348269,,2.0,2.0,2.0,,0.019447,0.017464,0.008656
11,1326544623,수영메디컬치과의원 부산 수영,303,254,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산수영구치과 전체임플란트 매복사랑니발치 인비절라인 앞니부분교정,,0.33134,0.248361,0.347552,,0.0,15.0,3.0,,0.019447,0.006277,0.007813
12,32417433,광안제일치과의원,14,371,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,광안리치과 광안동치과 광안리야간치과 수영치과 수영임플란트,,0.33134,0.24553,0.347338,,3.0,0.0,1.0,,0.019447,0.016453,0.00858
13,11823485,성분도치과병원,41,679,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,치과 임플란트 보철 치주,,0.33134,0.244525,0.347262,,0.0,0.0,0.0,,0.019447,0.003813,0.007626
14,33211401,전재호바른이치과의원,2,167,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,부산돌출입교정 부산덧니교정 부산치아교정 부산성장기턱교정 부산교정,,0.331294,0.237243,0.346696,,5.0,0.0,1.0,,0.019447,0.015472,0.008507
15,1511606570,리엘치과의원,12,410,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남천동치과 임플란트 사랑니발치 수영구치과 대연동치과,,0.33134,0.230669,0.346217,,0.0,0.0,2.0,,0.019447,-0.003396,0.007083
16,1905479867,시카고치과의원,303,309,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수영역치과 광안동치과 수영치과 광안치과 수영구치과,,0.33134,0.22987,0.346156,,1.0,1.0,6.0,,0.019447,0.002456,0.007524
17,13251543,월드치과의원,6,126,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,수영치과,,0.33134,0.227817,0.346001,,0.0,0.0,1.0,,0.019447,-0.005393,0.006931
18,1962376479,늘푸른치과의원,0,200,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,남천동치과 남천역,,0.33134,0.224889,0.34578,,3.0,0.0,2.0,,0.019447,0.010253,0.008112
19,19520677,동그라미치과의원,18,268,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.220541,0.345435,,1.0,0.0,3.0,,0.019447,0.003398,0.007595
20,733599444,바른이김대식치과의원,534,151,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,치아교정 교정치과 임플란트 수영구치과 잇몸,,0.33134,0.219416,0.345367,,2.0,3.0,0.0,,0.019447,0.006323,0.007816
21,1284206469,이든연합치과의원 민락점,2,56,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 사랑니발치 심미보철 광안리치과,,0.33134,0.213718,0.344937,,0.0,0.0,0.0,,0.019447,-0.01494,0.006211
22,13251017,에이스치과의원,85,102,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,치아교정 교정치과 남천동치과 에이스치과 트위드교정,,0.33134,0.209585,0.344625,,8.0,0.0,0.0,,0.019447,0.025008,0.009226
23,1073219040,박우경 치과교정과 치과의원,3,67,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,교정,,0.331294,0.207649,0.344462,,0.0,0.0,0.0,,0.019447,-0.004789,0.006977
24,1631255729,59디지털치과의원,10,107,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수영구임플란트 수영구치과 해운대구임플란트 연제구임플란트 센텀임플란트,,0.33134,0.206761,0.344412,,0.0,0.0,1.0,,0.019447,-0.016415,0.0061
25,13251679,새로운치과의원,1,327,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.205649,0.344311,,9.0,0.0,1.0,,0.019447,0.025436,0.009258
26,13251636,장철호치과의원,1,124,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.203159,0.344123,,1.0,0.0,1.0,,0.019447,0.006348,0.007818
27,1447828762,뿌리깊은이정근치과의원,179,160,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,수영구임플란트 남천동치과 수영구치과 금련산역치과 광안동치과,,0.33134,0.201174,0.343991,,0.0,2.0,0.0,,0.019447,-0.002037,0.007185
28,1679692121,디오스치과의원,119,107,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,남천동치과 부산남천동치과 부산수영구치과 광안리치과 남천역치과,,0.33134,0.19767,0.343726,,0.0,0.0,0.0,,0.019447,-0.003899,0.007044
29,31085499,이마음치과의원,93,211,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,레진 스케일링 사랑니 임플란트 잇몸,,0.331294,0.197887,0.343725,,2.0,0.0,3.0,,0.019447,0.015827,0.008533
30,21830977,로덴치과의원,52,67,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,네비게이션임플란트 보존치료 충치치료 심미치료 치주치료,,0.331294,0.196619,0.34363,,0.0,0.0,1.0,,0.019447,0.002316,0.007514
31,11879350,남천부부치과,1,136,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,,,0.331294,0.195002,0.343507,,1.0,0.0,0.0,,0.019447,0.013019,0.008321
32,1137151390,유앤아이치과의원,2,116,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,치과 임플란트 틀니,,0.33134,0.192815,0.34336,,0.0,0.0,0.0,,0.019447,0.002395,0.00752
33,12017951,서울미소치과의원,0,53,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,남천동치과 교정치과 교정전문의 심미보철 임플란트,,0.33134,0.190777,0.343206,,3.0,0.0,0.0,,0.019447,0.012556,0.008286
