place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1293769332,광교365리움치과병원 수원,5942,1336,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 수원임플란트치과 공휴일진료치과 영통치과수면치료 광교치아교정치과전문의,,0.33134,0.511281,0.487894,,0.0,415.0,17.0,,0.019447,0.003069,0.00646
2,1101904443,웃는얼굴치과의원 수원점,6056,606,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 수원임플란트 인계동치과 치아교정치과 사랑니발치,,0.33134,0.500982,0.487116,,2.0,388.0,6.0,,0.019447,0.022425,0.007921
3,1538966609,H플란트치과의원 수원,1425,361,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,수원치과 수원임플란트 수원교정치과 수원치아교정 수원크라운,,0.33134,0.485286,0.485932,,9.0,163.0,13.0,,0.019447,0.036636,0.008994
4,37296563,화이트드림치과의원 수원,6008,873,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전체임플란트틀니 매복사랑니발치 인계동턱관절 수원치아교정치과 인비절라인,,0.33134,0.483029,0.485762,,0.0,340.0,5.0,,0.019447,-0.01083,0.005412
5,11853269,좋은솜씨오케이치과의원,4801,1511,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,미니쉬 치아교정 임플란트 수면사랑니 수원치과,,0.33134,0.481425,0.48564,,0.0,682.0,6.0,,0.019447,-0.001717,0.006099
6,1068217231,연세안심치과의원,1151,308,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원임플란트 잇몸치료 구강악안면외과 인계동치과 임플란트재수술,,0.33134,0.479408,0.485488,Hot,18.0,257.0,20.0,,0.019447,0.087776,0.012853
7,1967765521,노블치과의원 수원,2021,248,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 장안구치과 조원동치과 수원임플란트 수원치아교정,,0.33134,0.478122,0.485391,,4.0,167.0,1.0,,0.019447,0.026218,0.008207
8,21435600,인플란트치과의원,4147,578,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,수원임플란트 수원치과 인계동임플란트 인계동치과 권선동치과,,0.33134,0.47701,0.485307,,0.0,721.0,-2.0,,0.019447,0.00192,0.006373
9,36960750,퍼스티지치과의원,5130,1058,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,수원치과 임플란트 치아교정 사랑니발치 전체임플란트,,0.33134,0.465039,0.484404,,0.0,124.0,1.0,,0.019447,-0.005476,0.005815
10,1430030267,플란치과의원 경기 수원점,2636,1360,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 수원치과 수원임플란트 광교임플란트 광교치과,,0.33134,0.46254,0.484215,,0.0,452.0,10.0,,0.019447,-3.6e-05,0.006226
11,1932339593,타이거치과의원,1963,1190,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 수원임플란트 수원치아교정 수원교정치과,,0.33134,0.457899,0.483865,,6.0,367.0,21.0,,0.019447,0.034934,0.008865
12,1935741614,서울쿤스트치과의원,3356,981,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,광교치과 수원치과 수원임플란트 광교교정치과 광교임플란트,,0.33134,0.457561,0.483839,,0.0,-15.0,10.0,,0.019447,-0.008439,0.005591
13,1962215037,더에스플란트치과의원,4475,957,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치신경보존잇몸치료 완전매복사랑니발치 턱관절장애통증장치치료 수원수면무통마취치과 인계동임플란트치과,,0.33134,0.454335,0.483596,,0.0,217.0,-4.0,,0.019447,0.000334,0.006254
14,1597327014,오늘이행복한치과의원 수원,1780,1144,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,디지털임플란트 야간진료 일요일치과 치과 수원교정전문의,,0.33134,0.451343,0.48337,,0.0,-59.0,10.0,,0.019447,0.003442,0.006488
15,1317780530,치과다운 치과의원 수원,3820,2219,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 사랑니발치 팔달구수면임플란트 매교동미니쉬 매교역임플란트,,0.33134,0.437714,0.482341,,0.0,169.0,37.0,,0.019447,-0.019325,0.00477
16,1946313615,더채움치과의원,2962,554,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,장안구치과 수원조원동치과 수원치아교정 수원임플란트 교정과전문의,,0.33134,0.436489,0.482249,,0.0,238.0,-4.0,,0.019447,0.003111,0.006463
17,1373189717,서울DS플란트치과의원,2058,354,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영화동치과 수원치과 수원임플란트 장안구치과 수원야간진료치과,,0.33134,0.435055,0.482141,,1.0,166.0,10.0,,0.019447,0.021021,0.007815
18,37220521,맑은미소치과의원,2544,657,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원치과 수원치아교정전문의 수원내비게이션임플란트 권성동매복사랑니발치 틀니보철심미치료,,0.33134,0.427676,0.481584,,1.0,249.0,1.0,,0.019447,0.014781,0.007344
19,1033408174,수원본플란트치과의원,1567,1102,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수원턱관절치과 수원매복사랑니발치 수원라미네이트치과 수원권선구치과 고난이도임플란트,,0.33134,0.423829,0.481294,,0.0,83.0,7.0,,0.019447,-0.014726,0.005117
20,1998797629,서울더리본치과의원 수원,4362,690,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,수원치과 팔달구치과 인계동치과 수원임플란트 수원사랑니발치,,0.33134,0.422459,0.48119,,0.0,220.0,0.0,,0.019447,0.013181,0.007223
21,32628305,서울나란이치과교정과치과의원,1972,378,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,치과교정전문의 인비절라인치아교정 성장기어린이교정 비발치교정 수원인계동교정전문치과,,0.33134,0.414737,0.480607,,0.0,0.0,1.0,,0.019447,-0.011784,0.005339
22,1578482171,연세365감동치과의원,950,830,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면무통마취치과 턱관절통증치료 충치신경치료 사랑니발치 네비게이션임플란트,,0.33134,0.410176,0.480263,,0.0,109.0,8.0,,0.019447,0.002702,0.006432
