place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,13267469,순창치과의원,1,13,치과,건강의료>병원>병원의원>치과>치과-일반,4.0,,,,0.341289,0.146187,0.328501,,0,-,-,,-,-,-
2,31004147,제일치과의원,0,134,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,임플란트 신경치료 스켈링 크라운 치과,,0.33134,0.172955,0.326766,,0,-,-,,-,-,-
3,211664098,백세플란트치과의원,0,67,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.15948,0.325732,,0,-,-,,-,-,-
4,1744573173,우리치과의원,1,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,순창치과 내비게이션임플란트 임플란트틀니 턱관절치료 신경치료,,0.33134,0.151974,0.325183,,0,-,-,,-,-,-
5,13267460,명작치과의원,0,28,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,디지탈보철 하루보철 가이드임플란트 원데이임플란트 네비게이션임플란트,,0.331294,0.131276,0.323604,,0,-,-,,-,-,-
6,13267456,송치과의원,0,28,치과,건강의료>병원>병원의원>치과>치과-일반,4.0,,,,0.331294,0.112574,0.322192,,0,-,-,,-,-,-
7,13267450,권치과의원,0,7,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.091081,0.32057,,0,-,-,,-,-,-
8,12269713,순창군보건의료원,29,184,보건소,건강의료>병원>보건소>보건의료원,4.23,,의료원,,0.0,0.283922,0.210107,,0,-,-,,-,-,-
9,13266813,상동치과의원,1,104,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.229631,0.142347,,0,-,-,,-,-,-
10,13266803,이편한치과,2,168,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.226341,0.142099,,0,-,-,,-,-,-
11,19867097,아루카치과의원,3,170,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.213323,0.141117,,0,-,-,,-,-,-
12,13266757,이사랑부부치과의원,3,59,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보험틀니 보험임플란트 심미보철 정읍치과,,0.33134,0.208138,0.140743,,0,-,-,,-,-,-
