place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1790228468,서울라이프치과의원,3669,391,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,라미네이트 무치악전체임플란트 부분치아교정 수면무통마취 은계지구치과,,0.33134,0.437577,0.404096,,0.0,194.0,2.0,,0.019447,0.001341,0.013477
2,11580173,서울숙면치과의원 시흥,570,401,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,시흥치과 정왕동치과 수면임플란트 시흥임플란트 수면치과,,0.33134,0.426867,0.403288,,0.0,53.0,1.0,,0.019447,0.001474,0.013488
3,1509240714,굿이브닝치과의원,1097,608,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,시흥치과 은행동치과 임플란트 은계지구치과 시흥대야역치과,,0.33134,0.423115,0.403005,,0.0,46.0,1.0,,0.019447,0.003668,0.013653
4,1184173018,연세바로치과의원,1579,612,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,시흥치과 시흥능곡역치아교정 시흥능곡역임플란트 장곡동치아교정 선부동치아교정,,0.33134,0.422497,0.402958,,0.0,45.0,8.0,,0.019447,0.010796,0.014191
5,1319727482,샤인치과의원,1641,915,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,수면임플란트 배곧치과 정왕동치과 치아교정 서울대치과,,0.33134,0.394393,0.400837,,1.0,0.0,13.0,,0.019447,0.004411,0.013709
6,1846855708,배곧고운이치과의원,2634,111,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,덧니교정 돌출입교정 주걱턱교정 성장기교정,,0.331294,0.382157,0.399897,,2.0,37.0,0.0,,0.019447,0.004741,0.013735
7,1202626507,배곧쥬니어치과의원,228,284,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,배곧어린이치과 배곧소아치과 시흥어린이치과 시흥소아치과 정왕어린이치과,,0.33134,0.376325,0.399474,,0.0,1.0,0.0,,0.019447,-0.009807,0.012637
8,1339204155,배곧치과의원,734,144,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,시흥치과 시흥임플란트 배곧치과 배곧임플란트 정왕동치과,,0.33134,0.37603,0.399451,,1.0,-4.0,0.0,,0.019447,0.007683,0.013956
9,1073399291,은계스마트치과의원,1428,323,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,은계지구치과 은계지구임플란트 은행동치과 은계지구사랑니발치 은계치과,,0.33134,0.362061,0.398397,,1.0,97.0,6.0,,0.019447,0.000361,0.013404
10,11829498,서울탑치과의원,2001,174,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,시흥치과 충치보철치료 잇몸스케일링 뼈이식임플란트 신천역사랑니발치,,0.33134,0.361384,0.398346,,4.0,154.0,10.0,,0.019447,0.018672,0.014786
