place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1966154807,청춘플란트치과의원 안성,399,196,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안성치과 안성임플란트 안성임플란트치과 경기안성치과 안성토요일치과,,0.33134,0.360805,0.448761,,0.0,2.0,3.0,,0.019447,0.011886,0.008236
2,1633116503,서울정성치과의원,370,459,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안성치과 안성임플란트 사랑니발치 일요일진료 안성치아교정,,0.33134,0.31288,0.445144,,1.0,1.0,10.0,,0.019447,0.018482,0.008734
3,11876046,밝은 미소 SN치과의원,1095,358,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,안성치과 치아교정 교정치과 인비절라인 투명교정,,0.33134,0.284594,0.443009,,1.0,6.0,1.0,,0.019447,0.007083,0.007873
4,1413283887,매일디지털치과의원 안성점,191,550,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안성임플란트 전체임플란트 안성시내치과 일요일치과 사랑니발치,,0.33134,0.282018,0.442814,,0.0,0.0,3.0,,0.019447,-0.044959,0.003945
5,35337918,바른이치과교정과치과의원,790,204,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,안성치과 투명교정 교정치과 어린이교정 인비절라인,,0.33134,0.277806,0.442497,,2.0,3.0,1.0,,0.019447,0.019342,0.008799
6,1800879100,연세세브란스치과의원 안성점,182,495,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안성치과 안성임플란트 안성공도치과 안성사랑니 디지털임플란트,,0.33134,0.268643,0.441805,,2.0,1.0,2.0,,0.019447,0.014031,0.008398
7,1957544681,안성자연치과의원,198,246,치과,건강의료>병원>병원의원>치과>치과-일반,4.88,,안성치과 안성임플란트 안성치아교정,,0.33134,0.268197,0.441771,,0.0,0.0,1.0,,0.019447,0.005593,0.00776
8,1096261803,안성이맞춤치과의원,499,515,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,안성치과 임플란트 소아치과 아양지구치과 치과,,0.33134,0.257291,0.440948,,0.0,0.0,0.0,,0.019447,-0.002332,0.007163
9,1882943375,안성미소치과의원,86,49,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,안성치과 안성임플란트 안성스케일링 안성치아미백 안성사랑니,,0.33134,0.246627,0.440143,,0.0,0.0,0.0,,0.019447,0.005557,0.007758
10,1002571033,더열린치과의원,535,383,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,임플란트 무통마취 사랑니 보험진료 안성치과,,0.33134,0.244658,0.439995,,1.0,4.0,2.0,,0.019447,0.013156,0.008332
11,13454009,화이트치과의원,5,498,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.244572,0.439971,,2.0,0.0,0.0,,0.019447,0.035517,0.010019
12,20661225,장서연치과의원,2,189,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,치과,,0.33134,0.235,0.439266,,0.0,0.0,0.0,,0.019447,0.01622,0.008563
13,1422496345,해맑은스타치과의원,1,77,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,스타필드 임플란트 충치 보철,,0.331294,0.233893,0.439165,,0.0,0.0,0.0,,0.019447,0.001785,0.007473
14,1836686365,서울삼성치과의원,401,272,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,아양동치과 안성임플란트 석정동치과 안성치과 안성시치과,,0.33134,0.219741,0.438114,,3.0,2.0,0.0,,0.019447,0.024137,0.00916
15,19997130,연세본치과의원,1,269,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,,,0.331294,0.215005,0.43774,,0.0,0.0,2.0,,0.019447,0.01006,0.008098
16,13281668,미소플란트치과병원,7,197,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.207881,0.437202,,6.0,0.0,2.0,,0.019447,0.027578,0.00942
17,13234466,하얀이치과의원,1,117,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,,,0.331294,0.206025,0.437062,,1.0,0.0,1.0,,0.019447,0.020678,0.008899
18,1221252322,양심55플란트치과의원,71,44,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안성치과 안성임플란트 임플란트 네비게이션임플란트 임플란트가격,,0.33134,0.2032,0.436866,,0.0,0.0,0.0,,0.019447,-0.003983,0.007038
19,1125579822,더프라임치과의원,4,83,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 당왕동치과 안성치과 충치치료,,0.33134,0.198053,0.436477,,0.0,1.0,1.0,,0.019447,0.000196,0.007353
20,19699955,공도오케이치과,3,114,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.191233,0.435946,,6.0,0.0,0.0,,0.019447,0.017059,0.008627
21,13234298,베스트치과의원,6,119,치과,건강의료>병원>병원의원>치과>치과-일반,3.75,,,,0.331294,0.189161,0.435789,,6.0,0.0,0.0,,0.019447,0.015129,0.00848
22,21560246,유디안성치과의원,2,138,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,임플란트 안성치과 안성석정동치과 유디치과 유디치과안성,,0.33134,0.188254,0.435738,,0.0,0.0,0.0,,0.019447,0.007654,0.007916
23,13234284,좋은치과의원,6,301,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,,,0.331294,0.188479,0.435738,,0.0,0.0,0.0,,0.019447,0.005416,0.007748
24,1281725160,준플란트치과의원,1,115,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,임플란트 충치치료 근관치료 보철 스케일링,,0.331294,0.184768,0.435458,,8.0,0.0,0.0,,0.019447,0.019475,0.008809
25,13234260,허균행치과의원,3,111,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.18043,0.43513,,0.0,0.0,0.0,,0.019447,-0.003449,0.007078
26,13234317,예인치과의원,2,42,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,임플란트,,0.331294,0.177861,0.434936,Hot,10.0,0.0,0.0,,0.019447,0.027235,0.009394
27,13234247,정중희치과의원,5,56,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.176915,0.434865,,0.0,0.0,0.0,,0.019447,-0.000713,0.007285
28,13234055,가나치과의원,2,94,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.176126,0.434805,,0.0,0.0,0.0,,0.019447,0.001445,0.007447
29,13234261,안성의료복지사회적협동조합 새봄치과의원,4,307,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,치과검진 치과상담 재활보철치료 임플란트 잇몸치료,,0.33134,0.17562,0.434784,,0.0,0.0,1.0,,0.019447,-0.000254,0.007319
30,1641045217,수치과의원,0,79,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,수치과 보철 임플란트 스켈링 치과,,0.33134,0.174434,0.434695,,0.0,0.0,0.0,,0.019447,0.002944,0.007561
