place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1056923622,으뜸원치과의원 안양,3775,932,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,라미네이트 스케일링 임플란트 사랑니발치 치아미백,,0.331294,0.526133,0.476903,,1.0,584.0,12.0,,0.019447,0.034096,0.008823
2,1278130668,연세바른치과의원 안양범계,3932,841,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,안양치과 안양치아교정치과 안양매복사랑니발치 안양틀니보철심미치료 안양고난이도임플란트,,0.33134,0.498919,0.474867,,0.0,413.0,2.0,,0.019447,-0.009492,0.005534
3,1100485151,서울단꿈치과의원 안양,4221,340,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 안양사랑니발치 수면치과 안양임플란트 안양라미네이트,,0.33134,0.483519,0.473704,,2.0,299.0,2.0,,0.019447,0.020463,0.007794
4,1804316377,서울베스트치과의원 안양,3205,311,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 안양수면임플란트 범계역심미치료라미네이트 범계사랑니발치치과 안양인비절라인투명교정,,0.33134,0.482623,0.473637,,0.0,444.0,4.0,,0.019447,-0.008651,0.005597
5,1068363755,서울다올치과의원,3596,456,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 안양교정치과 안양수면임플란트 안양임플란트치과 안양수면치료,,0.33134,0.482347,0.473616,,3.0,665.0,8.0,,0.019447,0.031235,0.008607
6,13277686,범계유디치과의원,2563,310,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,범계치과 충치치료 임플란트 턱관절 잇몸치료,,0.33134,0.476371,0.473165,,1.0,661.0,4.0,,0.019447,0.014518,0.007345
7,13127025,호산나치과의원 범계점,1977,230,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,범계치아교정 안양인비절라인 범계교정치과 범계교정 범계역치과,,0.33134,0.465883,0.472373,,0.0,307.0,1.0,,0.019447,0.003631,0.006523
8,1853823687,평촌이생각치과의원 안양,1977,1262,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양평촌치과 안양임플란트 안양사랑니발치 안양라미네이트 안양치아교정,,0.33134,0.460034,0.471932,,1.0,50.0,12.0,,0.019447,0.024045,0.008064
9,1281982965,늘공감치과의원 안양,2217,689,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 사랑니발치 충치치료 심미보철 안양임플란트,,0.33134,0.453116,0.47141,,5.0,3.0,6.0,,0.019447,0.031514,0.008628
10,31825180,서울스마트치과의원 안양인덕원,2686,444,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,안양치과 인덕원치과 인덕원역치과 광양동치과 인덕원교정치과,,0.33134,0.44479,0.470782,,1.0,50.0,4.0,,0.019447,0.010881,0.007071
11,1246504255,서울연세치과의원 안양,2682,598,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,안양치과 비산동치과 임플란트 치아교정 사랑니발치,,0.33134,0.438483,0.470306,,0.0,140.0,2.0,,0.019447,-0.032507,0.003797
12,1318902982,정성치과의원 안양,2822,884,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,안양치과 안양임플란트 안양치아교정 안양사랑니 안양턱관절,,0.33134,0.433361,0.469919,,0.0,160.0,5.0,,0.019447,0.006039,0.006705
13,1033935887,리드온치과의원 안양범계,3951,531,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 범계역치과 뼈이식임플란트 잇몸스케일링 심미보철치료,,0.33134,0.42605,0.469367,,0.0,-4.0,2.0,,0.019447,-0.008104,0.005638
14,1575361320,연세메인치과의원 안양,1290,939,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,안양치과 안양임플란트 안양치아교정 안양수면치과 평촌수면치과,,0.33134,0.410628,0.468203,,1.0,13.0,2.0,,0.019447,-0.005862,0.005807
15,1345956267,스마트하루치과의원,3021,417,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,범계역치과 안양치과 범계임플란트 안양임플란트 범계치과,,0.33134,0.399754,0.467383,,0.0,172.0,0.0,,0.019447,-0.026548,0.004246
16,21310977,호계동굿모닝치과의원 안양범계,2122,159,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,호계동치과 안양임플란트 범계심미보철 트리지아소아진료 동안구교정치료,,0.33134,0.394211,0.466964,,0.0,218.0,0.0,,0.019447,-0.013751,0.005212
17,1220371270,연세이굿치과의원,1117,158,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면임플란트 디지털임플란트 충치 사랑니 턱관절,,0.331294,0.379627,0.465846,,0.0,22.0,6.0,,0.019447,-0.005678,0.005821
18,1850858288,큐플란트치과의원,1024,83,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치신경치료 고난도임플란트틀니 라미네이트미백치료 턱관절물리치료 매복사랑니발치,,0.331294,0.371443,0.465229,,0.0,165.0,3.0,,0.019447,0.015389,0.007411
19,1005715209,연세메인치과의원 별관,851,95,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양치과 안양임플란트 안양치아교정 안양교정치과 안양사랑니발치,,0.33134,0.363578,0.464652,,0.0,-2.0,0.0,,0.019447,0.012427,0.007187
20,1820042764,봄별소아치과의원,502,202,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,안양소아치과 안양치과 일요일진료 어린이교정 주말진료치과,,0.33134,0.356356,0.464107,,3.0,1.0,3.0,,0.019447,0.015885,0.007448
21,1359834784,안양탑치과의원,615,112,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 사랑니발치 무통마취 충치치료,,0.331294,0.347103,0.463392,,4.0,37.0,0.0,,0.019447,0.013858,0.007296
22,20799078,우리더블유치과의원,1092,457,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,치과 임플란트 사랑니발치 충치치료 스케일링,,0.33134,0.344474,0.463211,,0.0,53.0,4.0,,0.019447,0.003766,0.006534
23,1030825659,연세아이야기치과교정과치과의원,266,286,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,교정치과 인비절라인 치아교정 성장기교정 학생교정,,0.33134,0.343741,0.463155,,0.0,1.0,0.0,,0.019447,-0.001271,0.006154
24,1289862096,연세365치과의원,810,118,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,무통스케일링 임플란트 치아미백 턱관절 보험치료,,0.331294,0.340543,0.462897,,2.0,24.0,0.0,,0.019447,0.011166,0.007093
25,347458005,닥터준 치과의원,3,171,치과,건강의료>병원>병원의원>치과>치과-일반,4.17,,메가트리아치과 메가트리아 안양임플란트 안양동치과 비산동치과,,0.33134,0.33958,0.462841,Hot,75.0,0.0,0.0,,0.019447,0.151885,0.017713
26,1076949609,올리브치과의원,193,804,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 소아치과 치아교정 충치치료 미니쉬,,0.33134,0.336452,0.462605,Hot,23.0,86.0,34.0,,0.019447,0.083741,0.01257
27,1709954447,턱편한사랑니치과의원,106,653,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니발치 턱관절치과 매복사랑니전문 함치성낭종 턱관절세정술,,0.33134,0.329822,0.462105,,0.0,0.0,1.0,,0.019447,-0.007819,0.00566
28,1119012048,굿초이스치과의원 평촌,834,525,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,안양치과 평촌역임플란트 관양동치과 범계치아미백 동안구충치치료,,0.33134,0.325434,0.461774,,4.0,-3.0,1.0,,0.019447,0.027453,0.008322
29,1395234028,평촌어린이치과의원,58,365,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평촌소아치과 안양소아치과 평촌어린이치과 안양어린이치과 어린이치과,,0.33134,0.320749,0.46142,,0.0,0.0,1.0,,0.019447,0.011696,0.007132
30,21372258,서울숙면치과의원 안양범계,2675,376,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,수면임플란트 범계역치과 안양치과 범계임플란트 안양임플란트,,0.33134,0.315445,0.46102,,0.0,106.0,0.0,,0.019447,-0.034598,0.003639
31,11854793,인덕원사과나무치과의원,555,354,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,인덕원치과 사과나무치과 인덕원역치과 안양치과 평촌치과,,0.33134,0.313253,0.460854,,2.0,4.0,-1.0,,0.019447,0.015452,0.007416
32,13232407,성혜치과의원,72,275,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.312623,0.460789,,0.0,-38.0,0.0,,0.019447,0.010203,0.007019
33,1633450654,박원식오케이치과의원,1,66,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치치료 임플란트 교정 보철 보존,,0.331294,0.30808,0.460446,Hot,177.0,0.0,0.0,,0.019447,0.173363,0.019333
34,806883680,메가탑치과의원 안양,869,574,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,비산동치과 안양임플란트 안양교정 메가트리아치과 안양치과,,0.33134,0.304082,0.460162,,5.0,22.0,0.0,,0.019447,0.029522,0.008478
35,1808011219,서울범계치과의원 안양,2654,758,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,안양치과 치아보험 안양임플란트 안양사랑니발치 범계역치과,,0.33134,0.299453,0.459813,,0.0,95.0,0.0,,0.019447,-0.004718,0.005894
36,13481845,가이드본치과의원,645,805,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,치아교정 임플란트 소아치과 어린이치과 치과,,0.33134,0.297061,0.459632,,0.0,4.0,1.0,,0.019447,-0.011192,0.005405
37,13232432,튼튼치과의원,75,208,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,임플란트 보철치료 충치치료 잇몸치료 소아치료,,0.331294,0.296997,0.45961,,1.0,-34.0,0.0,,0.019447,0.021714,0.007888
38,36415682,더나은치과의원 안양,568,765,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,안양치과 범계역치과 치아교정 사랑니발치 안양임플란트,,0.33134,0.292597,0.459295,,0.0,0.0,10.0,,0.019447,-0.013079,0.005262
39,1621614213,개구장이치과의원,4,186,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,소아치과 어린이치과,,0.33134,0.287387,0.458902,,0.0,0.0,1.0,,0.019447,-0.001337,0.006149
40,13298518,서울바른치과교정과치과의원 안양,164,636,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,안양교정치과 범계교정치과 범계역치과 평촌역치과 인비절라인치과,,0.33134,0.28378,0.45863,,0.0,2.0,1.0,,0.019447,0.0132,0.007246
41,1504982623,믿음치과의원 인덕원,96,369,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,인덕원치과 인덕원임플란트 관양동치과 평촌임플란트 안양치과,,0.33134,0.281734,0.458475,,0.0,0.0,3.0,,0.019447,0.000254,0.006268
42,1952422619,트리플선치과 교정과치과의원,27,1086,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,평촌치아교정 치아교정치과 트리플선치과 안양치아교정 안양임플란트,,0.33134,0.280578,0.458388,,0.0,0.0,4.0,,0.019447,0.004922,0.006621
43,1552288731,안양중앙치과의원,33,425,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,임플란트 사랑니발치 틀니 안양치과 구강외과,,0.33134,0.278246,0.458212,,0.0,0.0,4.0,,0.019447,-0.003966,0.00595
44,1636251373,안양어린이치과의원,28,368,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,안양_어린이치과 안양_소아치과 안양어린이치과 안양소아치과 장애인치과,,0.33134,0.273884,0.457883,,1.0,0.0,1.0,,0.019447,0.014458,0.007341
45,38502537,한울치과교정과치과의원,98,769,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,교정치과 치아교정 안양교정치과 범계교정치과 평촌교정치과,,0.33134,0.273812,0.457878,,0.0,1.0,6.0,,0.019447,0.0061,0.00671
46,13230937,키즈웰치과의원,18,325,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,소아치과,,0.33134,0.269181,0.457528,Hot,10.0,0.0,1.0,,0.019447,0.032417,0.008696
47,19777732,안양연합치과의원,271,202,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,안양치과 안양임플란트 인덕원임플란트 평촌임플란트 평촌치과,,0.33134,0.263628,0.457109,,0.0,4.0,2.0,,0.019447,0.001251,0.006344
48,1851645314,원스탑치과의원,2287,392,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,치과 범계치과 평촌치과 임플란트 턱관절,,0.33134,0.25905,0.456763,,6.0,12.0,0.0,,0.019447,0.017895,0.0076
49,36930800,DS치과의원,322,315,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,범계치과 범계역치과 평촌치과 안양치과 범계임플란트,,0.33134,0.257002,0.456609,,0.0,0.0,0.0,,0.019447,-0.009797,0.00551
50,1643021284,안양맥치과의원,244,213,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,네비게이션임플란트 임플란트틀니 스케일링 충치치료 턱관절,,0.331294,0.256465,0.456551,,1.0,2.0,1.0,,0.019447,0.007338,0.006803
