place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1613774009,서울온맘치과의원,2333,821,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,덕계치과 양주치과 덕계임플란트 양주임플란트 덕계동치과,,0.33134,0.450641,0.405082,,1.0,167.0,13.0,,0.019447,0.017412,0.008652
2,1254887348,리온치과의원,0,118,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,양주치과 덕계임플란트틀니 덕계턱관절치료치과 양주사랑니발치치과 양주인비절라인투명교정치과,,0.33134,0.441025,0.404357,,0.0,-1814.0,6.0,,0.019447,0.000306,0.007362
3,1794363728,연세센터원치과의원,776,1023,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,치아교정 임플란트 어린이교정 성장기교정 야간진료,,0.331294,0.42509,0.403137,,2.0,1.0,1.0,,0.019447,0.012581,0.008288
4,1529488632,서울수려한치과병원,884,926,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,양주치과 옥정치과 옥정동치과 양주임플란트 양주치과병원,,0.33134,0.420503,0.402808,,0.0,0.0,1.0,,0.019447,0.001465,0.007449
5,1845344263,양주이지치과의원,886,239,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,양주치과 양주수면치과 덕계치과 덕계사랑니치과 양주수면임플란트,,0.33134,0.416165,0.40248,,0.0,71.0,12.0,,0.019447,-0.009543,0.006618
6,1195813901,조은이플란트치과의원,1621,451,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,양주치과 양주임플란트 양주사랑니 양주구강외과 옥정구강외과,,0.33134,0.386685,0.400256,,0.0,189.0,11.0,,0.019447,-0.001367,0.007236
7,1149916618,연세365치과의원,274,242,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,임플란트 신경치료 사랑니발치 성인교정 무통마취,,0.331294,0.374036,0.399284,,0.0,0.0,1.0,,0.019447,0.005428,0.007749
8,1607270635,서울바른성장치과의원,449,211,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정 교정치과 인비절라인 어린이치과 소아치과,,0.33134,0.367279,0.398791,,0.0,1.0,4.0,,0.019447,0.016557,0.008588
9,1163500721,아이보듬 소아치과의원,55,608,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,옥정소아치과 어린이치과 교정치과 성장기교정 인비절라인,,0.33134,0.354275,0.39781,,0.0,0.0,2.0,,0.019447,0.005858,0.007781
10,1984826113,강남연세치과의원,789,613,치과,건강의료>병원>병원의원>치과>치과-일반,4.94,,치아교정 임플란트 소아교정 사랑니발치 충치보철치료,,0.331294,0.347733,0.397299,,0.0,40.0,-1.0,,0.019447,0.00187,0.00748
11,1134950580,이튼튼소아치과치과의원,29,300,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,옥정소아치과 옥정어린이치과 덕정덕계고읍소아치과 양주영유아구강검진 양주옥정소아치과전문의,,0.33134,0.314718,0.394824,,0.0,0.0,1.0,,0.019447,-0.001685,0.007211
12,1201891139,세브란스에스치과의원,667,449,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,옥정치과 옥정치아교정치과 옥정임플란트치과 양주옥정치과 옥정야간진료치과,,0.33134,0.294803,0.393321,,0.0,1.0,2.0,,0.019447,0.008179,0.007956
13,1837176355,더라이프치과의원,507,415,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,양주치과 옥정치과 임플란트 턱관절 양주옥정동치과,,0.33134,0.284839,0.392569,,5.0,50.0,0.0,,0.019447,0.03268,0.009805
14,13180284,서울수치과의원,9,346,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,삼숭동치과 양주치과 옥정치과 양주임플란트 양주발치,,0.33134,0.266254,0.391166,,5.0,0.0,8.0,,0.019447,0.016703,0.008599
15,1677130038,화이트라인치과의원 양주,963,320,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,네비게이션디지털임플란트 어린이인비절라인퍼스트 구강검진보험스케일링 치과교정과전문의 옥정비발치부분투명치아교정상담,,0.33134,0.257785,0.390527,,0.0,0.0,1.0,,0.019447,0.003221,0.007582
16,1959429493,덕계베스트치과의원,34,195,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 심미보철 소아치료 턱관절치료 보톡스,,0.331294,0.257871,0.390516,,0.0,1.0,1.0,,0.019447,0.004435,0.007673
