place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1717860225,강남365치과의원,3475,2552,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,인천치과 인천임플란트 인천치아교정 인천어린이치과 수면임플란트,,0.33134,0.468477,0.400391,,0.0,0.0,23.0,,0.019447,-0.010463,0.009568
2,1935011282,리봄치과의원,977,960,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,무삭제라미네이트 인비절라인투명교정 임플란트뼈이식재수술 스케일링무통가글마취 충치신경잇몸보존치료,,0.331294,0.441575,0.398343,,0.0,52.0,22.0,,0.019447,0.005196,0.01075
3,1642895987,오즈치과교정과치과의원,514,164,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,송도교정치과 송도치아교정 송도치과 인천성인교정 인천인비절라인,,0.33134,0.401024,0.3953,,0.0,9.0,6.0,,0.019447,-0.004737,0.01
4,1734615042,연세닥터홍치과교정과의원,352,221,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송도교정치과 송도인비절라인 송도무턱주걱턱교정 인천어린이소아교정 송도재교정치과,,0.33134,0.373686,0.393237,,1.0,196.0,4.0,,0.019447,0.025493,0.012282
5,36424616,송도퍼스트치과의원,782,705,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청학동원데이보철 송도6공구원데이미백 송도8공구외국인치과 옥련동가글마취스케일링 동춘역원데이라미네이트,,0.33134,0.372875,0.393176,,0.0,40.0,1.0,,0.019447,0.000896,0.010426
6,1055613499,유펜아리조나치과교정과치과의원,205,156,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,유펜아리조나교정치과 인천교정치과 송도교정치과 송도치아교정 인천치아교정,,0.33134,0.350229,0.391466,,3.0,108.0,4.0,,0.019447,0.037897,0.013217
7,1178051337,연수바른치과의원,869,334,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,연수치과 동춘동치과 인천치과 동춘역치과 연수역치과,,0.33134,0.348176,0.391311,,0.0,1.0,0.0,,0.019447,0.007234,0.010903
8,266683530,서울스마트치과의원,459,1047,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송도치과 송도임플란트 송도교정 수면임플란트 소아치과,,0.33134,0.338778,0.390602,,0.0,2.0,20.0,,0.019447,0.005882,0.010801
9,1668025892,연세제일치과의원,194,420,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,인천치과 인천임플란트 연수동치과 연수구치과 연수역치과,,0.33134,0.325688,0.389614,,0.0,4.0,0.0,,0.019447,-0.00303,0.010129
10,1136724880,루아어린이치과의원,62,240,치과,건강의료>병원>병원의원>치과>치과-일반,4.88,,송도어린이치과 루아어린이치과 송도소아충치치료 송도치과 송도소아치료,,0.33134,0.31248,0.388617,,0.0,0.0,2.0,,0.019447,0.01062,0.011159
11,36508248,달콤어린이치과의원,50,151,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,송도어린이치과 송도소아치과 소아치과전문의 소아진정치료,,0.33134,0.308345,0.388305,,0.0,0.0,1.0,,0.019447,0.013004,0.011339
12,1029840951,백장현치과의원,8,268,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,무삭제라미네이트 인비절라인투명교정 충치신경치료 세라믹필름 치아성형,,0.331294,0.299115,0.387592,,0.0,0.0,17.0,,0.019447,0.011991,0.011263
13,2043137568,루틴치과의원 인천송도,64,47,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 잇몸치료 임플란트 인천치과 송도치과,,0.33134,0.290874,0.386987,Hot,45.0,57.0,38.0,,0.019447,0.086936,0.016919
14,33758589,연수퍼스트치과의원,508,765,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,투명교정 네비게이션임플란트 평생구강관리센터 치아미백 심미보철,,0.331294,0.284313,0.386474,,1.0,2.0,11.0,,0.019447,0.011128,0.011197
15,1925577016,서울바른치과교정과치과의원 인천송도,574,262,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,송도교정치과 송도치과 인천교정치과 송도치아교정 인천송도치과,,0.33134,0.281804,0.386302,,0.0,0.0,0.0,,0.019447,0.002101,0.010516
16,34975148,랜더스치과의원,180,348,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구강외과 사랑니발치 티끌교정 턱관절 송도임플란트,,0.331294,0.280471,0.386184,,0.0,0.0,4.0,,0.019447,0.013995,0.011413
17,1062790208,연세아이웰어린이치과의원,271,390,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,어린이치과송도 소아치과송도 아이치과송도 키즈치과송도 연세치과송도,,0.33134,0.266641,0.385158,,0.0,0.0,5.0,,0.019447,-0.013067,0.009372
18,13241054,푸른치과의원,33,67,치과,건강의료>병원>병원의원>치과>치과-일반,4.08,,,,0.331294,0.261919,0.384784,,6.0,-19.0,0.0,,0.019447,0.020203,0.011882
19,1511385072,바르게고치과의원,635,383,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송도치과 인천대입구역치과 지식정보단지역치과 송도동치과 송도임플란트,,0.33134,0.261625,0.384779,,0.0,3.0,1.0,,0.019447,0.000733,0.010413
20,13240927,예본플란트치과의원,338,458,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,연수동치과 연수동임플란트 청학동치과 동춘동치과 옥련동치과,,0.33134,0.257275,0.384451,,1.0,0.0,4.0,,0.019447,0.001511,0.010472
21,1819399385,이종훈치과교정과치과의원,276,279,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,인천교정치과 송도교정치과 송도치아교정 연수동교정치과 송도치과,,0.33134,0.257228,0.384447,,0.0,9.0,2.0,,0.019447,-0.007684,0.009777
22,1697295514,송도하버치과의원,875,176,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,송도치과 송도임플란트 송도사랑니 송도치아검진 송도구강검진,,0.33134,0.253487,0.384165,,3.0,7.0,0.0,,0.019447,0.01293,0.011333
23,32794563,서울시카고치과병원,83,558,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송도치과 송도임플란트 인천임플란트 송도치아교정 송도라미네이트,,0.33134,0.251625,0.384025,,0.0,3.0,-1.0,,0.019447,-0.006263,0.009885
24,1141004859,친절한이치과의원,2,690,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송도치과 치과보철과전문의 송도8공구치과 송도임플란트 치과보존과전문의,,0.33134,0.250884,0.383969,,0.0,0.0,8.0,,0.019447,0.002072,0.010514
25,1505866054,서울오라치과의원,1142,277,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,오스템네비게이션 원데이임플란트 사랑니당일발치 잇몸성형 돌출입주걱턱교정,,0.331294,0.248646,0.383783,,3.0,1.0,0.0,,0.019447,0.013253,0.011358
26,1222244257,이턱플란트치과의원,76,917,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,송도치과 송도임플란트 송도스케일링 인천송도사랑니발치 연수구충치치료,,0.33134,0.246901,0.383668,,0.0,0.0,1.0,,0.019447,-0.011099,0.00952
27,11883684,22세기서울치과병원,82,524,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,임플란트 심미보철 교정 사랑니발치,,0.331294,0.245131,0.383517,,0.0,0.0,0.0,,0.019447,0.006251,0.010829
28,19518755,킴스치과의원,4,175,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트,,0.33134,0.243504,0.383412,Hot,11.0,0.0,0.0,,0.019447,0.020033,0.01187
29,1820428162,연세세이브치과의원,4,298,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,송도치과 송도임플란트 송도현미경치과 송도충치치료 송도신경치료,,0.33134,0.242351,0.383325,Hot,13.0,0.0,0.0,,0.019447,0.022841,0.012082
30,1865358581,송도바른치과의원,24,434,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송도바른치과 인천송도치과 송도스케일링 송도충치치료 1공구치과,,0.33134,0.241754,0.38328,,2.0,0.0,2.0,,0.019447,0.013137,0.011349
31,12062362,미소연치과의원,1,160,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,치아교정 치과 임플란트 교정 교정전문의,,0.33134,0.241141,0.383233,Hot,17.0,0.0,1.0,,0.019447,0.026696,0.012372
32,503204882,스카이치과의원,248,250,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,연수구치과 연수동치과 연수구임플란트 연수동임플란트 연수구사랑니발치,,0.33134,0.240532,0.383187,Hot,11.0,2.0,0.0,,0.019447,0.021548,0.011983
33,38261755,서울이도원치과의원,7,142,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,임플란트 소아치료 보철치료 충치치료 잇몸치료,,0.331294,0.239487,0.383091,,0.0,0.0,0.0,,0.019447,0.005354,0.010761
34,31906123,쥬니어플러스치과의원,81,399,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,인천소아치과 송도어린이치과 어린이웃음가스치료 영유아구강검진 소아치과전문의,,0.33134,0.233925,0.382689,Hot,13.0,1.0,4.0,,0.019447,0.018139,0.011727
35,1293451650,하나어린이치과의원,89,480,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송도어린이치과 송도치과 송도소아치과 송도영유아구강검진 하나어린이치과,,0.33134,0.233492,0.382656,,0.0,3.0,7.0,,0.019447,-0.021817,0.008711
36,1501431401,송도요셉치과의원,32,545,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 송도치과 외국인진료 임플란트 인천치과,,0.33134,0.233383,0.382648,,0.0,0.0,13.0,,0.019447,0.007898,0.010954
37,35326648,송도이안치과의원,6,389,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,송도치과 임플란트 사랑니 턱관절,,0.33134,0.232276,0.382564,,4.0,0.0,0.0,,0.019447,0.0119,0.011255
38,1503000131,송도트리플치과의원,107,583,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송도치과 트리플스트리트C동 사랑니당일발치 고난이도임플란트 전문적보철치료,,0.33134,0.231552,0.38251,,0.0,0.0,7.0,,0.019447,0.005815,0.010797
39,31074284,스퀘어치과의원,384,267,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,치아교정 돌출입교정 부분교정 임플란트 사랑니발치,,0.331294,0.230971,0.382449,,6.0,2.0,-1.0,,0.019447,0.013399,0.011369
40,1248154095,송도굿모닝치과의원,9,306,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,임플란트 송도치과 8공구치과 치료치과 6공구치과,,0.33134,0.230191,0.382407,Hot,13.0,0.0,-1.0,,0.019447,0.019376,0.01182
41,1300517664,송도스카이치과의원,3,134,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천송도치과 송도치과 힐스테이트송도더스카이 국제업무지구치과 센트로드치과,,0.33134,0.227949,0.382238,,0.0,0.0,9.0,,0.019447,0.003868,0.01065
42,1228377088,연세바른이치과의원,2,206,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,송도치과 송도치아교정 송도교정치과 송도임플란트 송도교정,,0.33134,0.227802,0.382227,,0.0,0.0,0.0,,0.019447,-0.001227,0.010265
43,37811486,연수새움치과의원,7,355,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,연수구사랑니 연수동치과 연수동임플란트 연수구구강외과 연수구치과,,0.33134,0.226252,0.38211,,9.0,0.0,4.0,,0.019447,0.014908,0.011483
44,31576005,서울고른이치과교정과치과의원,83,179,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.225509,0.382036,,6.0,0.0,0.0,,0.019447,0.011341,0.011213
45,1991088178,포레스트치과의원,31,486,치과,건강의료>병원>병원의원>치과>치과-일반,4.92,,송도치과 송도8공구치과 송도임플란트 송도충치치료 송도신경치료,,0.33134,0.223777,0.381923,,0.0,0.0,9.0,,0.019447,0.004839,0.010723
46,33945513,송도제이치과의원,228,182,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,송도제이치과 송도치과 제이치과 송도임플란트 송도충치치료,,0.33134,0.221601,0.381759,,0.0,0.0,4.0,,0.019447,0.000744,0.010414
47,1134437325,커낼여름 치과보존과 치과의원,29,208,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,커넬워크치과 커낼워크치과 연수구치과 송도치과 인천송도치과,,0.33134,0.221482,0.38175,,0.0,0.0,0.0,,0.019447,-0.003951,0.01006
48,1330161096,송도이앤이치과의원,2,177,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송도8공구치과 송도임플란트 송도잇몸치료 송도사랑니발치 송도치주과전문의,,0.33134,0.218321,0.381511,,7.0,0.0,1.0,,0.019447,0.012611,0.011309
49,1444169081,서울미시간치과의원,443,392,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,임플란트 사랑니발치 dentist 외국인진료 1공구치과,,0.33134,0.218235,0.381505,,7.0,2.0,1.0,,0.019447,0.013803,0.0114
50,1331477563,송도스마일치과의원,58,321,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,임플란트치과 턱관절통증치료 잇몸염증치료통증 충치신경보존치료 민생회복지원금치과,,0.33134,0.218064,0.381492,,0.0,0.0,1.0,,0.019447,-0.014224,0.009284
