place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1865257889,닥터배치과의원,866,955,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,연산동치과 연산역치과 연산동사랑니 연산동임플란트 부산치주과,,0.33134,0.41583,0.378304,,3.0,31.0,9.0,,0.019447,0.042651,0.010557
2,1480548114,서울뿌리튼튼치과의원,2326,1350,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,부산치과 부산임플란트 연산역치과 연제구치과 야간진료,,0.33134,0.399371,0.377062,,0.0,319.0,6.0,,0.019447,-0.020567,0.005786
3,1468260576,제일바른치과교정과치과의원,418,228,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,교정전문치과 교정전문의 사직동교정치과 거제동교정치과 청소년치아교정,,0.33134,0.392485,0.376542,,0.0,4.0,0.0,,0.019447,0.006946,0.007863
4,35023319,유앤아이치과병원,1229,1323,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,연산동치과 연제구치과 부산치과병원 부산임플란트 부산구강악안면외과,,0.33134,0.385316,0.376001,,1.0,125.0,5.0,,0.019447,0.014155,0.008407
5,37296558,디에스다솜치과의원,762,1363,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,연산동치과 부산치과 연제구치과 동래치과 연산동임플란트,,0.33134,0.384933,0.375972,,0.0,74.0,4.0,,0.019447,0.006826,0.007854
6,12997418,프라하치과의원,1233,226,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,연산동치과 연산동임플란트 배산역치과 배산치과 부산치과,,0.33134,0.352621,0.373534,,0.0,4.0,0.0,,0.019447,-0.003693,0.00706
7,1787991421,행복한하루치과의원,218,347,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사직동치과 365일치과 연제구치과 동래구치과 거제동치과,,0.33134,0.329545,0.371792,,0.0,-7.0,19.0,,0.019447,0.0026,0.007535
8,1596995503,사랑니랑 구강악안면외과 치과의원,37,632,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니전문치과 연산동사랑니 구강악안면외과전문의 동래사랑니 부산매복사랑니,,0.33134,0.306023,0.370017,,0.0,1.0,22.0,,0.019447,0.01251,0.008283
9,1783975055,아이러브치과의원,22,344,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,어린이치과 영유아구강검진 진정법 충치치료 소아교정,,0.33134,0.283585,0.368324,,1.0,-1.0,1.0,,0.019447,0.011999,0.008245
10,1809768342,연세세브란스치과의원,432,182,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,연세대전문의진료 네비게이션임플란트 소아청소년치아교정 치아교정 자연치아살리기,,0.331294,0.269598,0.367251,,0.0,9.0,4.0,,0.019447,-0.009189,0.006646
11,1274667760,대성치과의원,8,139,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대성치과 연산동치과 배산역치과 물만골역치과 신리삼거리치과,,0.33134,0.267879,0.367138,,1.0,1.0,0.0,,0.019447,0.014762,0.008453
12,38290324,당신e빛나는 치과의원,195,130,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,거제동치과 거제동스케일링 연산동치과 연산동스케일링 부산현미경치료,,0.33134,0.258493,0.36643,,0.0,1.0,0.0,,0.019447,0.000695,0.007391
13,13066498,하나어린이치과의원,7,141,치과,건강의료>병원>병원의원>치과>치과-일반,4.07,,부산어린이치과 연산동어린이치과 연제구어린이치과 영유아구강검진 불소,,0.33134,0.247248,0.365581,,3.0,0.0,0.0,,0.019447,0.020716,0.008902
14,1648241690,밝은이치과의원,31,232,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,연산동치과 연산역치과 연제구치과 부산시청치과 부산사랑니발치,,0.33134,0.246212,0.365503,,0.0,0.0,1.0,,0.019447,0.009801,0.008079
15,1541375206,연제굿하루치과의원,3,485,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트 시청역치과 물만골치과 이마트치과,,0.33134,0.241474,0.365145,,0.0,0.0,2.0,,0.019447,0.010768,0.008151
16,1488245741,더가까운치과의원,28,242,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부산시청치과 연산동치과 부산시청임플란트 부산시청사랑니 더가까운치과,,0.33134,0.239668,0.365009,,0.0,0.0,1.0,,0.019447,0.009699,0.008071
17,1618348260,이든연합치과의원 토곡점,0,129,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,연산동치과 야간진료 임플란트 보존치료 토곡치과,,0.33134,0.232664,0.36448,,8.0,0.0,0.0,,0.019447,0.018055,0.008701
18,1974587810,365편안한치과의원,12,90,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 틀니 사랑니 일요일진료 공휴일진료,,0.331294,0.232441,0.364446,,1.0,0.0,1.0,,0.019447,0.007406,0.007897
19,1736953144,덴큐치과의원,161,372,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 신경치료 부산치과 앞니교정 연산동치과,,0.33134,0.231781,0.364414,,0.0,0.0,4.0,,0.019447,0.005874,0.007782
