place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,31951248,이음구강악안면외과 치과의원,182,490,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,예산치과 예산임플란트 예산틀니 예산보철치료 예산스케일링,,0.33134,0.288624,0.335496,,0,-,-,,-,-,-
2,13243205,바른이 치과교정과 치과의원,133,147,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,예산치과 예산교정치과 예산치아교정 홍성교정치과 내포교정치과,,0.33134,0.27978,0.334829,,0,-,-,,-,-,-
3,13243128,미소준치과의원,4,214,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,,,0.331294,0.207021,0.32932,,0,-,-,,-,-,-
4,13243171,하얀치과의원,2,63,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.186406,0.327764,,0,-,-,,-,-,-
5,1638003773,우리치과의원,60,61,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 틀니 스케일링 충치,,0.331294,0.17988,0.327272,,0,-,-,,-,-,-
6,13173997,행복한치과의원,2,110,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.176394,0.327009,,0,-,-,,-,-,-
7,13243122,삼달치과의원,2,112,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,,,0.331294,0.169008,0.326451,,0,-,-,,-,-,-
8,13243165,서울치과의원,2,115,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.167055,0.326304,,0,-,-,,-,-,-
9,936068704,탑플란트 치과의원,1,71,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,예산_치과 예산_임플란트 예산_틀니 예산_신경치료 예산치과,,0.33134,0.164898,0.326158,,0,-,-,,-,-,-
10,13446211,장치과의원,2,25,치과,건강의료>병원>병원의원>치과>치과-일반,4.21,,,,0.331294,0.15734,0.325571,,0,-,-,,-,-,-
11,13243138,모하치과의원,1,83,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,,,0.331294,0.14883,0.324928,,0,-,-,,-,-,-
